,SM1_Dzi,SM1_Dzv,SM1_Dzpe,AATS1se,Mor18p,BCUTc_1l,Mor07,MATS4v,FilterItLogS,piPC10,AATS0s,EState_VSA9,FNSA3,BCUTse_1l,Mor27m,ATS2m,Mor26,ATSC6se,Mor24m,PNSA2,AATS1d,MID_h,ATSC3v,GATS1are,Mor24se,SlogP_VSA10,Mor03se,AATS2d,ATSC0i,Mor13v,ATS1s,ATSC5dv,MATS3p,Mor32se,ATSC2dv,AATS7d,ABCGG,piPC6,nAtom,MAXsCH3,MATS1p,AATSC7se,Mor23m,IC0,EState_VSA6,ABC,SssNH,AXp_1dv,BCUTp_1h,MATS3se,AATS1i,ATSC2pe,SMR,AATS0dv,nN,AATSC5d,BCUTi_1l,PEOE_VSA1,DPSA4,nC,SpMAD_A,BCUTp_1l,AMID_h,BCUTs_1h,SsNH2,ATSC1se,DPSA5,AATSC4c,GATS5pe,ATSC3Z,PNSA5,Mor03v,Mor02,ZMIC5,PNSA4,BCUTi_1h,GATS1m,Mor21v,TopoPSA_NO_,Mor28m,MID_N,FPSA3,AATS1dv,Mor15m,ETA_alpha,Mor02m,ETA_epsilon_3,ETA_epsilon_2,ETA_dAlpha_B,ETA_epsilon_1,Mor12m,ETA_dAlpha_A,Mor11m,AETA_eta_BR,MAXssCH2,ETA_eta_BR,AETA_eta_B,ETA_epsilon_4,Mor13m,ETA_epsilon_5
SM1_Dzi,1.0,-0.940724372076118,0.965134962212642,0.5413872243923854,-0.020372889471526757,-0.1241749245151774,0.28423248440767457,0.06580320594160251,-0.02293608050249821,0.22521266869977044,0.6180040487368053,0.2831004955289597,-0.5705738062753953,0.009595834724117262,-0.17401031634620162,0.47893375851385384,-0.2336713376287057,0.15483516352266663,-0.09336345145916114,-0.7468641486659026,0.640444431326762,0.870084837063878,0.11961336300567955,-0.051604236311460765,-0.26651918220924287,0.7570632388273567,-0.04327696310871937,0.39381126930446797,0.5287280470290497,-0.2808543358479346,0.47095134899663127,-0.1681802070742102,0.02806550046380662,-0.07135792591661662,0.3681938957400609,0.3360392336099838,0.4464002516442487,0.20769519769798098,0.06230617025779174,-0.46714846555462675,-0.03876238843282956,-0.029197003196855743,-0.0951667240017765,0.502668453828686,0.1179936425789235,0.39918501221497943,0.20623852030592196,-0.26265198991844596,-0.08310827800119147,-0.006482612554159099,0.47010987746293487,0.23208570005344584,0.1430718625910578,0.7059829615899992,0.49009886268680136,-0.22483195279428136,0.11205872743129476,0.30673253907347686,0.7816850296817238,0.027591535358640583,-0.036753412992786366,-0.3768623811269926,0.5120038675524865,0.44739986483527155,0.20713989064483848,-0.2716205635858802,0.7098273126442658,0.0952501731686701,0.10831536077447503,0.09413950578525065,-0.7693945953398688,-0.15852147796477883,-0.091337770834825,0.5738101731296399,-0.8126300136547162,0.7157622128749856,-0.22674066795217776,0.09620728356618574,0.5695668759727807,0.18001485908620188,0.4968809933249641,0.09991054247597127,0.6705569404358257,0.2583488036109072,0.2912075972334036,0.5210849801973815,0.1851150621483414,0.6237642956690321,0.5513946658621901,0.6344366311716197,0.40068640053743915,-0.17620849216923604,-0.04517563756582929,0.49324568573535,-0.5619914319391722,0.6422558406839103,0.4773787297095339,0.6025101414749289,-0.12007642578840921,0.6105986121562639
SM1_Dzv,-0.940724372076118,1.0,-0.9471895326200337,-0.4664289814236176,0.037702887756377194,0.2516816585273727,-0.3079452655796241,-0.05770864933423626,-0.05211718461490816,-0.22878457884692305,-0.5580251128588891,-0.25098477823654486,0.6188492840676006,0.022650908574977428,0.16190105202173544,-0.39537844685657675,0.1898753355993522,-0.17176647952488186,0.05189046698700174,0.7752864592419005,-0.5632994920831362,-0.8388104334135437,-0.10413871894988143,0.14659576099547586,0.23844462331793903,-0.6209608363104432,0.1001460955523008,-0.40097557817636703,-0.4808444453659875,0.2935501410944814,-0.5730526852454902,0.20156900266328465,-0.04479923857324886,0.06286490654082112,-0.4116731797735118,-0.3090792744303986,-0.492286087614555,-0.2439218805506091,-0.15231150902691457,0.48356608195834283,-0.0045639066664979674,0.042011023544182236,0.05021040415598975,-0.5093111823984284,-0.13108312581630466,-0.43808228743397504,-0.18091423226824582,0.35240851705141135,0.18003728756108628,-0.016309967617170875,-0.42955706424067136,-0.29726728519834034,-0.17594024484119988,-0.6458487732632006,-0.421608298637186,0.22437220920883674,-0.11472134513346989,-0.44750331647835023,-0.846108812492458,-0.09700055524741424,-0.024052459583221546,0.45877845770327635,-0.4200148296598882,-0.5459098008635592,-0.17625599779862822,0.26489550130335754,-0.8000690195186726,-0.01236867571279535,-0.12800169096608718,-0.11859570210095136,0.808724360774518,0.17372715312455175,-0.01716223059929098,-0.4809467419475451,0.7608259034316343,-0.631095022926425,0.22868724255993012,-0.015547597532190234,-0.7043200333213021,-0.1914842205892371,-0.4291980615110696,-0.24159809899678583,-0.6185705825039708,-0.3210140111106636,-0.31451378179324696,-0.5173114586847694,-0.2161781374482374,-0.5559994706129682,-0.6163227841912889,-0.5090312751191592,-0.4385927628238395,0.27510855115637867,0.13154598705387172,-0.4309036917517666,0.5756323197663265,-0.6174296252675912,-0.42023436565494576,-0.4798563069556825,0.17288414624198417,-0.5172997015793052
SM1_Dzpe,0.965134962212642,-0.9471895326200337,1.0,0.5507225095212289,0.011586512220100062,-0.18097507590199147,0.24954116214628377,0.045590366224364985,0.016549983909484405,0.2058235936498974,0.6075058706549449,0.34755535017231853,-0.6361808262912432,0.01182573291902973,-0.15906160404369116,0.49621405898329174,-0.23502827994314127,0.17579151294524858,-0.0825060821520984,-0.7933585285382199,0.6277378351561038,0.8983268339548199,0.14947514729463063,-0.07820822647332691,-0.24704442563212287,0.6556398628829355,-0.07734650062498782,0.3777262237900701,0.4789526167122022,-0.26330973782551415,0.4843690210460975,-0.17009744307470043,0.057601804414372834,-0.08511026381309385,0.38556194503300645,0.31940468444505254,0.4587942056850107,0.19348338239205456,0.07473957996826436,-0.5047270263803086,-0.03295820405898522,-0.048178966324383406,-0.023083456427950393,0.5301672180529132,0.1167316803559612,0.4040826178411587,0.16419845511063383,-0.22572292638460806,-0.04324335535124237,-0.012918051868553175,0.3914332257254058,0.25805767508445493,0.15068028112175408,0.687570271457507,0.34106189686706867,-0.20622234280722568,0.06426086126347733,0.384350756793673,0.8488037268520001,0.02668631017590326,-0.046426221736917676,-0.38460073607380524,0.5362755683302322,0.5113862850283584,0.11586540693869816,-0.3073085382623089,0.7956444346896028,0.049292595495227784,0.12978840034320374,0.08585252796798508,-0.8489584208535094,-0.1783398533653321,-0.06992327553758988,0.6061390452372845,-0.8448819192957312,0.6349110975044139,-0.2655516908102216,0.061934666171301105,0.6212545367955375,0.1933799520024666,0.3506578808532439,0.1271257102285483,0.6332570975972752,0.26915058776158535,0.30575436055877725,0.5342184089152308,0.1671848368911982,0.6471053275427103,0.5523074344340704,0.6373124521278809,0.3873163649089223,-0.1460070981547256,-0.050447400705410324,0.49346205063354776,-0.6133446235919549,0.637960051448757,0.4940473379031341,0.6061156343525733,-0.1124877404513599,0.6358434911143613
AATS1se,0.5413872243923854,-0.4664289814236176,0.5507225095212289,1.0,0.3370850980488289,0.2057480841274936,-0.12530905041191315,0.11863204253896449,0.3477403860674326,-0.10213870391408295,0.8429120839889801,0.19460160365624368,-0.5327513713660906,0.6262646938308853,-0.11920764472354198,0.05286450978082685,-0.34419680960743865,0.06402087716062776,-0.00904830831478479,-0.1807875540761379,0.2319931871938609,0.46194222695099546,0.205672310584323,0.25848296255376685,-0.16177755140151018,0.3997873939906829,0.27503652001856616,-0.07996367461542159,-0.10144094743637254,-0.002068717496380458,-0.1461371641961354,0.04991738110256498,0.13661658249634054,0.050801004304350715,0.060013806897780624,0.08957156024056098,-0.19094334156625756,-0.22783650085447812,-0.4543133187477374,-0.8034679983259004,-0.38090690146288225,0.024538505300816613,0.0005873417956987927,0.1325612938004918,-0.08491234816231279,-0.18936726855956593,-0.009202415556921412,-0.02667981410905897,-0.03431393765629701,-0.1691123780284094,0.7339927229112206,-0.016171830982587086,-0.37433198188386885,0.8259130580681804,0.1302396455097809,0.09041897515404494,0.4174878076821981,-0.002874804233486324,0.3686060422502554,-0.45888366921234747,-0.3627607437265785,-0.19959054911578422,0.825660552778813,0.2656595454726716,0.026145758425537163,-0.3500226534219294,0.3754307039608905,0.11378943480892656,0.057479287774720195,0.09883963769448637,-0.49797542669381034,0.24563578523073298,-0.48817329068367243,0.17836383054813493,-0.5868974414503583,0.533052139545857,-0.04756117898156444,0.423956776865524,0.2269472599004346,0.0686155499218037,0.12227479746940628,0.1211514922165028,0.697916853858715,-0.07954147848978772,-0.2609500961320853,0.0545658236031539,-0.279265345856506,0.9006990025866208,0.6569901867110929,0.9235562063589827,0.14185579055821157,0.021470847548439625,-0.04564657307642856,0.3628694853930763,-0.8535892939856659,0.16934123300433004,0.4030100874601711,0.9264926793345335,0.15037628693099978,0.8194075153052769
Mor18p,-0.020372889471526757,0.037702887756377194,0.011586512220100062,0.3370850980488289,1.0,0.3150134122972373,-0.7624023100957804,0.10369572597284858,0.7493609232711103,-0.7505067169355504,0.34253439856393575,-0.05874973538973287,-0.29581418322015923,0.47598010053304957,0.33469391214647587,-0.48407488064263265,0.07904495848583516,0.021109199367689707,-0.32662668776236436,0.4106501987256102,-0.3881521661991318,-0.08395538494083643,0.06756337243829888,0.2513175617420721,-0.0498644540370659,-0.062094876595799466,0.27051809260278864,-0.5949102793620679,-0.5131274356016448,0.663285444638202,-0.6652314450243614,0.18837605808667882,-0.02328999993257655,0.27695336211583055,-0.1954146965626249,-0.619231832028584,-0.7080070970230726,-0.7905098463068995,-0.6618335573652008,-0.15116153714381392,-0.38873099697174535,0.04625145222562258,0.5424292786328192,-0.0717975972292816,-0.3338673634749365,-0.7692080932064764,-0.206916706763596,0.20744583796745386,0.04793950360274239,-0.15710091060178807,0.32246243794918705,-0.14584392691733433,-0.8152138526613186,0.18403197860460097,-0.2527851846238208,0.2830304393936164,0.14549542098846943,-0.19073935235085837,-0.17291249150037144,-0.82272294426991,-0.5586404785967268,0.07315771248799424,0.4492367497191368,0.09482731208267418,-0.1814828218507776,-0.23430322689261332,-0.13201404074702056,-0.03561867663843244,-0.07029185454208803,-0.08766134331549488,-0.043308026549626955,0.5302852309654839,-0.46074136918736375,-0.20694077527360502,-0.04611007669221815,0.0805965656145916,0.24502333646747643,0.6012779945017465,-0.13925886651458758,-0.1717616398804701,-0.26596169704252237,-0.001759616234594406,-0.0021420372177182834,-0.5963721913817313,-0.7874913591282133,-0.5695903776054608,-0.6681260184344818,0.42431292342391297,0.3441903375481316,0.2906445043540156,-0.3260465559492397,0.1792574711985542,-0.2319303590632996,0.13013104433533057,-0.214593645780319,-0.2767236588030146,0.27896555892293434,0.38369963684767344,0.5991200069053654,0.3525735042822829
BCUTc_1l,-0.1241749245151774,0.2516816585273727,-0.18097507590199147,0.2057480841274936,0.3150134122972373,1.0,-0.34696695617810414,0.15097032626747192,0.2733334340166276,-0.2532756590082662,0.19569764216467453,-0.11467621445547807,-0.07764959020999067,0.4036871411394397,0.145521769409987,-0.21625687219447695,-0.09947906595244864,0.012722029884047692,-0.14787138552437762,0.26509815081759575,-0.2728016481603205,-0.18621937182527995,-0.02185759412692395,0.656292893505014,0.044229202854832846,0.110097702899715,0.15106071803840188,-0.35918666933699783,-0.1988506125002597,0.1947879995562629,-0.4511737307595068,0.24166385273133797,-0.08011943974663385,-0.1365385415876168,-0.2992581720525399,-0.24188041035283436,-0.4735043914575706,-0.440657178009091,-0.386791443116382,0.24571135338325117,-0.08920124606953686,0.0456716036099496,0.1066189783369986,-0.29456106660687814,-0.26830024174589356,-0.44365561342461307,-0.02152800740662019,0.3167648981068558,0.22255794756681732,-0.033535889858940154,0.26363870369296594,-0.2874357879290924,-0.38855249281007975,0.02669499579878926,-0.0600841555618578,0.22762671911250146,0.09210012261775243,-0.3135367592686373,-0.31457820425489796,-0.43279197687969284,-0.4868521442118067,0.4366631777238092,0.22971480136786968,-0.3503259212486223,0.024694981835674444,-0.16009744307932178,-0.30517008736796103,0.10161004156401161,-0.20425234428634725,-0.06626321138282364,0.1495742342658279,0.15941088885321814,-0.30637877113239204,-0.07655409795395399,-0.009339922316723513,-0.09465791355601443,0.40395937008775723,0.31268483665535085,-0.27331965712977885,-0.17169641420560883,-0.07072044145400895,-0.12549246329516806,-0.09343884906536368,-0.38150408502123784,-0.4134194481474956,-0.3697509420715047,-0.5080432134827896,0.15960263364917635,0.020728811937435292,0.16965211305142588,-0.29343073001642456,0.3262548860399362,0.11610833847780437,0.03788131495979616,0.11891282685568147,-0.1642791432957171,0.10667259394083824,0.21411269599285812,0.26713238975307646,-0.018283956985922247
Mor07,0.28423248440767457,-0.3079452655796241,0.24954116214628377,-0.12530905041191315,-0.7624023100957804,-0.34696695617810414,1.0,-0.06780936735069183,-0.52486182154508,0.7103616553673154,-0.10578462727025043,0.12646782107114027,0.016227057013346573,-0.4489715561834524,-0.4881623035176437,0.4982429650387385,-0.2899908168948778,-0.006445090445069975,0.22230959017337665,-0.5905582614523205,0.5623380507001206,0.306135321900585,-0.057280287519086356,-0.26386263369981117,-0.19754533736006058,0.22823716410661438,-0.0704915519162537,0.7049663027357653,0.49714701243768444,-0.7451630555926004,0.6967026955929395,-0.2118407438513973,0.016079202748982373,-0.17073651597849646,0.2318172604847123,0.6031769163544839,0.7109218017793835,0.7824985366720247,0.4894368524791889,-0.0764660143324826,0.33683649499940105,-0.02736965418679326,-0.47944510942967344,0.2132929392717719,0.39075842065184235,0.7544605974103381,0.21163635942437303,-0.27124893768430175,-0.06733393336986138,0.16864353682036834,-0.18154983204770253,0.16591851876263777,0.677311056448412,0.07977648445450251,0.362609307915925,-0.20644056284953882,-0.09972266189694615,0.2680607343779232,0.4036314155428519,0.6819114208437155,0.5294453559767741,-0.12317822785114624,-0.23235967422783269,0.01697961286112749,0.18970489297787907,0.08491253582005792,0.3654062759078688,0.0020752455867762277,0.09338589952368549,0.1230167170946784,-0.22952860397770572,-0.4121394076494324,0.20663089162886436,0.28500333934320304,-0.23233899917337125,0.10026369578357858,-0.36905654553667416,-0.4299636661007708,0.31192418326697646,0.27017769766278843,0.3784916451924189,0.13075017548566514,0.2550170538199353,0.6661585212563986,0.714345585877119,0.6173264784171393,0.6852756288997034,-0.2040781554935544,-0.09236759681440278,-0.05731568188618078,0.5178140022146223,-0.17153474580106032,0.1201991220690296,-0.011678161699372316,-0.06975465872398877,0.38364105606058413,-0.1905519657472817,-0.16597532949863494,-0.5781609262718673,-0.15055161284177335
MATS4v,0.06580320594160251,-0.05770864933423626,0.045590366224364985,0.11863204253896449,0.10369572597284858,0.15097032626747192,-0.06780936735069183,1.0,0.07253309129657586,-0.004253934910073516,0.13664099561186183,-0.0048898715468884395,-0.0765724184690829,0.20672828924393807,0.14850318195753673,-0.0770602664289522,0.07453547882959302,-0.028938718034718616,-0.062419994780525456,-0.005602380665582906,-0.10234131590129593,0.001948474307640484,-0.06717731420266698,0.12054739769219164,0.09652417104773693,0.07623587866184614,-0.12225044192394796,-0.15240491843935858,0.017884472749320996,0.14129911216328855,-0.039135514487830064,-0.08779835306314263,-0.1340931209605407,-0.03465386976957354,-0.004506933982484349,0.16123482258583077,-0.0770558956510481,-0.19041036806182923,-0.00508148690127727,0.16714655003942744,-0.17085476884588421,-0.09208457158417041,0.015142247891716688,-0.10434143934500392,-0.096331023194022,-0.06191783609602548,0.035170646676043006,0.024961796220662896,-0.016535075980634455,-0.13053398113742087,0.23850555868172357,0.024127581163110253,-0.0700310924435051,0.05388028683909213,0.0037765008256382395,-0.2832528482912924,0.04699641620683717,-0.04266127098339461,0.015580110978160257,-0.06580188482614881,-0.273876567943201,-0.03882719419252187,0.08894651748880657,0.05246618694755431,-0.0322451044849036,-0.0911019510913718,-0.00895508256345294,0.29050873314143616,0.2389713744608551,0.03348114250362143,-0.0033236069719619014,-0.08163953277411182,0.10443158977291439,-0.002987622903678814,-0.05827879764083997,0.05374614313634183,0.22159326380543126,0.028382734259153348,-0.0019991105313464444,-0.08784349795630281,0.005991308275260661,0.04733291797310916,-0.046807679570900144,-0.13785173742827828,-0.068872390246091,-0.06058560762891086,-0.18208079800603483,0.12284938640759821,0.09790747319617536,0.07348508642165226,-0.14154068224775654,-0.08866928143251333,0.009078044021510488,0.04291648723107369,0.08489292385526613,-0.01460423135082627,0.0875889527851118,0.11089804013525058,0.09913416103648706,0.03438528123375938
FilterItLogS,-0.02293608050249821,-0.05211718461490816,0.016549983909484405,0.3477403860674326,0.7493609232711103,0.2733334340166276,-0.52486182154508,0.07253309129657586,1.0,-0.6014673098642404,0.28123479836850124,0.05692661343586682,-0.4768623727788319,0.4199313601269246,0.0273030156291715,-0.5342386242897436,-0.23437191445563432,0.04260040087883492,-0.08823205603125964,0.2659727346412222,-0.37539033276972944,-0.01372848581314637,0.04638711444063552,0.22549209505596,-0.2703805271721423,-0.15282773992929718,0.525024926235966,-0.42684120772165374,-0.6837757135923238,0.31807895611032494,-0.542982321087121,0.16965357212048074,-0.06937352497954284,0.35736566348460946,-0.20805026311171934,-0.5228045388410963,-0.6737648167576479,-0.6153890936487884,-0.716437657431188,-0.42781610451085306,-0.27593289180557556,0.05879249956103766,0.3751118835319695,0.10655988081574774,-0.1807550614922237,-0.7070757254717216,-0.1491907515836095,0.026145303952130793,-0.03797997432758569,-0.14774326306113117,0.36060286839887856,-0.11283571048545867,-0.8028655495397581,0.17305347038266095,-0.07095778747888218,0.27396422428701545,0.17876545281502496,0.137466490305735,0.024136161069280123,-0.8020397115133289,-0.4474401574851264,0.001099932866435304,0.4658197578473807,0.09792670627732243,0.03833366736135119,-0.3868456427936917,0.1129790274946808,-0.11311368752040415,-0.056510225118891484,-0.04034278145356849,-0.21363851210096674,0.6628040612370105,-0.5643667013272282,-0.3294448386273961,-0.10436791635850756,0.04148829224201643,0.08875668631225882,0.5978846324097513,0.17038394996707323,0.10186647615309956,-0.08604974419064336,0.389159497191328,0.045176206559472215,-0.3174867903044316,-0.7704867056520829,-0.5556991380754711,-0.557348338612868,0.4023136196197933,0.457291228258628,0.22003199497469425,-0.007350587646934388,0.0596673137389977,-0.3371750019754315,0.06000388346806267,-0.5114957404127571,-0.3033405028129363,0.15169478215654153,0.2724140770181297,0.3803089566394303,0.18375082203084353
piPC10,0.22521266869977044,-0.22878457884692305,0.2058235936498974,-0.10213870391408295,-0.7505067169355504,-0.2532756590082662,0.7103616553673154,-0.004253934910073516,-0.6014673098642404,1.0,-0.12376936837618066,0.14442768251459523,0.09933670647243122,-0.2987746966022173,-0.31357025940882044,0.5750995421381084,-0.14536697894886447,-0.02518017715166927,0.20745042548263837,-0.5433678489473982,0.43747879148820634,0.3107450600273826,-0.028658521369872323,-0.1909419394761295,-0.08796879291932816,0.163694033584143,-0.20704577490994597,0.5607053999864969,0.536875977095606,-0.6664651490718174,0.6741085230002268,-0.20942730073528765,0.05763830700815676,-0.18779493773734984,0.2941164445891218,0.7269683710227695,0.7064133318991168,0.6590869762455601,0.5666902498002379,0.023100342645971116,0.2165560482455806,-0.04724538204224176,-0.3749518337914163,0.15736527822287277,0.32815397519362544,0.7783048156808084,0.2319250138191987,-0.1388617991287414,0.04250730718719308,0.14348577446162947,-0.1599107652214817,0.19064749345243426,0.7487288149191668,0.013870527716934792,0.34045201518882956,-0.2848515873543359,-0.09849512111106723,0.22777781922070667,0.32524664393834996,0.7115445301299707,0.38228180655074323,-0.06405601919180522,-0.1518292452903687,0.016065253256318402,0.17400516486884224,0.09599755677320486,0.2972560941119049,0.02698799242099986,0.04744718505436884,0.08747981302123194,-0.16384335804236896,-0.5391268706179246,0.2840542949738996,0.30370762961033104,-0.14937084384958685,0.06573971828018098,-0.2805849180505773,-0.49410597673369594,0.2672311639969497,0.202172584312784,0.35514725472061853,0.04007535083048571,0.138377507725178,0.5620315247325608,0.7707813535912139,0.6173203217779316,0.5445523057192557,-0.16801800284933557,-0.1483555703680465,-0.05758407992468974,0.3456023592386745,-0.08797787506949213,0.18341190287703243,0.010904707354928923,0.026528626311977003,0.4282684394826648,-0.12490503442236991,-0.1307021800573337,-0.5725063746693494,-0.12552612442756667
