,SM1_Dzi,SM1_Dzv,SM1_Dzare,TopoPSA_NO_,MID_h,SM1_Dzpe,SM1_Dzp,nHetero,SM1_Dzse,FNSA2,PNSA4,ATSC0se,WNSA2,ATS0dv,TopoPSA,BCUTi_1h,SlogP_VSA10,WNSA4,AATS1i,RNCG,ATSC1are,VSA_EState3,BCUTse_1l,DPSA4,AATS1are,ATSC1se,AATS1pe,AATS1se,ATS2dv,ATSC1c,PNSA3,SLogP,SM1_Dzm,Xc_3d,SM1_DzZ,SMR,AATS1m,ATSC0c,BertzCT,PNSA1,EState_VSA9,Xpc_4d,BCUTv_1l,piPC5,DPSA3,ATSC1dv,ATS1dv,ATSC1pe,AATS1d,ZMIC4,FPSA3,nHBDon,AATSC1pe,AATSC0are,AATS1p,ETA_beta_s,AATS0i,Mor13,GRAVp,ATS5dv,MIC4,Mor26m,FNSA3,IC0,AATS0dv,GRAV,SRW10,ETA_dPsi_A,BCUTd_1h,AMW,AMID_N,Mor31,piPC2,Mor09se,AATS0are,ATSC0d,WNSA3,ATS3m,Xpc_5dv,MW,ATS0Z,GRAVH,ETA_psi_1,ATS6m,AATS0pe,GGI4,MIC3,ATS2Z,ATS2m,RPSA,ETA_epsilon_1,SRW08,Mpe,ETA_epsilon_4,AATS0se,GGI1,Mse,Mare,EState_VSA1,EState_VSA10
SM1_Dzi,1.0,-0.940724372076118,0.9642695208084825,0.5695668759727807,0.870084837063878,0.965134962212642,-0.9326031236261898,0.8869953570279471,0.9470608529464073,-0.8319819770440829,-0.8126300136547162,0.745914232059658,-0.6220607332868521,0.833788800066761,0.4554080104584043,0.7157622128749856,0.7570632388273567,-0.829880518384002,0.47010987746293487,-0.45423966932682297,-0.27131416109990225,0.2630378460716551,0.009595834724117262,0.7816850296817238,0.6138910558871238,-0.2716205635858802,0.600607756321227,0.5413872243923854,0.7617743327475508,-0.5179899621074334,-0.6967257687356964,-0.15548105869240028,0.6204094812791708,0.6367171619780037,0.6753437758251696,0.1430718625910578,-0.018573886479187014,0.6591611366537461,0.37945934563625305,0.6548116607577251,0.2831004955289597,0.5881266372566918,-0.41864973123741966,0.17694299319543827,0.6166676819149661,0.1659744584219426,0.6446356980389071,-0.24729346633059526,0.640444431326762,0.5545790059611446,0.09991054247597127,0.2727723363780258,-0.18435884457669954,0.6620652212495839,-0.10704187666140412,0.49891624486196223,0.5611602631755238,-0.29855419191752075,0.5254044340488929,0.5403727949860688,0.5011325018423343,-0.3272259416662664,-0.5705738062753953,0.502668453828686,0.7059829615899992,0.600900043695044,0.35245710841287553,0.024663522028799803,0.4345740383349625,0.17743205318122063,0.3081966582597366,-0.248724929097522,0.36199936849803815,-0.42248688837172077,0.673363117394848,0.4646884820718701,-0.6445881856980558,0.549618735936627,0.1400218011219098,0.4592125340248998,0.31216104527723865,0.5460368054362655,-0.041157706103719646,0.40561193296741394,0.6541155195029701,0.38515374147375403,0.5052939519330557,0.46471136161994003,0.47893375851385384,0.3504843219238586,0.6344366311716197,0.35460132270552625,0.6537806246804018,0.6025101414749289,0.6277131850104143,0.6206287818928266,0.6258346760250514,0.6779624570208173,0.6917030710192412,0.7806063426981421
SM1_Dzv,-0.940724372076118,1.0,-0.9724655924584791,-0.7043200333213021,-0.8388104334135437,-0.9471895326200337,0.9579376889480941,-0.8504450588499409,-0.9310369222250094,0.8462627556644022,0.7608259034316343,-0.8353533830120091,0.6526235861918789,-0.862035376434752,-0.5692798013734185,-0.631095022926425,-0.6209608363104432,0.8047848939015839,-0.42955706424067136,0.45249593249679265,0.27307179757109357,-0.3749279400580915,0.022650908574977428,-0.846108812492458,-0.561390725998141,0.26489550130335754,-0.5193522739992552,-0.4664289814236176,-0.7608977202041277,0.6343249167546363,0.7784104816470251,0.24511337507581768,-0.44815050100834847,-0.5782985157889304,-0.5210058380308222,-0.17594024484119988,0.0862150800363902,-0.7870794878349651,-0.39159218330486084,-0.5670851127818665,-0.25098477823654486,-0.5573256680934443,0.5017437425618384,-0.219918540869092,-0.7357878413021268,-0.23231194424239857,-0.6733886373550836,0.23980350682967425,-0.5632994920831362,-0.4672315685662054,-0.24159809899678583,-0.35910487766045207,0.14413673065738553,-0.6264322750673875,0.21888180402897864,-0.5337491026730432,-0.47541275073311046,0.2535616707275135,-0.519129307070756,-0.5880979966150737,-0.42317256925927943,0.3234499764975337,0.6188492840676006,-0.5093111823984284,-0.6458487732632006,-0.5754502682187799,-0.3843025257022099,-0.03257822580051055,-0.41875373771700486,-0.02658558994557731,-0.24119618779394075,0.18698030795591633,-0.40309089797844694,0.31954250562845216,-0.5779621528727193,-0.4826861697190009,0.7323061320646025,-0.514459590578307,-0.1299360368452399,-0.4460158621375407,-0.18694022196727494,-0.5366436721124915,0.05769373571990502,-0.43352460076968324,-0.5342063982150289,-0.41894615346770264,-0.4236136193235024,-0.4025881124563999,-0.39537844685657675,-0.4865972214747968,-0.5090312751191592,-0.388699738893824,-0.5326243727420225,-0.4798563069556825,-0.5104247421869825,-0.6034321611972189,-0.5075764637407189,-0.5821163871764349,-0.7487358924498275,-0.7836707249094953
SM1_Dzare,0.9642695208084825,-0.9724655924584791,1.0,0.6553700242876388,0.8835826278378673,0.9943468423036816,-0.9654630287133467,0.9018445043128571,0.9862101977856473,-0.8765963064858154,-0.8223934505294692,0.8544151506599507,-0.6657905888103378,0.863747943023336,0.54457935378436,0.6376658859731489,0.6468234843338819,-0.8582404010084992,0.4064822590276959,-0.4655340654761204,-0.2882620383977021,0.3561835396036796,0.002871913499083218,0.8569831503325863,0.5932047383451061,-0.2921420757833943,0.5736290414845744,0.5268184512437772,0.7632049377258585,-0.6161304472218612,-0.7962914420185849,-0.2043637314493764,0.6268782281647483,0.6188333746951764,0.6817616677225591,0.16194208484248354,-0.035807280662798174,0.7758410534375487,0.3739022834304571,0.6481977419310795,0.31430460744899413,0.5688990385085074,-0.4517178411789113,0.18472160252838607,0.722972696249491,0.19040700192144352,0.6582234620178006,-0.26177736103170784,0.6120125877964485,0.5526424712692589,0.163161439581572,0.3219232081980135,-0.17055576139836146,0.670134659518956,-0.13403054079933083,0.5190138885262409,0.48540783309059155,-0.2882262520363747,0.5446913489622297,0.5782238510563613,0.5069199434430377,-0.3303531616741396,-0.6377335818872201,0.5251560312909199,0.6799308859961231,0.6082314141364437,0.3744148337817887,0.02418242082888921,0.44063373483253393,0.1363993748245514,0.17674218596894212,-0.21855757293370875,0.38258668337059604,-0.3622081005865144,0.6381416338947938,0.47525914527697466,-0.7431408282965392,0.5489669659891621,0.12714471960000942,0.4805435900471214,0.2988994460518807,0.5598490149686232,-0.043368884513004954,0.4291546742273674,0.6128168518544961,0.4054953504161992,0.5083170653411005,0.46275109696460137,0.4682055573294766,0.45101929740435054,0.5973547123809052,0.3781095917550916,0.6135850213989994,0.5664386202721208,0.595524424024064,0.6239705138905302,0.5940334721927072,0.6442629186426261,0.7700578438147615,0.8123900475585527
TopoPSA_NO_,0.5695668759727807,-0.7043200333213021,0.6553700242876388,1.0,0.7262129607412021,0.6212545367955374,-0.5193908772013652,0.717563315206435,0.635220878070923,-0.6912169749847846,-0.49359479775871345,0.6742417839065733,-0.6377175174523878,0.6057816312223203,0.9028995706610662,0.27422226752994894,0.13536428891720198,-0.6305261929209757,0.1925495794563218,-0.3569396329311371,-0.2764926012949676,0.61440306378862,-0.07419703187487921,0.770110884626947,0.2627832130225878,-0.22825432181533295,0.22717581922978075,0.22694725990043457,0.519863742640461,-0.7580793213513226,-0.7718100604806839,-0.4201704718795318,0.27659578855122485,0.3331880330042137,0.34251634323763647,0.26690191579292494,-0.05958423111574325,0.7897785480357867,0.4439887815937453,0.4009638757776576,0.44071513685265784,0.3412033709316538,-0.350113754989545,0.32975488885337007,0.8290584409067091,0.20398522718599826,0.5450216652498431,-0.2584979608639012,0.30203181443298094,0.2550617706896299,0.5092814284726448,0.6664954217716408,-0.04009080804586324,0.23849815204234845,-0.12960715432844577,0.5005070949058388,-0.04680980254918996,-0.26305483117899786,0.5009694046533897,0.5409227996121772,0.37259313764583335,-0.3821473026078733,-0.5540670282350892,0.5751320529381073,0.22592038394081043,0.47935501797567354,0.3022538740386063,0.018141863917716435,0.26551193915859395,-0.049137338133882984,0.39021388298596243,-0.20269255629178815,0.39740246872954926,-0.06780464813564348,0.13904366324788153,0.3914238836939862,-0.7725664103680161,0.38809610255449256,0.14427011961016856,0.40696409440066783,0.17035881259194277,0.46284435252852435,-0.03499469600058381,0.4353804038620986,0.11639267702501027,0.462902780678154,0.36859306172902495,0.327210798682628,0.30216330786485224,0.6483848268322189,0.15262260669104571,0.3108408636796827,0.1412167342534259,0.11782718938195762,0.12638319426228103,0.44346251523050245,0.1415559716166914,0.16978472766802621,0.6662814652699341,0.3916988913660564
MID_h,0.870084837063878,-0.8388104334135437,0.8835826278378673,0.7262129607412021,1.0,0.8983268339548199,-0.755264380904307,0.9957838808681426,0.91864467030927,-0.830662800493583,-0.7612983478385398,0.7586808233105573,-0.7223859018937795,0.7913644907918467,0.7381827493211096,0.5002169433927733,0.5385861991938484,-0.8541492316817763,0.25998887731736703,-0.49890183521479303,-0.2601618365508688,0.32919129514650497,-0.049901358700033635,0.8261066886070706,0.4698581653264581,-0.24000282281691238,0.4831964860903662,0.4619422269509955,0.7339583498922174,-0.6162553143375546,-0.7355710100325296,-0.21031583991274175,0.7318523796442489,0.5926977088363677,0.8174425073095781,0.27014885704715064,0.045091567799949446,0.7127666828680902,0.478916347141542,0.7094861149293042,0.43119421244754685,0.5290703757753363,-0.27270734327686613,0.2630788556309758,0.692505624827388,0.17608848636498145,0.641795564118943,-0.2234809341436199,0.6048552731714013,0.6215468704287301,0.17083646289748353,0.3562358226574762,-0.14793446036690522,0.4975701110301501,0.053286081647105715,0.5792037177327805,0.25337530691898535,-0.33279791180999546,0.6820804278768307,0.607699352274663,0.6371700715807506,-0.3830339064998262,-0.532696830706515,0.6575156055193573,0.5280981600086007,0.7015500008559741,0.3702143365687406,0.03296045469688325,0.4232849369636678,0.24585658415703265,0.33954946815515646,-0.29423844790147063,0.4194426923104048,-0.3374919704518862,0.49468920857742044,0.4822559713051364,-0.7374401970002029,0.5986295175628684,0.20068212663556598,0.5818176534847912,0.4906089041070542,0.6464291809861796,-0.039258034242956256,0.5106403015845119,0.5015861786361643,0.4680815496155462,0.6371046980608817,0.5920098324075594,0.5982863638261574,0.39272336696748805,0.5333173371735316,0.37570550289586035,0.5182772460381372,0.49518751117015064,0.500529157518989,0.6135473270395385,0.5100181593651769,0.5152855449842066,0.7143750230723633,0.6488735165237284
SM1_Dzpe,0.965134962212642,-0.9471895326200337,0.9943468423036816,0.6212545367955374,0.8983268339548199,1.0,-0.9501420859673713,0.9193301755097932,0.9963308874044761,-0.8776365451959764,-0.8448819192957312,0.8424488801731324,-0.6609412248862004,0.8476852380873255,0.526086259060684,0.6349110975044139,0.6556398628829355,-0.8736987230063512,0.3914332257254058,-0.46657295085081857,-0.2991700613011994,0.3336840256133678,0.01182573291902973,0.8488037268520001,0.5996608043850955,-0.3073085382623089,0.5941175369509426,0.5507225095212289,0.7521058693708563,-0.5949544123949185,-0.7880701060483004,-0.18329348985045232,0.6848700122930946,0.631293835550444,0.7441093463265357,0.15068028112175408,0.0015412967279262516,0.7511875961957802,0.36147425243194437,0.6826911955085466,0.34755535017231853,0.5666421370897354,-0.4172038094060522,0.1622361652432391,0.701821292249752,0.1587937394762083,0.6374615254276672,-0.2761378676325111,0.6277378351561038,0.5874510113374398,0.1271257102285483,0.30110395775192644,-0.191974316389858,0.6823781348010954,-0.07396429985505451,0.5026887841277251,0.4846257408754019,-0.306732051101605,0.5514611103536168,0.562117380318482,0.5442366166196176,-0.3311834654274981,-0.6361808262912432,0.5301672180529132,0.687570271457507,0.6160044133966337,0.3586361455063324,0.026611144228041395,0.4427765838668924,0.20147781884481003,0.16039011270856576,-0.23977697988982907,0.36339414350347143,-0.38139528492726377,0.6604118747588573,0.46255954191263304,-0.7312398386215785,0.5567072209192733,0.12599914051751057,0.48988772786190493,0.35812959153220203,0.5625091640972939,-0.04038177251275182,0.4203721938195305,0.6466849531352981,0.39130483902834023,0.5464356416116705,0.4844964657121073,0.49621405898329174,0.4269818906100093,0.6373124521278809,0.3618029325705339,0.6489706220318203,0.6061156343525733,0.6325494594734101,0.6242447572588522,0.6319339446022965,0.6675419412381728,0.7672637431781331,0.8084061798176297
SM1_Dzp,-0.9326031236261898,0.9579376889480941,-0.9654630287133467,-0.5193908772013652,-0.755264380904307,-0.9501420859673713,1.0,-0.7820475795670964,-0.9280582944783083,0.8169830014719691,0.7926182829965932,-0.8040436836737681,0.5640662554943915,-0.823436284272349,-0.38907261618228056,-0.6524639212974586,-0.6933526239180587,0.7825340796523741,-0.4383962172175037,0.4187861141299096,0.3035244322633755,-0.29600882795819744,-0.009120641826984422,-0.7841497964673547,-0.6008081020525619,0.3084743179975524,-0.5671905906424125,-0.5078135640734589,-0.7209647263044312,0.5364193685241296,0.731781656232835,0.17395904785498395,-0.5226888454130614,-0.5907738213472318,-0.5652701073224032,-0.08126766306184548,0.0595435953084606,-0.712031671623999,-0.27891419514266413,-0.5666251543262455,-0.17900465053917214,-0.5441028210466448,0.4670413181183942,-0.11150435210697494,-0.6467505933758876,-0.1515703195509071,-0.594404752673025,0.2780359561771072,-0.5692962412657059,-0.48341030579350597,-0.1340057576716107,-0.25064844884205034,0.2098806099371603,-0.7187107138101402,0.1913101982144792,-0.4311670718409578,-0.5979688052271787,0.24387192402227903,-0.4302130152013438,-0.5062145631562432,-0.3847276871612589,0.24533463570785582,0.6236673706234668,-0.39793041616274055,-0.7227640436571383,-0.5075039353046111,-0.33473126676102005,-0.04858351319589525,-0.4124419406012343,-0.08487918785449694,-0.08201000863074061,0.16894949344915117,-0.31739412826242486,0.36065033447875583,-0.680520748474791,-0.42477246381309663,0.6517935219067722,-0.46901705900667257,-0.08243466175921263,-0.38008063752884896,-0.18421059120909225,-0.4643121739476458,0.06889572516850993,-0.3400696524198429,-0.6376664946218376,-0.31986169929784813,-0.387012053339112,-0.360693955050815,-0.36669567742936854,-0.413934121501894,-0.5915431181412965,-0.33655592831340747,-0.6262147818388782,-0.5696941785803269,-0.6085561716226241,-0.5713373796789343,-0.5988825231020127,-0.6736498677389737,-0.7220866119490498,-0.8383878148522307
nHetero,0.8869953570279471,-0.8504450588499409,0.9018445043128571,0.717563315206435,0.9957838808681426,0.9193301755097932,-0.7820475795670964,1.0,0.9386255191473212,-0.8443461699623768,-0.7969242077772029,0.760445097712992,-0.7017131503294892,0.7826608200128727,0.7245408801649269,0.5204595154002039,0.5619217521732589,-0.8665664344961739,0.29317766446975363,-0.4861569561793554,-0.2935296212817688,0.34138401767395726,-0.015438094435266381,0.832885814950663,0.5097977820040149,-0.2744110626178567,0.5260802076120815,0.5062983978926999,0.7177929074301668,-0.6126807785716291,-0.7564807919301788,-0.2281638011143474,0.750858231477225,0.6001317584012764,0.8370032732549172,0.220362872085757,0.057889359746561814,0.7115450856854183,0.43697219372043317,0.7185396162890524,0.4318628546097921,0.5213889013871916,-0.274324459294096,0.21311740838124096,0.6980789441944821,0.13455122644544235,0.6135300217080567,-0.26293793660768106,0.5976884031766713,0.622665999041071,0.1701329368346754,0.3663776822149632,-0.1883896343422882,0.5432777198150857,0.06227034699162239,0.5358040552493707,0.2984339829749693,-0.3544324493970795,0.6467523233954193,0.5853503967836925,0.6299216275318615,-0.3706275472379005,-0.5770109048922021,0.6432580364135813,0.5674360150603351,0.672884414771679,0.3353173293706218,0.04481234062801783,0.4141336973342156,0.27751254806005204,0.3218743594250223,-0.3156794978524036,0.37794698130610843,-0.3509511402885563,0.5445107208677434,0.4551093983952822,-0.7349638498937532,0.5738856836868793,0.17579508722349035,0.5497720363922134,0.48909043673415314,0.6141214720908186,-0.04901053386867747,0.4760915698010436,0.5528771651797088,0.43653716744591853,0.6306472546749494,0.5669321867425862,0.5803267611477148,0.4169852153188345,0.5814283381323988,0.3398882535085461,0.5685313937576536,0.5466910767979201,0.5531475179199771,0.6062907843094137,0.5619172586891512,0.5641457806605404,0.7404866528438833,0.6753282713754433
SM1_Dzse,0.9470608529464073,-0.9310369222250094,0.9862101977856473,0.635220878070923,0.91864467030927,0.9963308874044761,-0.9280582944783083,0.9386255191473212,1.0,-0.8818794481360259,-0.8488193409150684,0.847048582888087,-0.671528976279071,0.8374748702186625,0.5637822012867048,0.6042052611313976,0.6242150015897961,-0.8835995937241883,0.3627459957464307,-0.47151994234136835,-0.3066936811179756,0.34255251090011807,0.01184152636244745,0.8571856245996992,0.5879272351786039,-0.3125384065779273,0.5879687311030407,0.5525392758770441,0.7421412456932268,-0.6063625657296052,-0.7995404097258925,-0.18881919338436123,0.7125365384115668,0.6283042598874872,0.7793022884572753,0.1590285215331846,0.0052260687232440805,0.7572813483891069,0.3642466917732666,0.7007482365766723,0.37727600668197986,0.5556072772014863,-0.39863570077078964,0.16087767808847245,0.7128065203891716,0.1453714592090517,0.6270367394367808,-0.2833862613836531,0.6260980372768565,0.6068765267486546,0.12922289719109759,0.31107579823235654,-0.19502030133374723,0.6698127117179306,-0.051323583132606355,0.5040485093292073,0.44736344912846676,-0.3170593528260708,0.5676601749027811,0.564384115753883,0.5709497338723076,-0.3349337702040797,-0.6406350470655177,0.5556922636174912,0.6693120776412285,0.6261542104751042,0.35778859345232034,0.02530724140620044,0.44423701551242395,0.21558762752720448,0.14762482440574218,-0.25075513497534013,0.363758586038821,-0.3718235755379752,0.6471360884284343,0.45820751181961594,-0.7452683331972151,0.561923756305218,0.12980574322333802,0.5030789517535036,0.384013739944284,0.5714434497413231,-0.039315098372423335,0.427568868904853,0.6386917646582295,0.3938084160666945,0.5726630944958897,0.5026298879949822,0.5146595719684672,0.4344522598487286,0.6392423579372468,0.36112104093421,0.6434117624554364,0.6076964577821102,0.6301368638216944,0.6222472487152894,0.6311815000863787,0.6567182432448123,0.7773057006040003,0.7949002129265156
FNSA2,-0.8319819770440829,0.8462627556644022,-0.8765963064858154,-0.6912169749847846,-0.830662800493583,-0.8776365451959764,0.8169830014719691,-0.8443461699623768,-0.8818794481360259,1.0,0.8957232391978879,-0.7877120297148105,0.7783053119375765,-0.8635062057308945,-0.6304564436573943,-0.4483694928287745,-0.5417711384234347,0.9726659691403472,-0.19569233087910928,0.5421778949787751,0.40149907528314205,-0.4776744369439766,0.20595367469059686,-0.9127947934162387,-0.4207514102205297,0.39356632574336264,-0.4084336907399775,-0.3602483095637922,-0.810905382089625,0.689237231538247,0.8978044176530035,0.12796590188118478,-0.5914892879063292,-0.6029487031649774,-0.6537782302244227,-0.3010439688339858,0.039653184568447,-0.8204274661459604,-0.5463114631652811,-0.8247893620380978,-0.413454936914285,-0.6231016968235513,0.3061601459926584,-0.38790437036097714,-0.8526742566880217,-0.1005784853091651,-0.7380924969762316,0.39330098765299704,-0.7003399022420782,-0.5786316880197322,-0.2805264141071734,-0.4853985307954349,0.1789620336804624,-0.5444006579782631,0.06267927906193047,-0.6024105710434791,-0.23601988141095276,0.4028479115490406,-0.6411111638490585,-0.6566040992504164,-0.6275366503727984,0.44390999075697213,0.6936420553845963,-0.5779800136166919,-0.5525156615470078,-0.6919666293035086,-0.4642241651355543,-0.022155361428815426,-0.4406153047935234,-0.11367862948409173,-0.1251555923440539,0.2821705774530648,-0.527188691377427,0.44087112889713065,-0.47346375435932314,-0.5304456313877501,0.8491550491378289,-0.647363588317245,-0.19887218407588358,-0.5675807209323463,-0.36262127161283075,-0.638752435732357,0.03747987391924799,-0.49318539426053604,-0.45832724715615525,-0.5161164325659435,-0.6262262233354909,-0.5362806954066639,-0.533811778775043,-0.5070798432811572,-0.46785984308562933,-0.46800705543309995,-0.46707252305377756,-0.39387047111935564,-0.4368416188765506,-0.6299592966375395,-0.4391435906155103,-0.48588408262534094,-0.7923437569606734,-0.7170094490271374
