,nHAcc,piPC10,P_VSA_v_2,MDEC-12,ATS4i,Vx,MATS1p,nHet,DELS,ESOL,P_VSA_LogP_5,SIC5,nHDon,SpMax4_Bh(m),MAXDP,ATSC8m,SHED_DA,SPI,C-001,ATS6m,IC2,N%,piPC06,nRCOOR,MATS2m,ATS2m,MaxsCl,TPSA(NO),GATS2i,GATS8p,ATSC1v,MATS4m,P_VSA_MR_5,NssNH,MW,CIC2,piID,O%,SpMin7_Bh(v),ATSC1e,IC4,B01{C-Cl},LLS_02,P_VSA_s_5,MATS6v,GGI9,P_VSA_charge_3,QEDu,SHED_NL,MPC05,nC,GATS3e,NNRS,P_VSA_e_3,P_VSA_charge_7,F03{C-N},MaxssO,Mv,Hy,CATS2D_04_DA,P_VSA_charge_11,SIC0,P_VSA_charge_2,AMW,Mi,S1K,Vindex,GATS5i,Me,H-046,ATSC2e,MATS2p,SsCH3,CATS2D_06_DL,GATS2p,MATS5v,JGI4,ATS3m,MLOGP2,SpMax1_Bh(m),S3K,AAC,Fsp3,GATS7v,MATS7e,SpMin1_Bh(p),ATS1m,GATS1m,P_VSA_m_2,P_VSA_charge_12,P_VSA_i_3,MATS4i,GGI1,P_VSA_LogP_2,ATSC5e,IC1,RBF,CIC4,MDEC-23,O-060
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,4,4.12309397550809,135.656540386678,0.0,3.83258946823925,195.897009966778,0.247893266711945,4,29.2688888888889,-1.44473454041304,6.37114990148009,0.776981029442132,2,2.64634472564243,4.20787037037037,0.0,1.64938488846612,7.08703492918082,0,0.711438548832192,3.09003277660148,0.0,5.13211519163397,0,0.0480654043655933,3.30591028572473,0.0,74.6,1.06955025366563,0.0,1.39148637163435,-0.176341470077556,0.0,0,178.15,1.1578947368421,7.08330919520342,21.0526315789474,0.441871064302596,0.163625830803324,3.30055909239095,,1.0,0.0,0.172852484516218,0.0,0.0,0.533229119026796,0.0,3.78418963391826,9,0.757909978552122,0.5,0.0,0.0,,0.0,0.707347368421053,0.604574652518497,0,0.0,0.355238526965672,50.2898540648355,9.37631578947368,1.10964210526316,8.10821251569692,0.470944849814691,1.15711955241401,1.05052631578947,0,0.276601722132964,-0.0839251994472765,0.0,0,1.05267629163257,-0.361830047827969,0.0382478632478633,3.46084024579062,0.233485060920601,3.99563682326355,0.870245655428074,1.50902751253265,0.111111111111111,0.0,0.561069132782074,1.95855803806538,2.82667886666837,0.682005085391209,54.5430944597652,10.2669546645646,182.740948373039,-0.237244978475832,3.5,0.0,0.380416524432133,2.87950646081201,0.0,0.947368421052631,6.87156667535726,0
C(=C(F)F)(C(F)(F)F)C(F)(F)F,8,0.0,119.6809061681,0.0,3.93724002858882,127.906976744186,-0.181818181818182,8,51.0300925925926,-3.40165170486163,137.922942298551,0.0,0,1.581,3.20891203703704,0.0,0.0,9.5420856084005,0,0.0,1.95914791702724,0.0,0.0,0,0.0833333333333334,3.53149637236663,0.0,0.0,0.916666666666667,0.0,0.388331657777778,0.5,15.5190320745523,0,200.04,1.62581458369391,4.66343909411207,0.0,0.0,0.642663,0.930827083453526,,0.75,0.0,0.0,0.0,0.0,0.343060958362758,0.0,0.0,4,2.0625,0.0,0.0,0.0,,0.0,0.764466666666667,-0.322931216628678,0,3.18557495074005,0.25615214493032,0.0,16.67,1.36486666666667,11.2207792207792,1.03816330907987,0.0,1.303,0,0.80332875,0.0833333333333333,0.0,0,0.916666666666666,0.0,0.0,3.27002510888676,9.89643264154517,3.82695127035812,3.0169940864154,0.918295834054489,0.5,0.0,0.0,1.84882978424143,2.81277051187261,1.5,33.7610682050032,0.0,0.0,0.5,6.0,0.0,0.0,1.95914791702724,0.0,2.65413541726763,0.0,0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],7,0.0,211.934238818704,0.0,4.01554165266727,215.564784053156,0.462412101907996,10,46.5962962962963,-2.5403495124956,8.27024266057511,0.776981029442132,1,3.11874747582168,3.37175925925926,0.0,3.57165236692845,11.7107909299364,0,3.2730931587026,2.86557685520725,15.7894736842105,5.80945544149607,0,0.065842146296871,3.41448769029071,0.0,157.69,1.51050603608736,0.0,0.687239686426593,-0.276914845099978,0.0,0,229.12,1.38235065823634,7.3010212796333,36.8421052631579,0.164307209794382,0.264780465955678,3.30055909239095,,0.875,0.0,0.0454555156570717,0.0,0.0,0.49992114692674,0.0,3.71357206670431,6,1.02434353161661,1.0,17.0101534228619,0.0,,0.0,0.74041052631579,0.137615929941502,4,5.51349510705008,0.446528437794109,0.0,12.0589473684211,1.15582631578947,11.9680665129263,0.517114447004144,0.571288132656436,1.13665789473684,0,0.581791154210526,-0.092834634863161,0.0,0,1.35387250682359,0.197269227472212,0.0541062801932367,3.51615667727746,2.37962525480763,4.06312615138021,2.29938595894236,1.89682043644058,0.0,1.67865467145263,-1.46432512379173,2.17051752948043,3.06507202313845,0.504840942529442,44.2328910302973,0.0,218.466289389022,-0.194268989714747,4.5,0.0,0.474423669722992,2.72058277614601,0.157894736842105,0.947368421052631,5.11154483397018,0
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3,7.09215800197992,45.0547704745431,1.79208687174048,4.57134368542704,344.501661129568,-0.0479768506429433,4,16.991718037009,-4.18352954231846,29.4140335347946,0.911363427893155,0,3.19169058700909,5.02446837994457,12.9455216687603,0.0,8.99519350597391,0,3.65307224990428,3.90773427074249,6.06060606060606,5.97333239878457,0,0.0510341204058736,3.6843998303146,6.10836594720192,32.67,0.988976654673071,1.08834856269398,3.40811256220385,-0.124088591123867,22.0155477841103,0,284.76,1.13665984861597,9.3018017127315,3.03030303030303,1.01349228733659,0.0106443200000003,4.59727631626259,,1.0,0.0,0.0354955058107492,0.0,0.0,0.837468861776207,0.0,4.30406509320417,16,1.02193334482704,0.666666666666667,19.9098434421253,28.4287424202904,,0.0,0.689269696969697,-0.787179555370683,0,0.0,0.31453631535168,41.930456580548,8.6290909090909,1.11033939393939,13.0420943750105,0.299752171541845,1.0260277632026,1.00473333333333,0,0.129020906666667,0.111286317136969,1.7624253590325,0,0.753234457000118,-0.0627056982296834,0.0409201388888889,3.84948690541321,11.2574776076944,4.05787989846728,2.41326325332672,1.58664513948469,0.125,1.32065724279731,-0.100363299350139,2.03183201052651,3.30357352737605,0.557714435887061,126.311805911483,4.70464993506731,217.317897049874,-0.131272539680432,3.5,5.23001823598005,0.227336866666667,3.17743531710279,0.0285714285714286,0.447117803095861,17.8004596561665,0
C(C(C(F)(F)F)(F)Cl)(F)Cl,5,0.0,74.8005663550623,0.0,2.95144502938108,143.538205980066,-0.0684308226090835,7,34.349537037037,-3.33127531046293,74.8005663550623,0.0,0,2.26018927280079,3.8533950617284,0.0,0.0,7.56773651634228,0,0.0,3.02716911844062,0.0,0.0,0,-0.292426466343712,3.62859414111638,4.16045524691358,0.0,1.03526307485097,0.0,0.477522104876033,0.0002259639066909,7.75951603727614,0,202.94,0.432262500196679,4.02535169073515,0.0,0.0,0.465056088842975,1.45470020087821,,0.875,0.0,0.0,0.0,29.9202265420249,0.305723481239246,0.0,0.0,3,0.816513990667346,0.0,0.0,0.0,,0.0,0.788972727272727,-0.288075770336738,0,0.0,0.517405537275823,0.0,18.4490909090909,1.29520909090909,10.2467532467532,1.10162702608651,0.0,1.24957272727273,0,0.658375246115703,-0.0801031875341473,0.0,0,0.957995945189439,0.0,0.0,3.96682288569089,9.77389402570138,4.06503643391595,2.12009211356947,1.78992907531,1.0,0.0,0.0,1.76760094190904,2.82716568199237,0.726206323215157,10.2538499491906,2.49433391191448,90.0683901201543,0.0307161917462995,5.0,0.0,0.0,2.22219157550668,0.0,2.00473141775909,0.0,0
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,3,3.84079549613978,61.2897419524419,0.0,3.37263306639447,244.06976744186,-0.0195671956787032,7,31.5289506172839,-4.58282298598307,31.3734639157232,0.761105843510839,0,3.31787460317822,4.22463592844545,0.0,0.0,9.93359681385111,0,2.18205560578999,2.70689059560852,0.0,5.63478960316925,0,-0.109111457735958,3.79530745760383,5.74796296296296,47.28,0.825467771455111,0.0,0.0579510400000001,-0.151891197235951,0.0,0,285.88,1.2,7.40363222595055,20.0,0.0,0.323099712,2.97355726227519,,1.0,0.0,-1.79483706712079,0.0,50.2898540648355,0.510248852749476,0.0,4.02535169073515,8,1.20207532342199,0.5,0.0,0.0,,4.33929012345679,0.9672,-0.520918746081136,0,0.0,0.372819439522618,0.0,19.0586666666667,1.08230666666667,11.1694019613028,0.446401305206044,0.802674076286908,1.13626,0,0.5222336076,0.294758660185513,0.0,0,0.422981636345639,-0.943156738383219,0.0692028985507247,4.3082751195395,15.3736556296618,4.27613983076646,1.46466974501648,1.45656476213095,0.0,0.0,0.0,1.8841152533094,3.26329836962089,0.659469579303042,34.7562369803698,0.0,217.88431819957,-0.181206673247411,3.5,0.0,0.2521257408,2.44022392894185,0.0,0.933333333333333,0.0,1
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,4,4.46662625154002,96.8389087639757,5.10727085714975,5.09198723911366,454.817275747508,-0.0305402606128955,4,22.3012159831969,-3.76319356692133,19.4288909329307,0.911394613650776,2,3.32997456295578,4.81525957259498,20.5173414073373,5.0,14.2496217469858,2,3.30656476979016,4.59882024669601,1.92307692307692,4.79888492661149,0,-0.0048606628338948,3.58037017546768,0.0,58.56,1.18344315473164,0.987505186513672,7.24443204375739,-0.0846279843152376,50.4395222447955,1,319.49,1.10161947144508,7.42435171950855,5.76923076923077,1.42846719346238,0.0574060105547328,5.19535005455474,,1.0,18.0107506830303,-0.0640558367295015,0.105625,0.0,0.63419590844363,0.0,3.61091791264422,19,0.843338845374366,1.0,18.0107506830303,32.2761968544003,,5.05052432308164,0.568096153846154,0.235447840471355,0,5.24342809458424,0.236405198181588,25.1449270324178,6.14403846153846,1.13344807692308,19.5659500427153,0.287490155382744,0.919041366493805,0.989501923076923,15,0.201882449785502,-0.0491365442395892,5.90120143087133,1,1.16226129851803,0.0314835249902545,0.0388405797101449,3.63393572974369,9.69169558731046,3.88794282855433,8.07619025632706,1.34761358128934,0.526315789473684,0.86256004720457,0.133300213171564,2.01597412514049,3.33728588772416,1.03321761480324,121.837469998072,4.70464993506731,396.647911988884,-0.110427192155512,4.5,32.7891137210153,0.351090951372042,3.25376835104909,0.192307692307692,0.505089663586351,12.6385699766901,1
C(=O)(N)NO,4,0.0,115.320481475171,0.0,2.2881472836133,86.9601328903655,0.0912369986720729,4,7.87962962962963,0.464487992297317,0.0,0.263230027380949,4,1.27372045982241,2.22916666666667,0.0,2.87174588749259,2.80360215748814,0,0.0,2.94770277922009,22.2222222222222,0.0,0,0.0440299547771291,1.98381933357474,0.0,75.35,1.36209377923664,0.0,0.507160586666667,-0.362650164347922,47.3698855460813,1,76.07,0.222222222222222,2.99573227355399,22.2222222222222,0.0,0.119131445925926,2.2432750011218,,1.0,14.4726980740158,0.0,0.0,39.6176251064335,0.351934333511674,0.0,0.0,1,1.1384276116702,0.0,47.3698855460813,0.0,,0.0,0.555466666666667,4.46631425107267,0,0.0,0.579380164285695,42.8056688966715,8.45222222222223,1.2034,4.55844155844156,1.10562346538997,0.0,1.08242222222222,0,0.164086044197531,-0.587603875527428,0.0,0,1.8561298882232,1.14307031124746,0.0,1.61946011397184,3.45736721270802,3.45700067082677,3.55844155844156,1.83659166810898,0.0,0.0,0.0,1.73104135081334,1.89093448456113,0.926486051184367,51.6457080839336,0.0,67.9505959290893,0.0126207126207134,1.5,47.3698855460813,0.0395492187654322,2.64160416786859,0.0,0.926650000320513,0.0,0
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,4,5.53782627194851,77.7210883448065,0.0,4.12399480364865,332.159468438538,0.0327747902396275,6,28.4373849966272,-4.69341659728729,40.8035972447694,0.673119917936914,0,3.43487801679686,4.58221550348534,2.54466117765307,0.0,10.9769285874788,0,3.51174753900442,2.95021206491475,0.0,5.31566600488265,0,0.0088503546383596,3.73038394400123,5.68840271279164,52.6,1.12132433114567,0.860605240009358,2.00682593311224,-0.268639051768064,0.0,0,311.12,1.85714285714286,8.11998569209249,14.2857142857143,0.76537605159434,0.229159262295919,3.23592635062903,,0.875,0.0,-0.013100645803488,0.1025,77.7210883448065,0.738739525515964,0.0,3.80666248977032,14,0.853638811172914,1.0,0.0,75.809979787441,,4.44983914399093,0.755292857142858,-0.688782110949348,0,0.0,0.351418144516779,0.0,11.1114285714286,1.10005714285714,14.6897746423672,0.259395818548883,0.673044948769713,1.04909285714286,0,0.402081254081633,-0.0782899168375301,0.0,0,0.896656697567571,0.430982765329247,0.0382222222222222,3.77003439226055,22.3365607851862,4.01676598896992,4.14197249550975,1.68939174674309,0.0,0.924550067958537,0.0238541048100438,1.98253497526112,3.35619153731333,0.470510440987837,103.565003704492,0.0,250.187192441093,-0.183793743430942,4.5,0.0,0.651520382142858,2.66449777920046,0.172413793103448,1.57142857142857,13.9638726481531,2
C1=CC=C(C(=C1)C(=O)N)O,3,0.0,100.725457665404,0.0,3.61757081025908,171.345514950166,0.249996891280795,3,14.7594444444444,-1.53957234807443,3.18557495074005,0.971217583280208,3,2.52697584409387,3.48398148148148,0.0,1.88988157484231,5.24830393355641,0,0.356170054503509,3.38158048830916,5.88235294117647,4.12309397550809,0,0.0356830887093767,2.81236721910568,0.0,63.32,1.1217676266264,0.0,1.59835274186851,-0.153011621246194,32.8971874720655,0,137.15,0.705882352941177,5.92392151695011,11.7647058823529,0.13935816470367,0.0769524428373705,3.96981578242681,,1.0,0.0,0.564070745763555,0.0,0.0,0.657835010987452,0.0,2.70805020110221,7,1.09474972398483,1.0,32.8971874720655,18.9524949468603,,0.0,0.648905882352941,1.69040930967708,2,0.0,0.405600368551075,25.1449270324178,8.06764705882353,1.12721764705882,6.93158388003749,0.569796201219269,0.745879254008621,1.02395294117647,0,0.0993112682352944,-0.117312143111176,0.0,0,1.17286578105033,-0.114946159000349,0.0377777777777778,2.79999913156522,1.53068406033052,3.87174137455345,1.41651976832032,1.65787643484996,0.0,0.0,0.452054184123402,1.99253330381599,2.5237701933946,0.823483622034509,78.6924022515934,0.0,114.9126781797,-0.357963707906764,2.0,32.8971874720655,0.239132254117648,3.02863931183857,0.0588235294117647,0.11764705882353,5.5531575740481,0
