,SM1_Dzi,FNSA2,TopoPSA_NO_,SM1_Dzare,PNSA2,SM1_Dzv,PNSA4,SM1_Dzpe,WNSA4,SM1_Dzse,RNCG,DPSA4,MID_h,ETA_epsilon_1,AATS1se,nHetero,ATS0dv,ATSC0se,AATS1are,AATS1i,SM1_Dzm,TopoPSA,ATSC1are,BCUTi_1h,SM1_Dzp,ATS4dv,DPSA3,ATS3dv,WNSA2,Mare,SlogP_VSA2,AMID_h,AETA_beta_s,ATSC0are,MID_N,ZMIC5,GRAV,AETA_eta_R,SM1_DzZ,ATS2dv,PNSA3,ATSC0c,EState_VSA9,ETA_dPsi_A,Mm,ATSC1pe,ATS2m,Mi,Mpe,MIC2,AMW,ETA_eta_F,AATS1dv,AATS1pe,ETA_dEpsilon_C,Xc_3d,IC0,Xpc_4d,AATS0se,Mse,ATS3m,AATS0Z,ATS1dv,AATS0dv,PEOE_VSA1,BCUTc_1l,AATS1Z,AATS0m,ATS3Z,AATSC1are,PNSA1,AATS1m,Mor13p,TPSA,SlogP_VSA10,ATSC1se,ETA_dEpsilon_D,EState_VSA1,AATSC1dv,WNSA3,FNSA4,FilterItLogS,ATS2Z,AMID_C,Xpc_5d,WNSA1,MWC09,SpDiam_A,ATSC0pe,AATS0are,ETA_dEpsilon_A,ETA_beta,Mor05m,AATS0i,Xc_3dv,Mor13,BCUTv_1l,MZ,SLogP,BCUTse_1l
SM1_Dzi,1.0,-0.8319819770440829,0.5695668759727807,0.9642695208084825,-0.7468641486659026,-0.940724372076118,-0.8126300136547162,0.965134962212642,-0.829880518384002,0.9470608529464073,-0.45423966932682297,0.7816850296817238,0.870084837063878,0.6344366311716197,0.5413872243923854,0.8869953570279471,0.833788800066761,0.745914232059658,0.6138910558871238,0.47010987746293487,0.6204094812791708,0.4554080104584043,-0.27131416109990225,0.7157622128749856,-0.9326031236261898,0.6629933520257766,0.6166676819149661,0.6984632685467341,-0.6220607332868521,0.6779624570208173,0.5078995699205427,0.5120038675524865,0.5591907377675467,0.7754990469250528,0.4968809933249641,0.5738101731296399,0.600900043695044,0.513994841793242,0.6753437758251696,0.7617743327475508,-0.6967257687356964,0.6591611366537461,0.2831004955289597,0.024663522028799803,0.17673517647394857,-0.24729346633059526,0.47893375851385384,0.5509856840051939,0.6537806246804018,0.5178800385836848,0.17743205318122063,0.5735900152656718,0.6705569404358257,0.600607756321227,-0.585801004237817,0.6367171619780037,0.502668453828686,0.5881266372566918,0.6277131850104143,0.6258346760250514,0.549618735936627,-0.00749422442285564,0.6446356980389071,0.7059829615899992,0.30673253907347686,-0.1241749245151774,-0.010255195597047042,-0.02056324795030797,0.49125746144545945,-0.19575345822087145,0.6548116607577251,-0.018573886479187014,-0.29990312987427176,0.4786899693677748,0.7570632388273567,-0.2716205635858802,0.099468176335099,0.6917030710192412,0.020179708507181104,-0.6445881856980558,-0.6539713691695802,-0.02293608050249821,0.46471136161994003,-0.3949026095403204,0.49591811625348453,0.554721415640091,0.34439421106469487,0.35893829801128735,0.7321376685489692,0.673363117394848,0.6199374178822654,0.3940163913145015,-0.4596618485145654,0.5611602631755238,0.07621155121920692,-0.29855419191752075,-0.41864973123741966,0.18771182138823486,-0.15548105869240028,0.009595834724117262
FNSA2,-0.8319819770440829,1.0,-0.6912169749847846,-0.8765963064858153,0.9257870640171322,0.8462627556644019,0.8957232391978879,-0.8776365451959764,0.9726659691403472,-0.8818794481360258,0.5421778949787751,-0.9127947934162387,-0.8306628004935829,-0.46785984308562933,-0.3602483095637922,-0.8443461699623768,-0.8635062057308945,-0.7877120297148105,-0.4207514102205297,-0.19569233087910928,-0.5914892879063292,-0.6304564436573943,0.40149907528314205,-0.4483694928287745,0.8169830014719691,-0.7424816969063577,-0.8526742566880217,-0.7779308638532453,0.7783053119375765,-0.48588408262534094,-0.5515317855509961,-0.3666268736249252,-0.5532995752551543,-0.7706941197561654,-0.35442875466989726,-0.6002788251519896,-0.6919666293035086,-0.6081721686582,-0.6537782302244227,-0.810905382089625,0.8978044176530035,-0.8204274661459604,-0.413454936914285,-0.022155361428815426,-0.11277157072210803,0.39330098765299704,-0.533811778775043,-0.21900717832608776,-0.46707252305377756,-0.6103759628732719,-0.11367862948409173,-0.7230355833349297,-0.5598893775998572,-0.4084336907399775,0.3729894291049973,-0.6029487031649774,-0.5779800136166919,-0.6231016968235513,-0.4368416188765506,-0.4391435906155103,-0.647363588317245,0.03754927517465499,-0.7380924969762316,-0.5525156615470078,-0.4570426046268989,0.17127670614927848,0.03521633834516686,0.04654927072295499,-0.5983778944385024,0.18548743691731653,-0.8247893620380978,0.039653184568447,0.5048092231510688,-0.6819695552759825,-0.5417711384234347,0.39356632574336264,-0.1865166782041623,-0.7923437569606734,0.021849580973832904,0.8491550491378289,0.659862207696934,0.05238458563955755,-0.5362806954066639,0.22926449481475625,-0.5590044319993488,-0.7407809494166888,-0.46416057006319517,-0.46183568039785394,-0.748746562484816,-0.47346375435932314,-0.4479252234910923,-0.583427207024642,0.5451154441840176,-0.23601988141095276,-0.07627456001717513,0.4028479115490406,0.3061601459926584,-0.12314112153514452,0.12796590188118478,0.20595367469059686
TopoPSA_NO_,0.5695668759727807,-0.6912169749847846,1.0,0.6553700242876388,-0.7066369795763461,-0.7043200333213019,-0.49359479775871345,0.6212545367955374,-0.6305261929209757,0.635220878070923,-0.3569396329311371,0.770110884626947,0.7262129607412021,0.15262260669104571,0.22694725990043457,0.717563315206435,0.6057816312223203,0.6742417839065733,0.2627832130225878,0.1925495794563218,0.27659578855122485,0.9028995706610662,-0.2764926012949676,0.27422226752994894,-0.5193908772013652,0.5077333996924881,0.8290584409067091,0.47449188678473614,-0.6377175174523878,0.16978472766802621,0.6097559802151273,0.33085081340413863,0.44347413128644136,0.6465712462208324,0.5700351427475229,0.262734963708745,0.47935501797567354,0.44334648342596183,0.34251634323763647,0.519863742640461,-0.7718100604806839,0.7897785480357867,0.44071513685265784,0.018141863917716435,-0.04998286286319036,-0.2584979608639012,0.30216330786485224,-0.019814838903377034,0.1412167342534259,0.3726229198176328,-0.049137338133882984,0.5731803995188749,0.27213388694563717,0.22717581922978075,-0.10591032661727255,0.3331880330042137,0.5751320529381073,0.3412033709316538,0.12638319426228103,0.1415559716166914,0.38809610255449256,-0.09277932040998584,0.5450216652498431,0.22592038394081043,0.6421465860756429,-0.2733196571297789,-0.06090252969982709,-0.09100323398015057,0.38510261091506215,-0.05344599904820917,0.4009638757776576,-0.05958423111574325,-0.3412525062226295,0.8289860487692259,0.13536428891720198,-0.22825432181533295,0.37296505299431937,0.6662814652699341,0.05830740856794402,-0.7725664103680161,-0.29292428339300514,0.17038394996707326,0.327210798682628,-0.22000188144105864,0.34389929020082577,0.4690218757012602,0.30942154666715227,0.29413056853300784,0.6532388095250934,0.13904366324788153,0.14086653213390432,0.48563124264800006,-0.3820465716111897,-0.04680980254918996,0.02564261627524591,-0.26305483117899786,-0.350113754989545,-0.044482412385786034,-0.4201704718795318,-0.07419703187487921
SM1_Dzare,0.9642695208084825,-0.8765963064858153,0.6553700242876388,1.0,-0.7965084389004389,-0.9724655924584787,-0.8223934505294692,0.9943468423036816,-0.8582404010084992,0.9862101977856473,-0.4655340654761204,0.8569831503325863,0.8835826278378673,0.5973547123809052,0.5268184512437772,0.9018445043128571,0.863747943023336,0.8544151506599507,0.5932047383451061,0.4064822590276959,0.6268782281647483,0.54457935378436,-0.2882620383977021,0.6376658859731489,-0.9654630287133467,0.6797005358380063,0.722972696249491,0.7010203028275871,-0.6657905888103378,0.6442629186426261,0.6000231405657172,0.4949788561403501,0.5624528807515368,0.8653623413836611,0.36823719430328744,0.5696026219702712,0.6082314141364437,0.5458861304328043,0.6817616677225591,0.7632049377258585,-0.7962914420185849,0.7758410534375487,0.31430460744899413,0.02418242082888921,0.13558622622726568,-0.26177736103170784,0.4682055573294766,0.47943055060503637,0.6135850213989994,0.520548201578825,0.1363993748245514,0.584140330975146,0.6357711555516914,0.5736290414845744,-0.5500846307574052,0.6188333746951764,0.5251560312909199,0.5688990385085074,0.595524424024064,0.5940334721927072,0.5489669659891621,-0.034647819014147783,0.6582234620178006,0.6799308859961231,0.41472634664824487,-0.21259205932648342,-0.028659925532300866,-0.045903809990406934,0.49859322136059536,-0.18681918906435024,0.6481977419310795,-0.035807280662798174,-0.28851988129468226,0.6089850989071116,0.6468234843338819,-0.2921420757833943,0.11203356922495389,0.7700578438147615,0.029529581896454826,-0.7431408282965392,-0.6431274067877034,0.02833575059558317,0.46275109696460137,-0.3755631965141515,0.48387787197408727,0.5683998016297137,0.36779509437535146,0.37555042649060855,0.825633987518692,0.6381416338947938,0.5830693736819454,0.3964363001220499,-0.4656468241931617,0.48540783309059155,0.05037652271313062,-0.2882262520363747,-0.4517178411789113,0.14652260044882867,-0.2043637314493764,0.002871913499083218
PNSA2,-0.7468641486659026,0.9257870640171322,-0.7066369795763461,-0.7965084389004389,1.0,0.7752864592419003,0.7099898579710704,-0.7933585285382199,0.932716945076072,-0.8022083314940899,0.5751895041072831,-0.8496693475264473,-0.8118475565609664,-0.2655358743174522,-0.1807875540761379,-0.8045102747335242,-0.8963766903915932,-0.8105470952324109,-0.23673655572533434,-0.05597081201159756,-0.5345024694557955,-0.6500316423030792,0.23155192486183646,-0.336663667325162,0.7057792814758274,-0.8420859025622833,-0.8214496785981169,-0.8416149870338783,0.9533293938968983,-0.27198804964197415,-0.5938207350906017,-0.19112274465861454,-0.5288480535804659,-0.7959367404678085,-0.4260381010768165,-0.6035097688210399,-0.8440532161568255,-0.7302734997693269,-0.591182263128156,-0.8587363695023225,0.8099846644770712,-0.8200040034962245,-0.4208148400008695,-0.003945756372597532,-0.03990616692838821,0.2135743354858425,-0.6462418259588883,-0.048660310128571714,-0.25948023776465945,-0.5838960394222683,-0.040563185313929,-0.8528041123938161,-0.40912789804785205,-0.22589031758753275,0.16958705653559028,-0.6012976086155918,-0.5135499441065594,-0.6651677001790791,-0.22764689050505468,-0.23185157907151097,-0.7763206071803552,0.05469356581695603,-0.8452779851092741,-0.34806721267474994,-0.5118610031015866,0.26509815081759586,0.04487479936669448,0.058070237312863926,-0.7540467578365171,0.02490819088273252,-0.7976665423791908,0.04500092350980593,0.47931984576547326,-0.6246980193168665,-0.44993079742121234,0.2247401565139496,-0.0780343261041848,-0.7179427302394868,-0.0979608046504215,0.924042431035409,0.3979875755980382,0.26597273464122206,-0.6811854346116902,0.04963500375324971,-0.6474718181064155,-0.8849727833991925,-0.537752257760066,-0.5085293012395481,-0.8066555805104891,-0.2583411244453074,-0.24286640130438322,-0.7418324163738185,0.6523935406090539,-0.061669087940882925,-0.11737411057561174,0.2287383480776332,0.2539768948033681,-0.04573520171613515,-0.05331397541698684,0.27784054182671186
SM1_Dzv,-0.940724372076118,0.8462627556644019,-0.7043200333213019,-0.9724655924584787,0.7752864592419003,1.0,0.7608259034316343,-0.9471895326200337,0.8047848939015839,-0.9310369222250094,0.45249593249679265,-0.846108812492458,-0.8388104334135437,-0.5090312751191592,-0.4664289814236176,-0.8504450588499409,-0.862035376434752,-0.8353533830120091,-0.561390725998141,-0.42955706424067136,-0.44815050100834847,-0.5692798013734185,0.27307179757109357,-0.631095022926425,0.9579376889480941,-0.6797363784715358,-0.7357878413021268,-0.7009069744201537,0.6526235861918789,-0.5821163871764349,-0.604584525827491,-0.4200148296598882,-0.5666999492590529,-0.8585629327172073,-0.4291980615110696,-0.4809467419475451,-0.5754502682187799,-0.5459433675246098,-0.5210058380308222,-0.7608977202041277,0.7784104816470251,-0.7870794878349651,-0.25098477823654486,-0.03257822580051055,-0.02529101863728139,0.23980350682967425,-0.39537844685657675,-0.47694637581067734,-0.5326243727420225,-0.43560522032297294,-0.02658558994557731,-0.597425494392146,-0.6185705825039708,-0.5193522739992552,0.4633296141243678,-0.5782985157889304,-0.5093111823984284,-0.5573256680934443,-0.5104247421869825,-0.5075764637407189,-0.514459590578307,0.10735895144814064,-0.6733886373550836,-0.6458487732632006,-0.44750331647835023,0.2516816585273727,0.08702075091567449,0.10999805262022663,-0.4746018045355923,0.1701453458245863,-0.5670851127818665,0.0862150800363902,0.2910062576508381,-0.6406794582778695,-0.6209608363104432,0.26489550130335754,-0.14215673740771737,-0.7487358924498275,-0.05727882973690636,0.7323061320646025,0.5887794064782205,-0.05211718461490816,-0.4025881124563999,0.3057982299413769,-0.4798281994114163,-0.5221596698197568,-0.3814073898676963,-0.38102797505288705,-0.8209916971952828,-0.5779621528727193,-0.4942267460747308,-0.4157141232421054,0.49755017614935104,-0.47541275073311046,0.019125938171301506,0.2535616707275135,0.5017437425618384,-0.031914566409597014,0.24511337507581768,0.022650908574977428
PNSA4,-0.8126300136547162,0.8957232391978879,-0.49359479775871345,-0.8223934505294692,0.7099898579710704,0.7608259034316343,1.0,-0.8448819192957312,0.9051005519445379,-0.8488193409150684,0.4163857521272532,-0.8293298694472808,-0.7612983478385398,-0.7331296771537748,-0.5868974414503584,-0.7969242077772029,-0.6920304145710728,-0.6015957231494283,-0.6179699062458144,-0.34466915213742016,-0.6576464563551321,-0.4584423884964276,0.5045957461404297,-0.539975822942259,0.7926182829965932,-0.5133488859922183,-0.6898889468990684,-0.5668451493179013,0.523515711498293,-0.741067153275857,-0.3615164908156695,-0.6006900494362026,-0.45120411910934055,-0.5871950450315742,-0.2381301311370053,-0.5600892008038687,-0.4653369692285889,-0.34838594833332476,-0.7228661664059156,-0.6370169383282175,0.7974013120555784,-0.6224276037751583,-0.3692493781013901,-0.044997885655648905,-0.28677069142455186,0.5050287891668502,-0.3996948280734609,-0.4292004079743991,-0.7332752105554325,-0.5821715376578338,-0.2875667615645771,-0.4774468719255733,-0.6588099034207895,-0.6257042382599232,0.6609922240336833,-0.5430590955808888,-0.5084833634332582,-0.45470998478954083,-0.7133100990950643,-0.7132228282816059,-0.42129367199325957,-0.054577128295362626,-0.49329425125682846,-0.7631128969751445,-0.22751709798059758,-0.009339922316723443,-0.030990708521260412,-0.03206788889445096,-0.34747411252034677,0.4353410267746008,-0.7959337844486001,-0.013088948733754687,0.41616489747997804,-0.5424634747093965,-0.6050904221237879,0.5026171380385751,-0.2215643346806988,-0.7101521997814615,0.25525562494876997,0.6205495674144406,0.9110172953373683,-0.10436791635850756,-0.36097034696992003,0.49500656797014236,-0.3574615044644022,-0.5440840605578794,-0.23980258050801556,-0.2649190583946813,-0.5325457235953207,-0.7320578870941837,-0.7215711284893473,-0.3269388429285227,0.313720275321953,-0.45646443512503926,-0.0890068693965036,0.5099033776213382,0.27172907371862043,-0.305822505490068,0.20375088245449083,0.027558866899355716
SM1_Dzpe,0.965134962212642,-0.8776365451959764,0.6212545367955374,0.9943468423036816,-0.7933585285382199,-0.9471895326200337,-0.8448819192957312,1.0,-0.8736987230063512,0.9963308874044761,-0.46657295085081857,0.8488037268520001,0.8983268339548199,0.6373124521278809,0.5507225095212289,0.9193301755097932,0.8476852380873255,0.8424488801731324,0.5996608043850955,0.3914332257254058,0.6848700122930946,0.526086259060684,-0.2991700613011994,0.6349110975044139,-0.9501420859673713,0.6668216918127171,0.701821292249752,0.6891032194144612,-0.6609412248862004,0.6675419412381728,0.5840471567688864,0.5362755683302322,0.5521761702632028,0.847612320488532,0.3506578808532439,0.6061390452372845,0.6160044133966337,0.5323384909373035,0.7441093463265357,0.7521058693708563,-0.7880701060483004,0.7511875961957802,0.34755535017231853,0.026611144228041395,0.20084389331699512,-0.2761378676325111,0.49621405898329174,0.4742260948597577,0.6489706220318203,0.559074615535051,0.20147781884481003,0.5695674082740007,0.6332570975972752,0.5941175369509426,-0.5901979525465293,0.631293835550444,0.5301672180529132,0.5666421370897354,0.6325494594734101,0.6319339446022965,0.5567072209192733,0.014689253771762866,0.6374615254276672,0.687570271457507,0.384350756793673,-0.18097507590199147,0.012595847145124451,-0.0006430783503872475,0.5012069803869654,-0.20248585516474502,0.6826911955085466,0.0015412967279262516,-0.2864002758788085,0.5800849561193984,0.6556398628829355,-0.3073085382623089,0.09843581936225403,0.7672637431781331,0.004409303488798832,-0.7312398386215785,-0.6669037249875256,0.016549983909484405,0.4844964657121073,-0.416881858479696,0.47820765182071046,0.584068047075523,0.35017762574819966,0.36219876607536716,0.8073790971349762,0.6604118747588573,0.623627334546401,0.38230460112560716,-0.4448504540085622,0.4846257408754019,0.0864550978700008,-0.306732051101605,-0.4172038094060522,0.21378279311470905,-0.18329348985045232,0.01182573291902973
WNSA4,-0.829880518384002,0.9726659691403472,-0.6305261929209757,-0.8582404010084992,0.932716945076072,0.8047848939015839,0.9051005519445379,-0.8736987230063512,1.0,-0.8835995937241884,0.5402037315101733,-0.8891943557130169,-0.8541492316817766,-0.5169487756325913,-0.38251846296752096,-0.866566434496174,-0.855056350748163,-0.7550444990315599,-0.42403851437841367,-0.17348102360386825,-0.6633150794903389,-0.5902492686969951,0.358781610760931,-0.45019405553110753,0.7825340796523739,-0.737433716107694,-0.7957814137454873,-0.7604734778881942,0.8168085376027833,-0.514324229967774,-0.5011588887439673,-0.4033871905141432,-0.5299005520375445,-0.7355929080404005,-0.3639636857927055,-0.655809594882811,-0.7288187744600518,-0.5970098221469259,-0.7301308429989646,-0.8069519860528681,0.847556186664007,-0.7593462384548472,-0.44056000073253404,-0.023500619863369855,-0.18323581691108445,0.34989108389136314,-0.5906430507433098,-0.21878584170686657,-0.5095860001450454,-0.6485266655585975,-0.18385730834524955,-0.7321510025778408,-0.5547409038446683,-0.4279465597253855,0.4224904148600319,-0.6138301936318548,-0.5514406623029934,-0.6011467098779707,-0.4809415611566339,-0.4840476125620732,-0.6671179140118267,-0.007897640453713918,-0.7292291898101886,-0.5658833745663363,-0.3814922440830644,0.151221202404243,-0.00025150370795995106,0.00694712612839501,-0.6151026114461944,0.2014557716307916,-0.8776852244161752,0.010155938735927458,0.4742045915729708,-0.6009919074759998,-0.5650689697801093,0.35501424604215526,-0.11408694545935277,-0.7522068037843551,0.05801677230524861,0.8397694732699235,0.6644669191245068,0.1354892773985855,-0.5899897732403666,0.26737071392715656,-0.5416111654908827,-0.8049160627082178,-0.43410143226180986,-0.4284904960509808,-0.7156828784263392,-0.5010223985655784,-0.49786304842916906,-0.5987938390041421,0.5269195867250713,-0.24203101556797976,-0.1266577222373999,0.3866574754284082,0.2629195056169108,-0.19697292658991294,0.03612414352085867,0.19056851358819862
SM1_Dzse,0.9470608529464073,-0.8818794481360258,0.635220878070923,0.9862101977856473,-0.8022083314940899,-0.9310369222250094,-0.8488193409150684,0.9963308874044761,-0.8835995937241884,1.0,-0.47151994234136835,0.8571856245996992,0.9186446703092699,0.6392423579372468,0.5525392758770441,0.9386255191473212,0.8374748702186625,0.847048582888087,0.5879272351786039,0.3627459957464307,0.7125365384115668,0.5637822012867048,-0.3066936811179756,0.6042052611313976,-0.9280582944783083,0.660771051233148,0.7128065203891716,0.677533574192288,-0.671528976279071,0.6567182432448123,0.5991492271074054,0.5597476666746467,0.5526856630727653,0.8442170447622142,0.3429449621386627,0.6263623325928982,0.6261542104751042,0.5309564043346097,0.7793022884572753,0.7421412456932268,-0.7995404097258925,0.7572813483891069,0.37727600668197986,0.02530724140620044,0.21509557558456485,-0.2833862613836531,0.5146595719684672,0.43643084263885,0.6434117624554364,0.58626666103835,0.21558762752720448,0.5692754581870849,0.6099453757724794,0.5879687311030407,-0.5918444170267865,0.6283042598874872,0.5556922636174912,0.5556072772014863,0.6301368638216944,0.6311815000863787,0.561923756305218,0.02076860682926695,0.6270367394367808,0.6693120776412285,0.39097495152375067,-0.18259868336100454,0.019081686321116672,0.0027075682624037242,0.5067202044208539,-0.20381957062637845,0.7007482365766723,0.0052260687232440805,-0.287490066310411,0.592844274304243,0.6242150015897961,-0.3125384065779273,0.10158767116140534,0.7773057006040003,-0.010318038834482514,-0.7452683331972151,-0.6646179719437292,0.022900831789477293,0.5026298879949822,-0.4366423828913274,0.47133227390457866,0.6009446175430676,0.3490303472647036,0.360807838371555,0.8064864597173197,0.6471360884284343,0.6256263637305164,0.3862666126540393,-0.4256498037755933,0.44736344912846676,0.10677603711556494,-0.3170593528260708,-0.39863570077078964,0.23028605395546115,-0.18881919338436123,0.01184152636244745
