,ATSC1e,SHED_DA,TPSA(NO),nHet,P_VSA_s_6,DELS,ATSC3e,SHED_DD,F04{C-N},ATS3m,TPSA(Tot),Me,P_VSA_ppp_D,AAC,ATS4m,P_VSA_p_2,P_VSA_ppp_ter,ATSC2e,MAXDN,nHAcc,H-050,P_VSA_m_3,P_VSA_i_4,T(N..O),CATS2D_00_DD,AMW,piPC02,CATS2D_00_AA,H%,GGI2,P_VSA_v_2,MPC05,nHDon,P_VSA_charge_3,ATS5m,PW5,ATS2m,ATSC4e,T(N..N),P_VSA_LogP_7,P_VSA_s_5,F01{C-N},ATSC7e,Mi,CATS2D_02_DA,piID,P_VSA_s_4,Hy,B03{C-N},mindssC,P_VSA_charge_8,P_VSA_ppp_A,F03{C-N},ATS1m,F06{C-N},piPC05,piPC06,ATS6m,MDDD,LOGP99,SssssC,ATSC6e,Pol,GGI6,F02{N-O},SCBO,SpMax3_Bh(e),T(O..O),MLOGP,GATS1v,IDET,MPC02,P_VSA_e_5,CATS2D_06_DA,NsCH3,LOGPcons,piPC03,SpMax8_Bh(m),GATS2e,P_VSA_LogP_1,Uindex,SpMax3_Bh(m),P_VSA_v_3,SpMax5_Bh(e),X%,S3K,piPC04,MDEO-11,CIC2,MW,F01{C-F},P_VSA_LogP_8,minsF,MPC04,Xindex,B02{F-F},P_VSA_e_3,SssCH2,minssCH2,Mp
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.163625830803324,1.64938488846612,74.6,4,135.656540386678,29.2688888888889,0.641793375623269,1.0,0,3.46084024579062,74.6,1.05052631578947,85.3666863218424,1.50902751253265,2.96027106089437,135.656540386678,135.656540386678,0.276601722132964,4.1074537037037,4,2,135.656540386678,0.0,0,2,9.37631578947368,3.59731226058845,4,31.5789473684211,2.88888888888889,135.656540386678,3.78418963391826,2,0.0,2.35796085490935,0.0964763507476171,3.30591028572473,0.491619438698061,0,47.0844079863613,0.0,0,0.0472856469806095,1.10964210526316,1,7.08330919520342,37.9049898937205,0.604574652518497,0,-0.950833333333333,6.37114990148009,135.656540386678,0,2.82667886666837,0,5.11986332128057,5.13211519163397,0.711438548832192,5.0887573964497,-0.253499940037727,-2.8574537037037,0.249815305595568,23,0.0,0,19.0,3.01418153013993,18,0.483202918990149,0.668745269909495,171.193492222956,3.13549421592915,135.656540386678,0,0,0.206367659650807,4.21582445975981,0.927967476174026,0.625896607884384,0.0,18.8918823297497,2.97265256827455,54.5430944597652,2.60882313854581,0.0,0.870245655428074,4.68097314940359,2.03964890265551,1.1578947368421,178.15,0,0.0,0.0,3.66356164612965,0.643903567489117,0,0.0,0.0,0.0,0.68958947368421
C(=C(F)F)(C(F)(F)F)C(F)(F)F,0.642663,0.0,0.0,8,119.6809061681,51.0300925925926,0.734472,0.0,0,3.27002510888676,0.0,1.303,0.0,0.918295834054489,3.98075031632367,0.0,119.6809061681,0.80332875,7.32233796296296,8,0,119.6809061681,119.6809061681,0,0,16.67,3.13549421592915,0,0.0,2.0,119.6809061681,0.0,0,0.0,0.0,0.0,3.53149637236663,0.481997250000001,0,0.0,0.0,0,0.0,1.36486666666667,0,4.66343909411207,0.0,-0.322931216628678,0,-3.78240740740741,0.0,0.0,0,2.81277051187261,0,0.0,0.0,0.0,4.88888888888889,3.26159992814064,-12.1446759259259,0.0,16,0.0,0,12.0,2.94573259634277,0,3.14585960296151,1.5,129.578948168332,2.94443897916644,0.0,0,0,3.09425317703405,3.29583686600433,1.581,0.916666666666667,0.0,36.125685733394,3.01667857180621,33.7610682050032,1.4535,66.6666666666667,3.0169940864154,3.52636052461616,0.0,1.62581458369391,200.04,8,15.5190320745523,11.130787037037,3.09104245335832,1.40174015681394,1,0.0,0.0,0.0,0.545466666666667
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],0.264780465955678,3.57165236692845,157.69,10,194.924085395842,46.5962962962963,0.626770689058171,0.0,3,3.51615667727746,157.69,1.13665789473684,42.6833431609212,1.89682043644058,3.54556760032757,211.934238818704,194.924085395842,0.581791154210526,3.14351851851852,7,1,194.924085395842,17.0101534228619,71,1,12.0589473684211,3.92197333628131,10,15.7894736842105,2.44444444444445,211.934238818704,3.71357206670431,1,0.0,3.39912690303316,0.0973321104857084,3.41448769029071,1.02033065110803,12,23.5422039931806,0.0,3,0.0742962385595568,1.15582631578947,0,7.3010212796333,35.9626483697222,0.137615929941502,1,0.0,18.9524949468603,211.934238818704,6,3.06507202313845,0,5.43290289088046,5.80945544149607,3.2730931587026,9.125,2.68639996647835,0.0,0.661962642797784,25,0.0,0,25.0,3.64361587901302,106,1.54260340165826,0.675172865808818,306.633025085797,3.17805383034795,194.924085395842,2,0,1.82493445604554,4.35990882942026,1.3312,0.685219432807106,17.0101534228619,34.0234581650709,3.64479748930059,27.2227376074354,2.72755936573759,0.0,2.29938595894236,4.87615106671646,4.42353446974668,1.38235065823634,229.12,0,152.24074223492,0.0,3.52636052461616,0.743241925629024,0,17.0101534228619,0.0,0.0,0.642031578947368
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.0106443200000003,0.0,32.67,4,81.07910064233,16.991718037009,0.215956086666667,0.0,7,3.84948690541321,32.67,1.00473333333333,0.0,1.58664513948469,3.76006061391725,45.0547704745431,72.6899479588748,0.129020906666667,1.6949041005291,3,0,25.1449270324178,19.9098434421253,5,0,8.6290909090909,4.02535169073515,3,39.3939393939394,2.66666666666667,45.0547704745431,4.30406509320417,0,0.0,3.74511194439116,0.112738739704727,3.6843998303146,0.168443584444445,3,153.024325955674,0.0,5,0.312899354444445,1.11033939393939,0,9.3018017127315,87.3306705461112,-0.787179555370683,1,-0.0282374338624338,53.5814392875853,45.0547704745431,7,3.30357352737605,2,5.73858639685089,5.97333239878457,3.65307224990428,11.4,3.15379998832941,0.0,0.165399084444445,36,0.489931972789116,1,30.0,3.55818125916963,0,3.35521647702416,0.834386463264435,539.438594115098,3.46573590279973,25.1449270324178,0,1,3.29793882178452,4.60517018598809,2.5703419921749,0.738768941953353,8.39637686467508,29.5625981142746,3.61545145172398,145.55060653114,3.01222681110492,3.03030303030303,2.41326325332672,5.17332087637335,0.0,1.13665984861597,284.76,0,39.148644061782,0.0,4.02535169073515,0.437843783108368,0,19.9098434421253,0.145859788359788,0.145859788359788,0.724006060606061
C(C(C(F)(F)F)(F)Cl)(F)Cl,0.465056088842975,0.0,0.0,7,153.097854478626,34.349537037037,0.537890820247934,0.0,0,3.96682288569089,0.0,1.24957272727273,0.0,1.78992907531,3.13183879518591,0.0,153.097854478626,0.658375246115703,6.74035493827161,5,0,74.8005663550623,74.8005663550623,0,0,18.4490909090909,2.77258872223978,0,9.09090909090909,2.88888888888889,74.8005663550623,0.0,0,29.9202265420249,0.0,0.0,3.62859414111638,0.324990435867769,0,78.297288123564,0.0,0,0.0,1.29520909090909,0,4.02535169073515,0.0,-0.288075770336738,0,0.0,0.0,0.0,0,2.82716568199237,0,0.0,0.0,0.0,3.36,2.98769990354776,-9.98186728395062,0.0,15,0.0,0,9.0,2.39316837050535,0,3.12632276415942,0.853253176429241,85.8875714492721,2.77258872223978,0.0,0,0,2.96777422256906,2.77258872223978,0.854562605287204,1.06882720124134,0.0,26.4093265060419,3.13505487803258,88.5511380727546,1.4535,63.6363636363636,2.12009211356947,1.94591014905531,0.0,0.432262500196679,202.94,5,7.75951603727614,11.2527777777778,1.94591014905531,1.43545526728043,1,0.0,0.0,0.0,0.677172727272727
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,0.323099712,0.0,47.28,7,217.88431819957,31.5289506172839,0.5644277532,0.0,0,4.3082751195395,47.28,1.13626,0.0,1.45656476213095,4.24183944960837,61.2897419524419,206.884430311963,0.5222336076,2.54123456790123,3,0,61.2897419524419,0.0,0,0,19.0586666666667,3.77276093809464,3,0.0,2.66666666666667,61.2897419524419,4.02535169073515,0,50.2898540648355,3.73466179765612,0.106705587974784,3.79530745760383,0.502864452,0,0.0,0.0,0,0.0,1.08230666666667,0,7.40363222595055,0.0,-0.520918746081136,0,-0.874567901234568,0.0,61.2897419524419,0,3.26329836962089,0,5.45558817371154,5.63478960316925,2.18205560578999,6.61333333333333,3.6107999458909,0.0,0.0493800192000001,28,0.0,0,21.0,3.04792682300892,8,3.92092535374773,0.600938109021719,246.19776399864,3.25809653802148,61.2897419524419,0,0,3.83104176654621,4.39753082120985,1.63703954742656,0.855444877845943,0.0,23.2192607024969,3.66196742248325,191.350813227498,2.44899009868735,26.6666666666667,1.46466974501648,4.97931661083883,0.25,1.2,285.88,0,156.594576247128,0.0,3.89182029811063,0.620427582586216,0,0.0,0.0,0.0,0.954526666666667
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.0574060105547328,5.0,58.56,4,78.8281580809454,22.3012159831969,0.335379681715975,1.0,3,3.63393572974369,58.56,0.989501923076923,60.6940938439515,1.34761358128934,3.48855368307518,96.8389087639757,96.3617361228534,0.201882449785502,1.60838178172504,4,2,78.8281580809454,18.0107506830303,13,2,6.14403846153846,3.77276093809464,3,55.7692307692308,2.22222222222222,96.8389087639757,3.61091791264422,2,0.0,3.3870698645818,0.0707260828977306,3.58037017546768,0.297316474193787,0,317.819753907939,18.0107506830303,2,0.332234378321006,1.13344807692308,1,7.42435171950855,75.9147032966651,0.235447840471355,1,0.0582848849416313,204.74897002322,78.8281580809454,3,3.33728588772416,2,4.87662759758085,4.79888492661149,3.30656476979016,24.6729678638941,4.17970007658005,0.0,0.301593619985207,28,0.284897959183674,1,28.0,3.68852769699313,18,3.1131488219021,1.20254395994719,967.36121498963,3.36729582998647,78.8281580809454,1,3,3.87794963282738,4.13115853534482,2.75448107132885,0.822996493584443,28.5334659295144,63.2099486521452,3.56800169737781,103.826719315042,3.29407678144216,0.0,8.07619025632706,4.45869828208783,0.125,1.10161947144508,319.49,0,0.0,0.0,3.49650756146648,0.47891584636274,0,18.0107506830303,5.13142699302253,0.447808355014794,0.615938461538462
C(=O)(N)NO,0.119131445925926,2.87174588749259,75.35,4,100.847783401155,7.87962962962963,0.246360455679012,3.0,0,1.61946011397184,75.35,1.08242222222222,90.1755544427528,1.83659166810898,0.370433490562298,115.320481475171,100.847783401155,0.164086044197531,2.60648148148148,4,4,67.9505959290893,47.3698855460813,7,3,8.45222222222223,1.94591014905531,2,44.4444444444444,0.444444444444445,115.320481475171,0.0,4,39.6176251064335,0.0140465043255947,0.0,1.98381933357474,0.153764150123457,2,0.0,14.4726980740158,2,0.0,1.2034,2,2.99573227355399,0.0,4.46631425107267,0,-0.939814814814815,0.0,67.9505959290893,0,1.89093448456113,0,0.0,0.0,0.0,1.36,-0.956099987030029,0.0,0.0,2,0.0,2,5.0,2.24058072339273,3,-1.85939969148863,0.847173025553628,15.2192809488736,1.6094379124341,67.9505959290893,0,0,-1.40476655950622,1.38629436111989,0.0,0.678397547948272,0.0,8.36359728441209,2.00307003483527,4.2758225378523,0.9408,0.0,3.55844155844156,0.0,0.333333333333333,0.222222222222222,76.07,0,0.0,0.0,0.0,1.32708829799442,0,47.3698855460813,0.0,0.0,0.5202
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,0.229159262295919,0.0,52.6,6,156.01837646837,28.4373849966272,0.604654688112246,0.0,0,3.77003439226055,52.6,1.04909285714286,0.0,1.68939174674309,3.48065367989282,77.7210883448065,128.587142188399,0.402081254081633,2.45464796618236,4,0,77.7210883448065,0.0,0,0,11.1114285714286,3.95124371858143,4,28.5714285714286,2.88888888888889,77.7210883448065,3.80666248977032,0,77.7210883448065,3.34543461651016,0.0848168395247159,3.73038394400123,0.663027953877552,0,94.1688159727225,0.0,0,0.360682106326531,1.10005714285714,0,8.11998569209249,75.809979787441,-0.688782110949348,0,-0.787981299515691,7.00121306331835,77.7210883448065,0,3.35619153731333,0,5.35007930110663,5.31566600488265,3.51174753900442,14.8,3.92219996452332,0.0,0.482520630306123,27,0.365714285714286,0,29.0,3.3826823412349,15,4.72615708426901,0.725187447365913,648.557977986932,3.36729582998647,77.7210883448065,0,0,4.38111901626411,4.43675153436313,2.68665029941868,0.567660018137259,0.0,36.6872952919859,3.55294465064269,181.862291828056,2.85403292340883,7.14285714285714,4.14197249550975,4.85007522908381,0.2,1.85714285714286,311.12,0,78.297288123564,0.0,3.61091791264422,0.413346297512414,0,0.0,0.0,0.0,0.762171428571429
C1=CC=C(C(=C1)C(=O)N)O,0.0769524428373705,1.88988157484231,63.32,3,100.725457665404,14.7594444444444,0.166307778477509,1.0,2,2.79999913156522,63.32,1.02395294117647,75.5805306329867,1.65787643484996,2.58075481212649,100.725457665404,100.725457665404,0.0993112682352944,2.27953703703704,3,3,67.828270193339,32.8971874720655,6,2,8.06764705882353,3.23867845216438,2,41.1764705882353,1.33333333333333,100.725457665404,2.70805020110221,3,0.0,1.61047739598383,0.0619908661758029,2.81236721910568,0.293946275674741,0,47.0844079863613,0.0,1,0.0134982114878893,1.12721764705882,1,5.92392151695011,37.9049898937205,1.69040930967708,1,-0.61287037037037,0.0,67.828270193339,2,2.5237701933946,0,4.46662625154002,4.12309397550809,0.356170054503509,3.6,0.491099961102009,0.0,0.0872768684429068,12,0.0,1,14.0,2.93906814163044,4,1.23720817178457,0.75454753205155,96.7888420414737,2.63905732961526,67.828270193339,0,0,0.76436937762886,3.70745583968687,0.822746512913821,0.519731971707946,0.0,16.4558457807218,2.81822188506003,45.7952147795279,2.28224661804821,0.0,1.41651976832032,4.1411486284199,0.25,0.705882352941177,137.15,0,0.0,0.0,2.83321334405622,0.787979272200109,0,32.8971874720655,0.0,0.0,0.658758823529411
