,SM1_Dz(i),SM1_Dz(p),AMR,SpPosA_B(p),T(N..O),CATS2D_02_DA,DLS_cons,P_VSA_MR_2
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.526147639863771,-1.75785791755237,43.4446,1.21573041420753,0,1,0.7,50.2898540648355
C(=C(F)F)(C(F)(F)F)C(F)(F)F,1.34276035909617,-2.89829583486251,23.0111,0.895483584942842,0,0,0.838095238095238,89.7606796260748
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],1.06032180937978,-2.41591377830105,49.7262,1.16739675271481,71,0,0.723809523809524,42.6833431609212
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.562582810538836,-1.16542946170543,79.9621,1.3032487673155,5,0,0.871428571428571,25.1449270324178
C(C(C(F)(F)F)(F)Cl)(F)Cl,1.10918948570588,-2.4273746367568,26.4845,1.01371321769716,0,0,0.809523809523809,74.8005663550623
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,0.715935542190386,-1.34265590409007,55.5886,1.32181667840328,0,0,0.747619047619048,61.2897419524419
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.556467981644717,-1.64865862558739,94.6316,1.21519790073184,13,1,0.952380952380952,78.8281580809454
C(=O)(N)NO,0.58589598981297,-1.52605630349505,14.9072,1.00324511158643,7,2,0.8,25.1449270324178
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,0.670799316896029,-1.68909900884178,73.3872,1.27954089715058,0,0,0.711904761904762,77.7210883448065
C1=CC=C(C(=C1)C(=O)N)O,0.451966941759586,-1.38629436111989,36.3327,1.22127429409692,6,1,0.752380952380952,67.828270193339
Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(C)C)Cn1cncn1,1.06770624597226,-1.97610675063351,142.9009,1.25972337862865,98,0,0.842857142857143,81.6264998671483
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,0.297285808594441,-1.22377543162211,68.4311,1.28411428178234,0,0,0.9,36.1448149200242
CC(C(=O)O)O,0.41824970246758,-1.52605630349505,18.9143,1.06566674108856,0,1,0.938095238095238,103.14157618311
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,0.532450119862655,-1.33692027650209,54.829,1.23797068554742,10,1,1.0,79.5993721899293
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.793761450592537,-2.24070968927596,35.6239,1.08367275163357,0,3,0.866666666666667,203.484810580017
CCCCNC(=O)N,0.484584312560769,-1.22377543162212,31.9125,1.12151597999163,4,2,0.952380952380952,48.6871310255984
CCOC1=CC=C(C=C1)NC(=O)C,0.4519669417596,-1.38629436111988,50.3514,1.22901232077753,7,1,0.952380952380952,71.4581209097951
C1CN1P(=S)(N2CC2)N3CC3,0.415349430182147,-0.637475895689475,51.9162,1.2104819794864,0,0,0.952380952380952,0.0
CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,0.623529113679112,-1.94591014905533,74.945,1.17854886852178,0,0,0.976190476190476,187.737048395968
