,SM1_Dz(i),TPSA(NO),piPC10,ESOL,SIC5,nC,SpMax4_Bh(m),SM15_AEA(bo),nRCOOR,GATS3e,SpMAD_B(s),P_VSA_v_2,MATS1p,SM10_AEA(ri),PDI,SpPosA_H2,SpMax3_Bh(s),F04{C-N},J_D,CATS2D_02_DA,X0Av,MATS1e,Eig04_AEA(bo),MDEO-12,ATSC2s,SpDiam_B(m),MATS4v,Eta_psi1,SHED_DA,IC5,MPC06,GATS1v,Eig13_AEA(bo),Eta_betaP_A,VE3sign_B(v),LOGP99,GATS2s,MATS6v,MATS1s,GMTIV,ATSC6e,SIC4,minsNH2,ALOGP,SM4_B(m),MATS2m,P_VSA_charge_9,ATSC1e,X3A,SpMax2_Bh(m),CATS2D_04_AP,RBF,PW5,Psi_e_0d,P_VSA_s_5,RNCG,piPC06,P_VSA_charge_2,SpAD_B(s),D/Dtr10,SM05_EA,nArCOOR,Eta_beta_A,P_VSA_ppp_N,P_VSA_m_3,SpPosA_B(p),BIC2,Vindex,P_VSA_charge_3,VE1sign_B(p),Eta_sh_p,GATS2v,Me,P_VSA_LogP_2,MATS3s,SpMaxA_AEA(ri),IC1,ATSC3m,P_VSA_s_6,ATSC7e,SpMAD_B(m),MATS3e,VE2sign_B(m),Hy,GATS5s,MDEC-34,SpMax_B(s),P_VSA_e_2,SpMin2_Bh(m),GATS5v,SpMaxA_AEA(dm),O-060,P_VSA_MR_2,SM3_B(s),SpMin1_Bh(p),ATS3m,SpMin1_Bh(m),Q2,P_VSA_LogP_5,Eta_epsi_5
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.526147639863771,74.6,4.12309397550809,-1.44473454041304,0.776981029442132,9,2.64634472564243,-0.584663995451037,0,0.757909978552122,2.43238698715538,135.656540386678,0.247893266711945,0.0,0.825580210232725,0.619174286446881,6.60436911920631,0,2.2274012249491,1,0.501563449898934,-0.162840924338903,2.89061423926938,0.0,61.8804265022438,5.60078818298411,-0.239743742321847,0.47945205479452,1.64938488846612,3.30055909239095,3.58351893845611,0.668745269909495,-0.729215136289397,0.692307692307692,,-0.253499940037727,0.69162967812436,0.172852484516218,-0.20213270692155,3616.0,0.249815305595568,0.776981029442132,0.0,0.3894,6.23161448951423,0.0480654043655933,47.0844079863613,0.163625830803324,0.177627933560307,3.4236599972604,0,0.0,0.0964763507476171,-0.0031983065769063,0.0,0.23518867154825,5.13211519163397,50.2898540648355,31.6210308330199,0.0,6.53813982376766,0,1.30769230769231,0.0,135.656540386678,1.21573041420753,0.665402340280348,0.470944849814691,0.0,0.0,0.228571428571429,0.874818794903146,1.05052631578947,0.0,0.254934566011266,0.332210154003324,2.87950646081201,7.22158744606648,135.656540386678,0.0472856469806095,1.57460135294735,0.273173764633519,0.0,0.604574652518497,1.69446978395476,2.82842712474619,7.45171716059612,54.5430944597652,1.50291287785582,1.2937064884599,0.31820080157524,0,50.2898540648355,7.30182958039529,1.95855803806538,3.46084024579062,1.98589179083514,0.727261017775163,6.37114990148009,0.851111111111111
C(=C(F)F)(C(F)(F)F)C(F)(F)F,1.34276035909617,0.0,0.0,-3.40165170486163,0.0,4,1.581,-1.0,0,2.0625,3.1406731987361,119.6809061681,-0.181818181818182,0.0,0.833585316317509,0.534784589298338,8.37558333270234,0,4.69650130830727,0,0.418642982006151,-0.181818181818183,1.26794919243112,0.0,164.557260495,5.37948006106201,0.5,0.247524752475247,0.0,0.0,0.0,1.5,0.0,0.0833333333333333,-0.142034230129942,3.26159992814064,0.858828379192296,0.0,-0.216648707229406,6962.0,0.0,0.259647648550377,0.0,2.8753,6.09952537010507,0.0833333333333334,0.0,0.642663,0.158293254403194,3.21563859537557,0,0.0,0.0,0.0057656384432482,0.0,0.128611561566517,0.0,0.0,37.6880783848332,0.0,6.63463335786169,0,0.708333333333333,0.0,119.6809061681,0.895483584942842,0.546490490941855,1.03816330907987,0.0,0.886119144290667,0.533333333333333,0.916666666666667,1.303,0.0,-1.01040621571625,0.40450015117263,1.95914791702724,1.204352,119.6809061681,0.0,1.14337807292332,-1.0,0.0390004192330637,-0.322931216628678,0.0,2.82842712474619,8.53026192970971,33.7610682050032,0.63563859537557,0.0,0.428076252641952,0,89.7606796260748,8.39376974354368,1.84882978424143,3.27002510888676,1.55252879070389,0.709676578640938,137.922942298551,1.44285714285714
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],1.06032180937978,157.69,0.0,-2.5403495124956,0.776981029442132,6,3.11874747582168,0.0,0,1.02434353161661,2.83837354894374,211.934238818704,0.462412101907996,-6.0,0.820576538187414,0.595223240022208,7.81070930238946,3,2.79633583802835,0,0.462065291447641,0.247381364349292,3.35800544309695,0.0,142.86246439133,5.86703935875372,-0.100682869230175,0.367729831144465,3.57165236692845,3.30055909239095,3.68887945411394,0.675172865808818,-0.336505997292102,0.96875,-0.707347211104795,2.68639996647835,0.55054920800334,0.0454555156570717,-0.0584241781967295,10415.0,0.661962642797784,0.776981029442132,0.0,1.2458,6.66676676735898,0.065842146296871,40.5523574160426,0.264780465955678,0.184140743064057,3.64854146815212,0,0.157894736842105,0.0973321104857084,0.0005072145535829,0.0,0.399263957316379,5.80945544149607,0.0,45.4139767830999,0.0,6.11146733950269,0,1.625,0.0,194.924085395842,1.16739675271481,0.596081816647053,0.517114447004144,0.0,0.444442034511807,0.357142857142857,1.09304578348556,1.13665789473684,0.0,-0.0598629920733094,0.258012186560624,2.72058277614601,0.749449771301939,194.924085395842,0.0742962385595568,1.54687810694973,-0.199764240705068,0.0125632945644678,0.137615929941502,1.61685747784537,0.0,7.82350781858237,27.2227376074354,1.32491706827772,0.69413109379912,0.243057349572731,0,42.6833431609212,7.95927799341118,2.17051752948043,3.51615667727746,1.98773327573045,0.560422725043281,8.27024266057511,1.06274509803922
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.562582810538836,32.67,7.09215800197992,-4.18352954231846,0.911363427893155,16,3.19169058700909,1.07382860844287,0,1.02193334482704,1.82257590630735,45.0547704745431,-0.0479768506429433,-3.00006626005169,1.00253749358887,0.649259088745104,4.77836378745645,7,1.79299422557705,0,0.588123891759751,-0.0077171755156765,3.42248022731889,0.0,12.04116714,5.72938915316079,-0.149302680346143,0.60591854673308,0.0,4.59727631626259,4.4188406077966,0.834386463264435,0.662980095871009,0.775,-2.23584502929779,3.15379998832941,0.617755900054557,0.0354955058107492,-0.0576214464585168,9871.0,0.165399084444445,0.911363427893155,0.0,3.3848,6.75327348258971,0.0510341204058736,123.224515072953,0.0106443200000003,0.179781085497027,3.81836191644674,0,0.0285714285714286,0.112738739704727,3.83847968002e-05,0.0,0.233762452202008,5.97333239878457,41.930456580548,36.451518126147,0.0,6.19644412779452,0,1.4125,0.0,25.1449270324178,1.3032487673155,0.720151789010343,0.299752171541845,0.0,0.0460145633211283,0.15715667311412,0.77468082268539,1.00473333333333,5.23001823598005,-0.0123148608199459,0.190417776630027,3.17743531710279,16.0829056460331,81.07910064233,0.312899354444445,1.62743382900758,-0.0175451637297986,0.0043069403357345,-0.787179555370683,0.804072845816992,0.0,7.4262456265026,106.401962469358,1.93376488066716,1.02450183352807,0.171405605830975,0,25.1449270324178,6.85012635269821,2.03183201052651,3.84948690541321,2.04586485426672,0.406048934681451,29.4140335347946,0.812619047619047
C(C(C(F)(F)F)(F)Cl)(F)Cl,1.10918948570588,0.0,0.0,-3.33127531046293,0.0,3,2.26018927280079,-1.0,0,0.816513990667346,2.97213822608904,74.8005663550623,-0.0684308226090835,0.0,0.819643134499592,0.531234690218318,8.15941318770746,0,4.40381796660692,0,0.573495947229113,-0.139239581906145,0.0,0.0,151.217717789091,5.31663573087891,0.275310826499436,0.3125,0.0,0.0,0.0,0.853253176429241,0.0,0.0,-0.578901741810533,2.98769990354776,1.03114335878793,0.0,-0.136496950545191,4203.0,0.0,0.420502660911456,0.0,2.7893,6.32584796355461,-0.292426466343712,11.7711019965903,0.465056088842975,0.225092558324419,3.52072319127077,0,0.0,0.0,0.0144774099399034,0.0,0.206631380782224,0.0,0.0,29.7213822608904,0.0,6.66057514983969,0,0.625,0.0,74.8005663550623,1.01371321769716,0.911268706598317,1.10162702608651,29.9202265420249,0.354442433064769,0.655737704918033,1.01864071207314,1.24957272727273,0.0,-0.0486573140245708,0.505387209604831,2.22219157550668,6.09467561256199,153.097854478626,0.0,1.27751131397528,-0.0188267190453447,0.0157329320173586,-0.288075770336738,0.0,1.41421356237309,8.51842398433263,10.2538499491906,0.80301019947544,0.0,0.523178697124494,0,74.8005663550623,7.98241906437559,1.76760094190904,3.96682288569089,1.45774288721316,0.547268998343498,74.8005663550623,1.39428571428571
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,0.715935542190386,47.28,3.84079549613978,-4.58282298598307,0.761105843510839,8,3.31787460317822,0.331600669766017,0,1.20207532342199,2.14121347472263,61.2897419524419,-0.0195671956787032,-6.98976232666207,0.966075170583857,0.608837210005474,5.12317316639557,0,2.28039083372985,0,0.650687903166821,-0.0751278704352658,3.10399643996174,1.0,50.8035290077778,6.06491110684255,-0.114073590617113,0.505514705882353,0.0,2.97355726227519,3.98898404656427,0.600938109021719,-0.259840230315515,0.6,,3.6107999458909,0.745246125601281,-1.79483706712079,-0.0094924764555863,9002.0,0.0493800192000001,0.761105843510839,0.0,3.9614,6.96737289319011,-0.109111457735958,20.3735760281168,0.323099712,0.172345127226645,3.70130793594941,0,0.0,0.106705587974784,-0.0009387445357103,0.0,0.322220681060509,5.63478960316925,0.0,32.1182021208394,0.0,6.3818160174061,2,1.26666666666667,0.0,61.2897419524419,1.32181667840328,0.616278455097635,0.446401305206044,50.2898540648355,0.0,0.448484848484849,0.420067067600616,1.13626,0.0,-0.329111585190461,0.271013835911705,2.44022392894185,17.2049800996889,217.88431819957,0.0,1.64978527926914,-0.336887781462672,0.0,-0.520918746081136,1.2832049006892,0.0,7.45654055191889,34.7562369803698,1.15784655334787,2.50689169940576,0.249553834477486,1,61.2897419524419,7.2364639056706,1.8841152533094,4.3082751195395,1.7887712760761,0.580223312601447,31.3734639157232,1.03619047619048
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.556467981644717,58.56,4.46662625154002,-3.76319356692133,0.911394613650776,19,3.32997456295578,1.10936229373353,0,0.843338845374366,1.73817256873676,96.8389087639757,-0.0305402606128955,-2.5216785899841,0.877203661951939,0.616261647274351,4.7721984179321,3,2.00607416075895,1,0.629150107768901,-0.0412524879148464,3.47614320398241,0.436435780471985,23.5050406655991,5.4003522896955,-0.0958229123021502,0.579787234042554,5.0,5.19535005455474,3.49650756146648,1.20254395994719,0.622729505037358,0.41304347826087,-4.015470043397,4.17970007658005,0.592948122411206,-0.0640558367295015,-0.0524082599758411,13706.0,0.301593619985207,0.911394613650776,0.0,4.341,6.50594181520125,-0.0048606628338948,128.594077371637,0.0574060105547328,0.222707718810579,3.69488672406613,0,0.192307692307692,0.0707260828977306,-5.49126772843766e-06,18.0107506830303,0.226095205598562,4.79888492661149,25.1449270324178,39.9779690809454,0.0,5.67332326717151,0,0.978260869565217,0.0,78.8281580809454,1.21519790073184,0.788429103845284,0.287490155382744,0.0,0.0360672510260353,0.198776758409786,1.11528661703147,0.989501923076923,32.7891137210153,0.0366543641985371,0.166405966226885,3.25376835104909,27.6113956047929,78.8281580809454,0.332234378321006,1.41544186022484,0.0854149491350211,0.0007606013484413,0.235447840471355,0.987428797643122,0.0,7.42680869804122,103.826719315042,2.00236188267181,0.923383582848675,0.155613847234662,1,78.8281580809454,6.99766013938155,2.01597412514049,3.63393572974369,2.04959265709009,1.00042820621456,19.4288909329307,0.776
C(=O)(N)NO,0.58589598981297,75.35,0.0,0.464487992297317,0.263230027380949,1,1.27372045982241,0.0,0,1.1384276116702,2.17907255142325,115.320481475171,0.0912369986720729,0.0,0.727113882055221,0.540728076367712,4.8783386767924,0,2.53953886135939,2,0.486562431030689,-0.418984624705484,-0.441290910412461,0.0,25.88215096,4.41004027342405,-0.062880608311034,0.337142857142857,2.87174588749259,0.834419444925215,0.0,0.847173025553628,0.0,0.3,-0.218081834635307,-0.956099987030029,0.722595975090962,0.0,-0.419282158897448,355.0,0.0,0.707674471825394,4.29166666666667,-1.3988,5.02413561840131,0.0440299547771291,0.0,0.119131445925926,0.408248290463863,2.57425143976345,0,0.0,0.0,-0.342017496051633,14.4726980740158,0.318315879412814,0.0,42.8056688966715,10.8953627571163,0.0,3.71357206670431,0,0.9,0.0,67.9505959290893,1.00324511158643,0.929896694047616,1.10562346538997,39.6176251064335,0.382873073299801,0.542372881355932,1.28712777719148,1.08242222222222,47.3698855460813,-0.0241534508860628,0.791453072966554,2.64160416786859,3.28177788987654,100.847783401155,0.0,1.26228380252226,-0.106194688482693,0.0607250315610276,4.46631425107267,0.0,0.0,7.44302256739898,4.2758225378523,0.972031700613923,0.0,0.953437059259339,0,25.1449270324178,6.64356411825035,1.73104135081334,1.61946011397184,1.47079443807967,0.576785977929831,0.0,0.781481481481482
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,0.670799316896029,52.6,5.53782627194851,-4.69341659728729,0.673119917936914,14,3.43487801679686,1.0,0,0.853638811172914,1.96325224005166,77.7210883448065,0.0327747902396275,-3.0,0.938960865989475,0.630052260514418,4.95096441555981,0,1.65814752396261,0,0.575979107671391,0.141241286728323,3.62741921370801,1.63299316185545,32.8787283297959,5.54671028215422,-0.138279584732483,0.529442148760331,0.0,3.23592635062903,3.71357206670431,0.725187447365913,0.5,0.75,,3.92219996452332,0.548590877349469,-0.013100645803488,-0.0404759734388667,17765.0,0.482520630306123,0.673119917936914,0.0,4.495,6.88509725498821,0.0088503546383596,100.539965874203,0.229159262295919,0.206298576091103,3.98546644987339,0,0.172413793103448,0.0848168395247159,3.89360047066e-05,0.0,0.162024568333971,5.31566600488265,0.0,39.2650448010331,0.0,5.88887795833288,0,1.35,0.0,77.7210883448065,1.27954089715058,0.566318931728946,0.259395818548883,77.7210883448065,0.0,0.214634146341463,0.93932366785631,1.04909285714286,0.0,0.0919006942117211,0.182730876109759,2.66449777920046,12.2100834060714,156.01837646837,0.360682106326531,1.65757045206567,0.0584540762864888,0.0,-0.688782110949348,1.8993851525958,0.0,7.44013410202073,103.565003704492,1.96877424081876,0.432622476532754,0.175815840401582,2,77.7210883448065,7.27302747722773,1.98253497526112,3.77003439226055,1.97629372143474,0.60318889352493,40.8035972447694,0.921904761904762
C1=CC=C(C(=C1)C(=O)N)O,0.451966941759586,63.32,0.0,-1.53957234807443,0.971217583280208,7,2.52697584409387,-1.0,0,1.09474972398483,2.13012799837963,100.725457665404,0.249996891280795,0.0,0.885025922710603,0.612406698040228,4.89139800236644,2,2.39604490986087,1,0.524221323191195,-0.209519313606671,2.5316636357675,0.0,21.2087183005882,5.41423382908684,-0.363304858388129,0.511194029850746,1.88988157484231,3.96981578242681,2.19722457733622,0.75454753205155,0.0,0.8,-0.610919733439452,0.491099961102009,0.533976104278344,0.564070745763555,-0.241353174974535,1654.0,0.0872768684429068,0.971217583280208,4.91564814814815,0.5648,5.89283867925576,0.0356830887093767,50.2699829371013,0.0769524428373705,0.202275327039298,3.25830845240305,1,0.0588235294117647,0.0619908661758029,0.0201200766013075,0.0,0.382217752233176,4.12309397550809,25.1449270324178,21.3012799837963,0.0,5.25227342804664,0,1.375,0.0,67.828270193339,1.22127429409692,0.769885270762111,0.569796201219269,0.0,0.295278025641208,0.233576642335766,1.04342777458793,1.02395294117647,32.8971874720655,-0.141095736925111,0.391521151066261,3.02863931183857,6.65557843006921,100.725457665404,0.0134982114878893,1.48716198414311,-0.148895786613517,0.015272992824059,1.69040930967708,1.71587550337197,0.0,7.43913580206226,45.7952147795279,1.40351649849983,1.01162560389247,0.353845549821765,0,67.828270193339,6.79124001470536,1.99253330381599,2.79999913156522,1.99251022099799,0.709863708383637,3.18557495074005,0.756410256410257
