,SM1_Dz(i),CATS2D_02_DA,AMR,Eig03_EA(dm),T(N..O),DLS_cons,SpPosA_B(p),SM1_Dz(p),P_VSA_MR_2,DLS_04
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,0.526147639863771,1,43.4446,0.36766156437,0,0.7,1.21573041420753,-1.75785791755237,50.2898540648355,0.4
C(=C(F)F)(C(F)(F)F)C(F)(F)F,1.34276035909617,0,23.0111,1.51,0,0.838095238095238,0.895483584942842,-2.89829583486251,89.7606796260748,0.7
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],1.06032180937978,0,49.7262,2.61245154965971,71,0.723809523809524,1.16739675271481,-2.41591377830105,42.6833431609212,0.4
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.562582810538836,0,79.9621,0.484747567859488,5,0.871428571428571,1.3032487673155,-1.16542946170543,25.1449270324178,0.6
C(C(C(F)(F)F)(F)Cl)(F)Cl,1.10918948570588,0,26.4845,1.53479640343597,0,0.809523809523809,1.01371321769716,-2.4273746367568,74.8005663550623,0.5
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,0.715935542190386,0,55.5886,0.0,0,0.747619047619048,1.32181667840328,-1.34265590409007,61.2897419524419,0.4
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.556467981644717,1,94.6316,0.561448518436125,13,0.952380952380952,1.21519790073184,-1.64865862558739,78.8281580809454,1.0
C(=O)(N)NO,0.58589598981297,2,14.9072,-0.840389265283658,7,0.8,1.00324511158643,-1.52605630349505,25.1449270324178,0.6
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,0.670799316896029,0,73.3872,0.0,0,0.711904761904762,1.27954089715058,-1.68909900884178,77.7210883448065,0.4
C1=CC=C(C(=C1)C(=O)N)O,0.451966941759586,1,36.3327,0.0,6,0.752380952380952,1.22127429409692,-1.38629436111989,67.828270193339,0.6
Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(C)C)Cn1cncn1,1.06770624597226,0,142.9009,0.8,98,0.842857142857143,1.25972337862865,-1.97610675063351,81.6264998671483,0.9
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,0.297285808594441,0,68.4311,0.0,0,0.9,1.28411428178234,-1.22377543162211,36.1448149200242,0.8
CC(C(=O)O)O,0.41824970246758,1,18.9143,0.0,0,0.938095238095238,1.06566674108856,-1.52605630349505,103.14157618311,0.9
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,0.532450119862655,1,54.829,0.0,10,1.0,1.23797068554742,-1.33692027650209,79.5993721899293,1.0
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.793761450592537,3,35.6239,2.34092228124359,0,0.866666666666667,1.08367275163357,-2.24070968927596,203.484810580017,0.9
CCCCNC(=O)N,0.484584312560769,2,31.9125,0.0,4,0.952380952380952,1.12151597999163,-1.22377543162212,48.6871310255984,1.0
CCOC1=CC=C(C=C1)NC(=O)C,0.4519669417596,1,50.3514,0.14897385865223,7,0.952380952380952,1.22901232077753,-1.38629436111988,71.4581209097951,1.0
C1CN1P(=S)(N2CC2)N3CC3,0.415349430182147,0,51.9162,0.4,0,0.952380952380952,1.2104819794864,-0.637475895689475,0.0,1.0
CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,0.623529113679112,0,74.945,0.0,0,0.976190476190476,1.17854886852178,-1.94591014905533,187.737048395968,1.0
C(C(C(F)(F)Cl)(F)F)(F)Cl,1.10918948570587,0,26.4008,1.51,0,0.809523809523809,1.01872464479981,-2.4273746367568,74.8005663550623,0.5
CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,0.395078015221685,2,69.1672,0.0,4,0.928571428571429,1.25633501451808,-1.28284867766684,91.397360056542,1.0
C(C(F)(F)Cl)Cl,0.678439551687673,0,21.5972,0.0,0,0.79047619047619,1.08406810350751,-1.58931683443788,29.9202265420249,0.7
CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C,0.62352911367915,0,113.1814,0.286045781840519,0,1.0,1.22085865681982,-1.94591014905532,154.687343816181,1.0
CNCC(C1=CC(=C(C=C1)O)O)O,0.556467981644689,0,48.6567,0.0,16,0.952380952380952,1.1792777708857,-1.64865862558738,85.3666863218424,1.0
C(CO[N+](=O)[O-])O[N+](=O)[O-],0.911881023385449,0,26.4444,0.341474287853465,32,0.780952380952381,1.03850659213917,-2.24070968927596,0.0,0.8
OCC(C1OC(=C(C1=O)O)O)O,0.712263297752179,1,35.845,0.0,0,0.842857142857143,1.07802384843783,-2.10413415427021,110.51161335426,0.9
C1C(=O)NC(=O)NC1=O,0.677881246889509,4,25.9748,1.60472706636766,16,0.685714285714286,1.16017310276804,-1.75785791755237,75.4347810972533,0.3
C1=CC(=CC=C1N)S(=O)(=O)N,0.536317916526918,2,44.1004,0.0,16,0.752380952380952,1.24384012868323,-1.43672603441858,44.3129520701807,0.6
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,0.462916071743844,1,56.3626,0.0,0,0.771428571428571,1.38002864777742,-0.878339612445592,0.0,0.4
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,0.677881246889508,4,59.7463,1.62494609415871,16,0.9,1.23517603667365,-1.75785791755238,75.4347810972533,0.8
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,0.824657782762135,2,87.6542,2.08309816972106,57,1.0,1.23656062544334,-1.97503890044713,188.744736237716,1.0
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.809595993203202,0,49.3334,0.526435126891531,26,0.757142857142857,1.21992604005575,-1.75785791755237,50.2898540648355,0.8
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0.458753078472852,0,80.8499,0.0,0,0.9,1.29595017599436,-0.696790535474751,23.5422039931806,0.8
C1=CC(=O)NNC1=O,0.585895989812968,2,26.8016,0.0,10,0.7,1.16577285678105,-1.52605630349505,50.2898540648355,0.4
C(C(CO)([N+](=O)[O-])Br)O,0.675237760016377,0,32.6639,0.0,6,1.0,1.15361886002822,-1.78791876984212,0.0,1.0
CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,0.656638785743422,2,78.6559,0.56290194711907,16,0.8,1.27321815913095,-1.48326225706237,36.1448149200242,0.6
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0.709266562439842,3,71.542,0.0,0,0.8,1.27158524347658,-1.16542946170542,0.0,0.6
CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,0.935544188796038,0,82.6984,0.701190339924235,36,0.771428571428571,1.24948659565578,-2.1451005286111,25.1449270324178,0.4
C1=C(C(=O)NC(=O)N1)F,0.765607367289207,3,26.1722,0.139226908009423,10,0.7,1.12629607768151,-1.9084900994482,50.2898540648355,0.4
C(C(F)(F)Cl)(F)F,0.93471986734252,0,16.8143,0.0,0,0.761904761904762,0.962011273926468,-2.23846248535247,59.8404530840499,0.5
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,0.556467981644681,2,59.592,0.366114946895299,9,1.0,1.22664843503433,-1.64865862558738,141.313518780353,1.0
CCNC1=NC(=NC(=N1)Cl)NC(C)C,0.814346595961785,4,62.214,0.0,0,1.0,1.22064816302002,-1.33692027650208,105.939917969313,1.0
C(CC(C(=O)O)N)CN=C(N)N,0.809595993203184,3,43.7046,0.159148235966687,50,0.792857142857143,1.10417662437131,-1.75785791755237,114.9126781797,0.8
CC(COC(C)COC)O,0.418249702467595,0,39.1847,0.0,0,0.923809523809524,1.11785369495653,-1.52605630349504,70.6266119795419,0.8
C(C(F)(Cl)Cl)(F)F,0.843504962148503,0,21.6491,0.0,0,0.761904761904762,1.07258168023111,-1.95207681034099,44.8803398130374,0.5
C(C(F)(F)F)(C(F)(F)Cl)Cl,1.10918948570588,0,26.7175,0.0,0,0.809523809523809,0.992611530857201,-2.4273746367568,74.8005663550623,0.5
CC1(CC2=C(O1)C(=CC=C2)O)C,0.297285808594491,0,46.5803,0.0,0,0.828571428571429,1.25751647543905,-1.22377543162212,147.85204702125,0.8
CC(F)F,0.534971745594069,0,11.4436,-1.51,0,0.747619047619048,0.952789020498941,-1.66502397967365,65.2335325317959,0.4
CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,0.0,0,85.491,0.0,0,0.616666666666667,1.36725155611944,0.0,0.0,0.4
C(C(=O)O)O,0.418249702467582,1,14.4961,-1.05201732375387,0,0.852380952380952,1.0177340322995,-1.52605630349505,67.828270193339,0.8
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,0.0,0,83.1728,0.0,0,0.616666666666667,1.39203967197191,0.0,0.0,0.4
C1=CC=C2C(=C1)N=C(S2)N,0.310054923303504,1,43.3401,0.0,0,0.728571428571429,1.36811869009487,-0.591612669735647,0.0,0.6
C(C(=O)O)N(CC(=O)O)CC(=O)O,0.817044817216182,3,38.6925,2.36912958057492,18,0.866666666666667,1.09927195598251,-2.17475172148416,203.484810580017,0.9
C1=CC(=CC=C1C(=O)O)Cl,0.390622161238393,1,37.6212,0.0,0,0.723809523809524,1.26759791748439,-1.16542946170543,67.828270193339,0.4
C1=CC=C(C(=C1)C(=O)O)C(=O)O,0.526147639863783,2,39.5748,0.0,0,0.723809523809524,1.1944949225955,-1.75785791755237,135.656540386678,0.4
C([C@@H](C(=O)O)N)C(=O)O,0.651074404138043,2,26.6078,0.159148235966687,14,0.842857142857143,1.07757495067325,-1.85629799036563,135.656540386678,0.9
C(C(C(C(C(C=O)O)O)O)O)O,0.712263297752171,0,37.4207,0.0,0,0.914285714285714,1.04268929543053,-2.10413415427021,25.1449270324178,0.9
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,0.762113385024657,3,55.3163,0.996085546188672,28,1.0,1.19931139385387,-1.94591014905532,50.2898540648355,1.0
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0.998497250665143,0,53.0733,2.61245154965971,60,0.747619047619048,1.19273543648372,-2.30258509299405,0.0,0.4
C(CC(=O)O)CO,0.418249702467583,1,23.7999,0.0,0,0.952380952380952,1.07405157223508,-1.52605630349505,91.3704741865196,1.0
C1=CC(=CN=C1)C(=O)O,0.451966941759586,1,30.6595,0.0,8,0.723809523809524,1.21546737210726,-1.38629436111989,67.828270193339,0.4
C(C1C(C(C(C(=O)O1)O)O)O)O,0.712263297752177,0,34.8539,0.0,0,0.914285714285714,1.05901512805349,-2.1041341542702,36.1448149200242,0.9
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,0.8264535478682,0,86.577,0.0,24,0.892857142857143,1.27987095422511,-1.57165296807136,23.5422039931806,1.0
C(F)F,0.534971745594069,0,6.6013,0.0,0,0.647619047619048,0.856414066630994,-1.66502397967365,29.9202265420249,0.2
CCOC1=CC=CC=C1C(=O)N,0.451966941759585,1,45.8498,0.0,6,0.852380952380952,1.21912821671608,-1.38629436111989,71.4581209097951,0.8
CCCC(C)(COC(=O)N)COC(=O)N,0.762113385024667,4,53.0367,0.262040598263252,36,1.0,1.11835134311117,-1.94591014905532,72.2896298400484,1.0
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,0.745739630679098,4,81.7333,0.0,29,1.0,1.23294084214334,-1.79290880848457,116.54228708896,1.0
CC(CO)OCC(C)O,0.418249702467581,0,34.4335,0.0,0,0.923809523809524,1.09272645322463,-1.52605630349505,70.6266119795419,0.8
CC(C)C(C(=O)O)N,0.451966941759588,1,29.5678,0.0,6,0.914285714285714,1.11107292239269,-1.38629436111989,79.5993721899293,0.9
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,0.532450119862659,0,74.0777,0.603914550795198,4,1.0,1.23535247025917,-1.3369202765021,25.1449270324178,1.0
C(=CC(=O)O)C(=O)O,0.526147639863769,2,24.7572,0.0,0,0.752380952380952,1.10790310806883,-1.75785791755237,135.656540386678,0.6
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,-0.0712037590063671,0,86.433,0.0,0,0.640476190476191,1.38466356040783,0.415547443449687,0.0,0.4
CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,0.451966941759557,2,59.9958,0.0,4,1.0,1.22964000478253,-1.38629436111989,36.1448149200242,1.0
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.67788124688951,4,58.0029,1.60472706636766,16,1.0,1.18910569506882,-1.75785791755237,75.4347810972533,1.0
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,0.0,0,99.623,0.0,0,0.564285714285714,1.39284472589353,0.0,0.0,0.2
CCOC(=O)N,0.451966941759582,2,20.8375,0.0,4,0.938095238095238,1.08346077892714,-1.38629436111989,71.4581209097951,0.9
ClC(Cl)(F)F,0.678439551687671,0,17.579,-1.34166924186115,0,0.661904761904762,1.09561174661005,-1.58931683443788,0.0,0.3
C(CO)C(CO)O,0.41824970246758,0,25.3815,0.0,0,0.90952380952381,1.04000678894763,-1.52605630349505,23.5422039931806,0.7
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.78369369481569,0,31.5412,1.51,0,0.745238095238095,0.871163967026542,-3.43400655913655,209.441585794174,0.3
CN(C)NC(=O)CCC(=O)O,0.677881246889523,2,38.8506,0.4,27,0.952380952380952,1.12636283505457,-1.75785791755238,92.9731972257567,1.0
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,0.611665938692071,2,57.9842,0.551242257870322,10,1.0,1.25485207637823,-1.42959328551503,144.458670037558,1.0
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,0.516171310090747,0,65.0774,0.0,0,0.752380952380952,1.28451760499924,-1.02961941718116,0.0,0.6
C(C(C(F)(F)F)(F)F)(Cl)Cl,1.10918948570588,0,26.4845,1.2,0,0.809523809523809,1.00108770908176,-2.4273746367568,74.8005663550623,0.5
C1=NNC(=N1)N,0.642274850186189,2,23.1252,0.0,0,0.728571428571429,1.19378600163908,-1.22377543162211,0.0,0.6
CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.614482689376275,0,98.7331,0.624554573426065,14,0.9,1.27968787796853,-1.38629436111987,119.31374300514,0.8
C(C,0.335257213064668,0,13.4754,-2.56920221080397,3,0.728571428571429,1.16876892636616,-1.02961941718116,0.0,0.6
C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,0.0,0,99.623,0.0,0,0.564285714285714,1.39692653325534,0.0,0.0,0.2
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,0.532450119862659,0,74.0777,0.603914550795198,4,1.0,1.23535247025917,-1.3369202765021,25.1449270324178,1.0
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,0.741079834315239,1,67.8726,0.0,12,0.9,1.23520171312793,-1.99373385996466,151.828707208708,0.8
CC(CO)O,0.297285808594476,0,18.9718,0.0,0,0.923809523809524,1.04407425775696,-1.22377543162211,35.313305989771,0.8
C(F)(F)(F)Br,0.745739630679116,0,15.5429,-1.51,0,0.661904761904762,1.02572172232212,-1.94672410341885,0.0,0.3
C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.946393075690593,4,72.0632,0.0,0,0.65,1.25489734515229,-1.64865862558738,0.0,0.3
C(F)(F)(F)F,0.881616467940132,0,8.309,-1.51,0,0.661904761904762,0.767645227282879,-2.25880038062303,0.0,0.3
CC(C(=O)O)N,0.451966941759585,1,20.5718,0.0,6,0.914285714285714,1.08394741747315,-1.38629436111989,103.14157618311,0.9
C(CC(C(=O)O)N)CNC(=O)N,0.786136487402782,3,41.4033,0.159148235966687,45,0.792857142857143,1.0999016926915,-1.85629799036562,140.057605212118,0.8
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,1.04211248142863,4,62.9464,2.36912958057492,72,0.723809523809524,1.11167623916767,-2.46809953147163,271.313080773356,0.9
CC(F)(F)Cl,0.609276321522798,0,16.5477,-1.51,0,0.79047619047619,1.05208114357767,-1.62788668250256,29.9202265420249,0.7
CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,0.418249702467573,0,64.1092,0.981968229572859,0,0.9,1.27520171750152,-1.52605630349506,75.4347810972533,0.8
C1=CC(=NC(=C1Cl)C(=O)O)Cl,0.606935483740878,1,40.9584,0.0,6,0.723809523809524,1.27231455116893,-1.2849811994194,67.828270193339,0.4
C(C(F)(F)F)Cl,0.785179266006438,0,16.7624,0.0,0,0.79047619047619,0.947373074476835,-1.97906856753305,44.8803398130374,0.7
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,0.656638785743424,2,76.0953,0.203994961638802,10,0.771428571428571,1.28547528827205,-1.48326225706236,25.1449270324178,0.4
CC(=O)NC1=CC=C(C=C1)O,0.451966941759573,1,40.8343,0.0,7,0.752380952380952,1.22727565785357,-1.38629436111989,67.828270193339,0.6
CO,0.159649817529538,0,8.2613,0.0,0,0.857142857142857,0.930280222004527,-0.78845736036427,0.0,0.5
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.660055645559751,3,67.528,0.0,24,0.8,1.27636480113937,-1.57005238569981,44.3129520701807,0.6
COC(=O)C1=CC=C(C=C1)C(=O)OC,0.526147639863775,0,49.113,0.0,0,0.752380952380952,1.20266186767443,-1.75785791755237,72.2896298400484,0.6
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],0.839798380885642,0,47.4427,0.0,28,0.723809523809524,1.19461370214297,-2.10413415427021,42.6833431609212,0.4
CCCCCCCCCCCCCCCCCO,0.159649817529578,0,81.9475,0.0,0,0.564285714285714,1.18890689782383,-0.788457360364239,23.5422039931806,0.2
CCC(C)C(C(=O)O)N,0.45196694175959,1,34.1688,0.0,6,0.938095238095238,1.12239421146591,-1.38629436111989,79.5993721899293,0.9
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0.585895989812942,3,69.9813,1.11750946908742,9,0.8,1.27689562656526,-1.52605630349505,50.2898540648355,0.6
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,0.585895989812984,2,65.2748,0.366114946895299,16,1.0,1.22882737621241,-1.52605630349506,36.1448149200242,1.0
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,0.770154516920756,4,75.1647,0.0,32,0.8,1.26963430843389,-1.68767591568473,44.3129520701807,0.6
CC(C)CC(C)(C,0.642274850186166,0,76.7092,0.0,0,1.0,1.25979144062798,-1.22377543162212,117.711019965903,1.0
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],0.651074404138034,1,40.1411,0.0,12,0.723809523809524,1.19896963060891,-1.85629799036563,67.828270193339,0.4
C(C(=O)O)NCP(=O)(O)O,0.701561679160956,4,31.3181,0.0,15,0.866666666666667,1.11016993570374,-1.95795164409213,88.091488026038,0.9
O=C=O,0.297285808594476,0,6.3844,0.0,0,0.671428571428571,1.11330274232245,-1.22377543162212,50.2898540648355,0.2
CN1C=NC2=C1C(=O)NC(=O)N2C,0.809595993203193,3,44.4367,0.513954020726231,26,0.757142857142857,1.22399742297344,-1.75785791755238,50.2898540648355,0.8
CC1=CC(NC2=CC=CC=C12)(C)C,0.203104095976478,0,58.4628,0.0,0,0.814285714285714,1.30019176072351,-0.470003629245722,70.6266119795419,0.7
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.397836080943686,0,85.7406,0.0,0,0.764285714285714,1.32334190746917,-0.194414804481324,23.5422039931806,0.6
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,0.526147639863792,0,67.4384,0.636015229285823,0,0.8,1.23517445535277,-1.75785791755237,72.2896298400484,0.6
C(C(F)(F)F)(C(F)(F)F)(F)F,1.34276035909616,0,17.5372,1.51,0,0.761904761904762,0.844697169625106,-2.89829583486251,119.6809061681,0.5
