,nHAcc,piPC10,P_VSA_v_2,TPSA(NO),MDEC-12,ATS6m,T(N..N),DELS,nHet,MATS1p,SpMin4_Bh(m),P_VSA_LogP_5,SIC5,MDEO-12,GATS6e,SpMax4_Bh(m),SHED_DA,LOGP99,O%,piPC06,PW5,QEDu,SPI,N%,minsCl,nC,ATSC1i,MeanDD,P_VSA_charge_6,LOGPcons,MATS6v,Mv,ATS2m,F03{C-N},MPC05,ESOL,GATS3i,Hy,nHDon,DECC,ICR,ATSC1e,PHI,P_VSA_LogP_8,B01{C-Cl},JGI2,LLS_02,P_VSA_s_5,nN,SpMax1_Bh(m),MATS2m,C-001,GATS1m,SIC0,piID,CATS2D_05_AA,P_VSA_charge_3,P_VSA_charge_7,GATS5i,MDEC-13,minssO,T(N..O),piPC03,GATS2i,P_VSA_charge_2,CATS2D_06_AA,MATS6e,C-003,MW,MATS8m,MATS4e,MLOGP2,MATS6p,DLS_cons,GATS2p,RBF,SpMin2_Bh(m),CIC3,MATS2p,BIC2,AMW,NNRS,B02{O-O},CATS2D_02_AL,ATS3m,P_VSA_charge_1,JGI7,GATS1e,minsOH,P_VSA_i_2,B04{C-N},F02{C-O},AAC,Mi,P_VSA_charge_14,ATSC8i,SpMin1_Bh(p),GATS3p,HVcpx,MATS7p
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,4,4.12309397550809,135.656540386678,74.6,0.0,0.711438548832192,0,29.2688888888889,4,0.247893266711945,1.08551813205951,6.37114990148009,0.776981029442132,0.0,1.45364202136836,2.64634472564243,1.64938488846612,-0.253499940037727,21.0526315789474,5.13211519163397,0.0964763507476171,0.533229119026796,7.08703492918082,0.0,0.0,9,0.226469960775623,7.19230769230769,37.9049898937205,0.206367659650807,0.172852484516218,0.707347368421053,3.30591028572473,0,3.78418963391826,-1.44473454041304,1.08601238963306,0.604574652518497,2,0.63905325443787,1.46048468131311,0.163625830803324,1.4045045887852,0.0,0,0.131313131313131,1.0,0.0,0,3.99563682326355,0.0480654043655933,0,0.682005085391209,0.355238526965672,7.08330919520342,0,0.0,0.0,1.15711955241401,0.0,0.0,0,4.21582445975981,1.06955025366563,50.2898540648355,0,-0.377309156033586,0,178.15,0.0,-0.122928484370254,0.233485060920601,0.354515295247067,0.7,1.05267629163257,0.0,1.50291287785582,0.947368421052631,-0.0839251994472765,0.665402340280348,9.37631578947368,0.5,1,2,3.46084024579062,85.3666863218424,0.0,0.831016012427131,9.10935185185185,54.5430944597652,0,8,1.50902751253265,1.10964210526316,0.0,0.0,1.95855803806538,1.07818545433973,2.21377807384782,1.09158868515388
C(=C(F)F)(C(F)(F)F)C(F)(F)F,8,0.0,119.6809061681,0.0,0.0,0.0,0,51.0300925925926,8,-0.181818181818182,0.0,137.922942298551,0.0,0.0,0.0,1.581,0.0,3.26159992814064,0.0,0.0,0.0,0.343060958362758,9.5420856084005,0.0,0.0,4,0.931893791111111,2.71212121212121,0.0,3.09425317703405,0.0,0.764466666666667,3.53149637236663,0,0.0,-3.40165170486163,2.0625,-0.322931216628678,0,0.555555555555555,1.18872187554087,0.642663,2.74003069339221,15.5190320745523,0,0.111111111111111,0.75,0.0,0,3.82695127035812,0.0833333333333334,0,1.5,0.25615214493032,4.66343909411207,0,0.0,0.0,0.0,0.0,0.0,0,3.29583686600433,0.916666666666667,0.0,0,0.0,0,200.04,0.0,0.500000000000002,9.89643264154517,0.0,0.838095238095238,0.916666666666666,0.0,0.63563859537557,1.92456145875401,0.0833333333333333,0.546490490941855,16.67,0.0,0,0,3.27002510888676,0.0,0.0,1.5,0.0,33.7610682050032,0,0,0.918295834054489,1.36486666666667,15.5190320745523,0.0,1.84882978424143,2.0625,1.89436841165322,0.0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],7,0.0,211.934238818704,157.69,0.0,3.2730931587026,12,46.5962962962963,10,0.462412101907996,0.835551443169304,8.27024266057511,0.776981029442132,0.0,0.630966577871188,3.11874747582168,3.57165236692845,2.68639996647835,36.8421052631579,5.80945544149607,0.0973321104857084,0.49992114692674,11.7107909299364,15.7894736842105,0.0,6,0.279353034847645,5.35,0.0,1.82493445604554,0.0454555156570717,0.74041052631579,3.41448769029071,6,3.71357206670431,-2.5403495124956,1.59911264721439,0.137615929941502,1,0.65625,1.50524081494415,0.264780465955678,3.12637733752631,152.24074223492,0,0.106280193236715,0.875,0.0,3,4.06312615138021,0.065842146296871,0,0.504840942529442,0.446528437794109,7.3010212796333,13,0.0,0.0,0.571288132656436,0.0,0.0,71,4.35990882942026,1.51050603608736,0.0,14,0.737917190245514,0,229.12,0.0,-0.430978884567407,2.37962525480763,0.567536440104836,0.723809523809524,1.35387250682359,0.157894736842105,1.32491706827772,1.2373565791751,-0.092834634863161,0.596081816647053,12.0589473684211,1.0,1,4,3.51615667727746,42.6833431609212,0.0,0.498487664067444,9.12992441421013,27.2227376074354,1,8,1.89682043644058,1.15582631578947,0.0,0.0,2.17051752948043,1.60249567450149,2.45012163531939,0.762751868640199
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3,7.09215800197992,45.0547704745431,32.67,1.79208687174048,3.65307224990428,3,16.991718037009,4,-0.0479768506429433,1.51661214892159,29.4140335347946,0.911363427893155,0.0,0.998442353067474,3.19169058700909,0.0,3.15379998832941,3.03030303030303,5.97333239878457,0.112738739704727,0.837468861776207,8.99519350597391,6.06060606060606,6.10836594720192,16,0.437120877392102,10.0052631578947,86.5298814289326,3.29793882178452,0.0354955058107492,0.689269696969697,3.6843998303146,7,4.30406509320417,-4.18352954231846,1.04000555499105,-0.787179555370683,0,0.995,2.14773092211916,0.0106443200000003,3.38961809550495,39.148644061782,1,0.086021505376344,1.0,0.0,2,4.05787989846728,0.0510341204058736,0,0.557714435887061,0.31453631535168,9.3018017127315,0,0.0,28.4287424202904,1.0260277632026,1.84057863292273,0.0,5,4.60517018598809,0.988976654673071,41.930456580548,0,-0.0286345105614604,0,284.76,-0.0397861207311175,-0.166224126539115,11.2574776076944,0.068411302469124,0.871428571428571,0.753234457000118,0.0285714285714286,1.93376488066716,0.53059924255536,0.111286317136969,0.720151789010343,8.6290909090909,0.666666666666667,0,4,3.84948690541321,3.12431389399505,0.0115531789638933,0.587408255914306,0.0,106.401962469358,1,1,1.58664513948469,1.11033939393939,0.0,0.37935190795225,2.03183201052651,0.943104843165916,2.73763352789704,-0.31252824044078
C(C(C(F)(F)F)(F)Cl)(F)Cl,5,0.0,74.8005663550623,0.0,0.0,0.0,0,34.349537037037,7,-0.0684308226090835,0.0,74.8005663550623,0.0,0.0,0.0,2.26018927280079,0.0,2.98769990354776,0.0,0.0,0.0,0.305723481239246,7.56773651634228,0.0,4.04861111111111,3,0.657046873636363,2.4,78.297288123564,2.96777422256906,0.0,0.788972727272727,3.62859414111638,0,0.0,-3.33127531046293,0.957736704534802,-0.288075770336738,0,0.6,1.36096404744368,0.465056088842975,2.77195900585508,7.75951603727614,1,0.192592592592593,0.875,0.0,0,4.06503643391595,-0.292426466343712,0,0.726206323215157,0.517405537275823,4.02535169073515,0,29.9202265420249,0.0,0.0,0.0,0.0,0,2.77258872223978,1.03526307485097,0.0,0,0.0,0,202.94,0.0,-0.132726486903999,9.77389402570138,0.0,0.809523809523809,0.957995945189439,0.0,0.80301019947544,0.74675628370916,-0.0801031875341473,0.911268706598317,18.4490909090909,0.0,0,0,3.96682288569089,0.0,0.0,1.19619790953072,0.0,10.2538499491906,0,0,1.78992907531,1.29520909090909,7.75951603727614,0.0,1.76760094190904,1.20635690388383,1.9328568803081,0.0
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,3,3.84079549613978,61.2897419524419,47.28,0.0,2.18205560578999,0,31.5289506172839,7,-0.0195671956787032,0.425177422864219,31.3734639157232,0.761105843510839,1.0,0.0823023239215902,3.31787460317822,0.0,3.6107999458909,20.0,5.63478960316925,0.106705587974784,0.510248852749476,9.93359681385111,0.0,5.7122159234064,8,0.118850826666667,7.38095238095238,156.594576247128,3.83104176654621,-1.79483706712079,0.9672,3.79530745760383,0,4.02535169073515,-4.58282298598307,1.1911513577734,-0.520918746081136,0,0.533333333333333,1.53012496531497,0.323099712,2.68700664761247,156.594576247128,1,0.106666666666667,1.0,0.0,0,4.27613983076646,-0.109111457735958,0,0.659469579303042,0.372819439522618,7.40363222595055,0,50.2898540648355,0.0,0.802674076286908,0.0,4.33929012345679,0,4.39753082120985,0.825467771455111,0.0,0,1.1401175370678,0,285.88,0.0,-0.183249025020094,15.3736556296618,-1.95579011890391,0.747619047619048,0.422981636345639,0.0,1.15784655334787,0.933333333333333,0.294758660185513,0.616278455097635,19.0586666666667,0.5,1,4,4.3082751195395,10.9998878876064,0.0,0.956877003447559,0.0,34.7562369803698,0,4,1.45656476213095,1.08230666666667,14.382660952253,0.0,1.8841152533094,0.676938171983915,2.37099987579374,0.0
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,4,4.46662625154002,96.8389087639757,58.56,5.10727085714975,3.30656476979016,0,22.3012159831969,4,-0.0305402606128955,1.69918227359909,19.4288909329307,0.911394613650776,0.436435780471985,0.984760959141864,3.32997456295578,5.0,4.17970007658005,5.76923076923077,4.79888492661149,0.0707260828977306,0.63419590844363,14.2496217469858,1.92307692307692,0.0,19,0.66972426783284,7.59683794466403,46.0791509440706,3.87794963282738,-0.0640558367295015,0.568096153846154,3.58037017546768,3,3.61091791264422,-3.76319356692133,1.14184036466361,0.235447840471355,2,2.13232514177694,3.08792934698511,0.0574060105547328,9.45683805048213,0.0,0,0.0793650793650794,1.0,18.0107506830303,1,3.88794282855433,-0.0048606628338948,2,1.03321761480324,0.236405198181588,7.42435171950855,0,0.0,32.2761968544003,0.919041366493805,2.29393072025043,5.05052432308164,13,4.13115853534482,1.18344315473164,25.1449270324178,0,-0.002903371222687,1,319.49,0.0913385449100679,-0.0766782817869745,9.69169558731046,-0.0651844716571708,0.952380952380952,1.16226129851803,0.192307692307692,2.00236188267181,0.687969952131101,-0.0491365442395892,0.788429103845284,6.14403846153846,1.0,0,3,3.63393572974369,71.6939817315579,0.0126350308641975,0.856272801043016,9.53149095505146,103.826719315042,1,5,1.34761358128934,1.13344807692308,0.0,0.849222123483732,2.01597412514049,1.11082783041332,3.62145411088652,0.0647473888066964
C(=O)(N)NO,4,0.0,115.320481475171,75.35,0.0,0.0,2,7.87962962962963,4,0.0912369986720729,0.150876567168219,0.0,0.263230027380949,0.0,0.0,1.27372045982241,2.87174588749259,-0.956099987030029,22.2222222222222,0.0,0.0,0.351934333511674,2.80360215748814,22.2222222222222,0.0,1,0.0383830200000002,1.8,0.0,-1.40476655950622,0.0,0.555466666666667,1.98381933357474,0,0.0,0.464487992297317,0.496392496392496,4.46631425107267,4,0.48,0.970950594454669,0.119131445925926,1.67701733284253,0.0,0,0.111111111111111,1.0,14.4726980740158,2,3.45700067082677,0.0440299547771291,0,0.926486051184367,0.579380164285695,2.99573227355399,0,39.6176251064335,0.0,0.0,0.0,0.0,7,1.38629436111989,1.36209377923664,42.8056688966715,0,0.0,0,76.07,0.0,-0.514088033253678,3.45736721270802,0.0,0.8,1.8561298882232,0.0,0.972031700613923,0.222222222222222,-0.587603875527428,0.929896694047616,8.45222222222223,0.0,0,0,1.61946011397184,32.8971874720655,0.0,1.09648701664792,7.41898148148148,4.2758225378523,0,1,1.83659166810898,1.2034,4.2758225378523,0.0,1.73104135081334,0.718137240397923,1.73173259480082,0.0
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,4,5.53782627194851,77.7210883448065,52.6,0.0,3.51174753900442,0,28.4373849966272,6,0.0327747902396275,1.18054905632457,40.8035972447694,0.673119917936914,1.63299316185545,1.24241191308335,3.43487801679686,0.0,3.92219996452332,14.2857142857143,5.31566600488265,0.0848168395247159,0.738739525515964,10.9769285874788,0.0,5.68840271279164,14,0.292275951836734,7.09473684210526,78.297288123564,4.38111901626411,-0.013100645803488,0.755292857142858,3.73038394400123,0,3.80666248977032,-4.69341659728729,1.2064992995078,-0.688782110949348,0,1.4,2.72192809488736,0.229159262295919,4.87356232731838,78.297288123564,1,0.103174603174603,0.875,0.0,0,4.01676598896992,0.0088503546383596,0,0.470510440987837,0.351418144516779,8.11998569209249,1,77.7210883448065,75.809979787441,0.673044948769713,0.0,4.44983914399093,0,4.43675153436313,1.12132433114567,0.0,0,0.162481326781183,0,311.12,-0.108851447883469,-0.468827899046898,22.3365607851862,-0.180076124729638,0.711904761904762,0.896656697567571,0.172413793103448,1.96877424081876,1.57142857142857,-0.0782899168375301,0.566318931728946,11.1114285714286,1.0,1,4,3.77003439226055,0.0,0.0112847222222222,0.524891130633121,0.0,103.565003704492,0,6,1.68939174674309,1.10005714285714,14.382660952253,0.308471193469387,1.98253497526112,1.21625078006549,3.30776265720347,-0.0991739989031428
C1=CC=C(C(=C1)C(=O)N)O,3,0.0,100.725457665404,63.32,0.0,0.356170054503509,0,14.7594444444444,3,0.249996891280795,0.98502219255192,3.18557495074005,0.971217583280208,0.0,0.581674542941724,2.52697584409387,1.88988157484231,0.491099961102009,11.7647058823529,4.12309397550809,0.0619908661758029,0.657835010987452,5.24830393355641,5.88235294117647,0.0,7,0.228790657993079,4.66666666666667,18.9524949468603,0.76436937762886,0.564070745763555,0.648905882352941,2.81236721910568,2,2.70805020110221,-1.53957234807443,1.23158988801454,1.69040930967708,3,0.6,1.57095059445467,0.0769524428373705,1.80374056049927,0.0,0,0.102564102564103,1.0,0.0,1,3.87174137455345,0.0356830887093767,0,0.823483622034509,0.405600368551075,5.92392151695011,0,0.0,18.9524949468603,0.745879254008621,0.0,0.0,6,3.70745583968687,1.1217676266264,25.1449270324178,0,0.0918344488062397,0,137.15,0.0,0.156533355264013,1.53068406033052,0.44792783584868,0.752380952380952,1.17286578105033,0.0588235294117647,1.40351649849983,0.235294117647059,-0.117312143111176,0.769885270762111,8.06764705882353,1.0,0,3,2.79999913156522,75.5805306329867,0.0,0.921925253076926,8.98009259259259,45.7952147795279,1,3,1.65787643484996,1.12721764705882,0.0,0.0,1.99253330381599,1.21273216227198,2.16769631486174,0.912184720250336
