SMILES,cluster,odour
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,6,False
C(=C(F)F)(C(F)(F)F)C(F)(F)F,4,False
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],6,False
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,8,False
C(C(C(F)(F)F)(F)Cl)(F)Cl,4,False
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,6,False
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,7,False
C(=O)(N)NO,0,False
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,9,False
C1=CC=C(C(=C1)C(=O)N)O,4,False
Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(C)C)Cn1cncn1,2,False
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,9,False
CC(C(=O)O)O,0,False
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,1,False
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,6,False
CCCCNC(=O)N,4,False
CCOC1=CC=C(C=C1)NC(=O)C,6,False
C1CN1P(=S)(N2CC2)N3CC3,6,False
CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,5,False
C(C(C(F)(F)Cl)(F)F)(F)Cl,4,False
CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,8,False
C(C(F)(F)Cl)Cl,0,False
CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C,2,False
CNCC(C1=CC(=C(C=C1)O)O)O,1,False
C(CO[N+](=O)[O-])O[N+](=O)[O-],4,False
OCC(C1OC(=C(C1=O)O)O)O,6,False
C1C(=O)NC(=O)NC1=O,4,False
C1=CC(=CC=C1N)S(=O)(=O)N,6,False
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,6,False
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,9,False
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,7,False
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,6,False
