,nHAcc,SHED_DA,nHet,P_VSA_v_2,TPSA(Tot),TPSA(NO),DELS,P_VSA_i_4,P_VSA_p_2,ATSC1e,P_VSA_ppp_ter,ATSC2e,T(N..O),ATS2m,ATSC3e,ATSC4e,AAC,P_VSA_m_3,P_VSA_s_6,MAXDN,CATS2D_00_DD,Hy,SHED_DD,ATSC6e,F04{C-N},ATSC7e,P_VSA_ppp_D,piPC06,ATS3m,ATS5m,P_VSA_charge_1,B01{C-F},GGI2,H-050,MW,LOGP99,SpMax4_Bh(m),P_VSA_e_2,GGI3,Mi,B01{C-N},PW4,ATS4m,H%,P_VSA_e_3,N-072,F03{C-N},ATSC5e,P_VSA_LogP_5,F01{C-F},AMW,P_VSA_charge_3,Mv,SssssC,P_VSA_m_2,N%,Me,ATS1m,B02{F-F},nHDon,SpMax1_Bh(m),GGI5,GGI4,S2K,GGI1,P_VSA_s_4,MLOGP,nO,F06{C-N},MDEO-11,piPC01,piPC07,T(O..O),B03{C-N},piPC02,P_VSA_LogP_7,piPC09,nF,CENT,IDET,MATS1e,GATS2p,MDEC-13,MATS4v,P_VSA_m_1,P_VSA_LogP_1,P_VSA_ppp_A,ESOL,piID,MATS2p,F01{C-N},GATS1e,LOGPcons,MATS3m,SPI,SpMin1_Bh(p),SHED_AA,Mp,S1K,P_VSA_ppp_L
nHAcc,1.0,0.6467551786775831,0.9148331642284573,0.8682668947216676,0.6999510259222836,0.7996182669039296,0.8800752147229337,0.5797990738670307,0.7456553962982776,0.6891515642383862,0.6701865174298519,0.8182787658195976,0.5658229230317929,0.458014096529119,0.7682205109702539,0.7679410275867229,0.5877840425321248,0.7270970203882438,0.7724016786499474,0.7081128641642204,0.48486853694524845,0.36237429397703164,0.47825666059798905,0.627574700174999,0.48542790949023124,0.5802700822360088,0.42072669706829496,0.29245474606632876,0.42790100980418655,0.37482807990930395,0.41735738333536176,0.2990374309740568,0.5233041456572332,0.4360343325608056,0.5183714578947185,-0.25724423004355146,0.24735665176151064,-0.05630634187800814,0.4903257506928551,0.3531275324639162,0.3972375990252106,0.25104092108748427,0.43590004880250516,-0.43734225459968934,0.3845074669836846,0.35535261207294055,0.4815129949602811,0.700881829001754,0.48970614007275737,0.36291948162613225,0.07144132617006366,0.5341371515780009,0.19004186218672914,-0.3834960325801484,0.2801736203146838,0.2718421329615947,0.4558762114860043,0.4190140484778797,0.286418128530288,0.4772883975288231,0.06035654489728429,0.48958526814124154,0.46299878007470746,0.10872378099781582,0.6270980268021806,-0.0051418110390022385,-0.25796454470307745,0.6811037200946463,0.39675866066503507,0.553408415955139,0.4233262424251188,0.30657385145040855,0.6097273203651543,0.4077207495442498,0.43955373450815516,-0.1809032503517628,0.2958724283016965,0.36972745126050277,0.4529848415783244,0.4505479397541062,-0.11147037867958134,-0.025382161384104138,0.004726749407439043,0.028021509744934173,-0.1447786495918327,-0.08125185615742489,0.6755281836801192,0.08815034922202843,0.34503790367023157,0.09856011237201438,0.4836329811915205,-0.005691481461690075,-0.26533553794048254,0.09053509581239697,0.6128224921149609,0.1743788887172632,0.7576293428160671,-0.13129525539914486,0.4852740582320781,-0.08313490942440117
SHED_DA,0.6467551786775831,1.0,0.5736536253406783,0.7682526017230492,0.7250375431781059,0.7670589049094709,0.49674907887044145,0.3830697370752696,0.7913350628508516,0.3388632701717672,0.5667089937068568,0.3790713136353729,0.4904362839079147,0.2880206431327413,0.5392680616292278,0.5904418123921918,0.474225354203908,0.5769692503369797,0.6387525784096932,0.30899854369128155,0.7793623547676258,0.5637849403914044,0.7144806908311244,0.41543320858287996,0.4506315878896572,0.4088834538939318,0.712529827608624,0.29029626604018877,0.29847004797864424,0.3192770106320724,0.6589865558727904,-0.07136307213667718,0.34854941310689014,0.7500581749069554,0.3550077114934015,-0.32644489786853004,0.18260259864915399,-0.013896782675544514,0.3265303185119702,-0.0034900620374291873,0.40930938325642924,0.225403067435841,0.3020857511798419,-0.1650770425091029,0.474162228292031,0.38632553137704323,0.4278955981847259,0.5317596250261454,-0.0059709543397357305,-0.0754479938531615,-0.0030472503423871304,0.4657160830565689,0.07457843008929635,0.035439902594313406,0.306910844655989,0.24685178205278124,0.10549604878290254,0.29680284253500167,-0.09307619685030698,0.7675478094982653,0.0833129238154896,0.3282802217823999,0.37293594373361205,0.07267377893211777,0.3792485437840725,0.04461638039771837,-0.3185213336120307,0.5322114651569517,0.3630713155733447,0.5059552926091709,0.3166502974108586,0.29196829474000313,0.4547106029277431,0.40643684331507673,0.3214003450785731,-0.13176784148662354,0.26848522619536164,-0.08224657201411774,0.3247532733409499,0.3404792019830532,-0.11533309359497226,0.09548042521057203,-0.04224573703204318,-0.0032995826469152064,-0.11180142434015429,-0.15556627662928896,0.6655603682344141,0.167509552612685,0.30737513631531405,-0.001099599354592521,0.41498353795955933,0.0015733304693588074,-0.3278782116774084,0.0361110379906195,0.3992882591312149,0.14152998245670736,0.6104893815568532,-0.042979968683013084,0.3102205008088563,-0.0488498134231184
nHet,0.9148331642284573,0.5736536253406783,1.0,0.7685626743449104,0.7281939894296431,0.7211229683621403,0.8420124263419767,0.568497756400099,0.6448873379246973,0.71675448275347,0.7169032781763647,0.7977954488060298,0.6016326641940218,0.5056068318643141,0.7147445932844694,0.7158908777041534,0.6420944487358645,0.6275030110147284,0.8043042563757503,0.7233595255616401,0.38751304824285515,0.3372003423333258,0.4004631669004565,0.6125268172572383,0.507330380866311,0.5519250480617409,0.3200452786558075,0.2413699453837731,0.36854245194016455,0.291366772735725,0.2919398499920547,0.32760470168313127,0.4803489921875228,0.36038566396762883,0.5504262076774561,-0.1830107130716706,0.1955236063614778,-0.02880468209695727,0.4471054075637433,0.2863720650155073,0.4009858975419914,0.16897448325516093,0.35963000968781067,-0.5963483452585123,0.40648864564040094,0.32257129485313585,0.49002625670609123,0.6408973470487279,0.46429718403230064,0.3680245481359595,0.2772021470652979,0.5270582783204609,0.4268943508092722,-0.37500475181409076,0.19685961915844452,0.29617867740318116,0.5598196593430159,0.5042799070167127,0.31824816011083257,0.3841827010567695,0.23453932060626284,0.4805870268468962,0.43653716738755455,0.06041802711595185,0.6062907843094137,-0.0608867011507201,-0.23416100416744917,0.5802628700780619,0.40589984246246447,0.5503798361035429,0.3453174522377463,0.26692141198430736,0.5757584447940787,0.41389309391023055,0.37947726339864796,-0.2496816892090304,0.2734024354396001,0.3752753587004178,0.42449017485084306,0.4114961371508616,-0.16071673744922121,-0.15111260453682737,-0.06038557409650934,0.015792866945483368,-0.2647519718030729,-0.16198689077974635,0.581555679421301,0.01872158568475142,0.29486211148390573,0.13571485946545217,0.48447900211529515,0.06386361115507524,-0.21886382312331945,0.0758629020224314,0.545926527764483,-0.023032431450406704,0.7126463409616628,0.11951525702401428,0.43637595150901387,0.06033979237701092
P_VSA_v_2,0.8682668947216676,0.7682526017230492,0.7685626743449104,1.0,0.8016140858786576,0.9097310805281362,0.7795242998734525,0.41560339831131393,0.9473761264254162,0.6067834463918697,0.8133765978745336,0.6330135214775583,0.4986777827104535,0.3178855763234448,0.7413278466235336,0.7813478995097867,0.530006485137161,0.8896713448872043,0.8698855123159042,0.5748224628892366,0.7708035831835508,0.5768507862767137,0.699112146409978,0.6014780555527238,0.3826241780255637,0.49317368889689467,0.757466847869931,0.22523918550688046,0.34029755083196006,0.3156305555743184,0.721995546526713,0.11044473967062253,0.4342572026114929,0.6864572360678821,0.37525515327101866,-0.3845436137106642,0.18099503131430747,-0.17587781648735784,0.40118619224099844,0.2206263849822512,0.3242641667463378,0.17788365172510626,0.345816706560318,-0.3091142868237955,0.34806774395715023,0.2577087093025356,0.34500420852111197,0.7054866177695844,0.21030407533490494,0.14955971552976227,0.010549807733342041,0.4929114547592912,0.0875040306304344,-0.19478865574628254,0.16512202908980453,0.2502510462827271,0.3342117672344763,0.2820348977761164,0.08451484681439667,0.7258489368311767,0.007580409157946257,0.4017488882024903,0.39806942239974985,0.0730522280429091,0.5007738645903845,-0.07975856184459464,-0.3765526152852423,0.7576343255902872,0.2802083207992799,0.763195531091414,0.3279767449220177,0.22668062759790691,0.6837931926215964,0.319269812270234,0.33958651413538904,-0.21648675161079073,0.1910938860964793,0.14348786509950853,0.3331885924956229,0.3320115345935958,-0.16393103534063946,0.16150358106226675,-0.053965275473451244,0.031057757065876938,-0.1832066003207946,-0.15125629539118624,0.8936517547600463,0.2354735257507198,0.2548892785340973,-0.05375073331024925,0.319026852771057,0.012365971725384282,-0.38750474241477595,0.08555269225156385,0.5285736978698501,0.19035261610109155,0.7019285863036501,-0.16871702285495688,0.38011968350258607,-0.15655107891954056
TPSA(Tot),0.6999510259222836,0.7250375431781059,0.7281939894296431,0.8016140858786576,1.0,0.9050427514044577,0.5657008206233427,0.31938127880041056,0.8614714038642142,0.302071745241,0.617138553844493,0.4457151759030593,0.6079142631466735,0.3195348371614285,0.5460006966367245,0.6750896101079294,0.6238020957604918,0.6104683608512191,0.7021651649490103,0.3129847247176792,0.6294338172089234,0.5174205277850762,0.6008767775335906,0.5914495845413719,0.49809753876805346,0.5021715928573364,0.5729180378773467,0.27299039628184185,0.31039269858683016,0.33827841742594444,0.5208018057181144,-0.17839602217769635,0.3158466546423089,0.6310601415679521,0.386859146704384,-0.34468224645130574,0.19236331224694275,0.08838717106137761,0.34021522805281335,-0.10673408388931502,0.4477314085204463,0.21151197245794526,0.31036547541245973,-0.21363268406467859,0.4716312964277725,0.3113601346221369,0.47195909986762696,0.6487804384672118,-0.03322143407848994,-0.18572930946078078,-0.0021807058707265154,0.5003772845635209,0.11724845854226103,0.11528672705954149,0.2746936410734048,0.3453001060363843,0.11832105923829206,0.37010771256770225,-0.2173144686790213,0.6317366730001744,0.10521298713808189,0.4279678570724628,0.4049513784359911,0.11841301095844907,0.36918002044847037,-0.011475845019006304,-0.3919594061795891,0.686594793557335,0.361711986178217,0.6849937972574219,0.33998180446170695,0.2729440153758958,0.6440503700909314,0.4428826548978099,0.3304360254524742,-0.1322809254001271,0.24776723535124112,-0.19846542889268656,0.34292794249489994,0.3468964966673686,-0.039050312378557425,0.11596220203615354,-0.039697320200108605,-0.045565653245315065,-0.14795353024332306,-0.09323899939641311,0.7674906448470686,0.2172816022286409,0.28980387000159635,-0.01708867792282812,0.43918068653612446,-0.11687942284745574,-0.37473559505591253,0.04942558017940583,0.44092814554839505,0.1299848282406078,0.7253156971330339,-0.007183804824142203,0.34335977388219907,-0.1200582647524463
TPSA(NO),0.7996182669039296,0.7670589049094709,0.7211229683621403,0.9097310805281362,0.9050427514044577,1.0,0.6541324995424053,0.34235565481872965,0.9623485848881956,0.3446493777929593,0.6712116070275579,0.5152535788416771,0.6179621474207941,0.3164295286815639,0.624196465330175,0.7524637203730046,0.5760762530346503,0.7212695113601492,0.7479055158615087,0.3803054246130787,0.692998134441754,0.5179036207677282,0.6322967347252612,0.6447075367191646,0.5096654430851578,0.5543005281411411,0.639431120439713,0.33973844441272644,0.34665096317451793,0.4178843685750888,0.6088686360769482,-0.15364806570468767,0.3899998182846591,0.6522653083370826,0.41099417518905496,-0.3659194033489185,0.2430967168050762,-0.04326551269316323,0.4096957400324336,-0.02254407949748159,0.45526728441320996,0.27197086094450434,0.3818327322398625,-0.20905322889032266,0.4819844235700733,0.32634914211680993,0.48188644753526977,0.7248090046573445,0.021477759372487394,-0.16528452970496552,-0.046516877608051226,0.5115180594106198,0.05804573973354353,0.09704183212414855,0.34129665585511343,0.3559737096243749,0.1421031108063522,0.3354444579862635,-0.19427772405713337,0.6906614779187698,0.0412952040206191,0.4835988651517697,0.46756507646153206,0.1281923192632673,0.447057683750123,0.04549939616140825,-0.3833696898530917,0.7980166363750315,0.3761161124735475,0.7250345135157004,0.41571103358925404,0.33737464180104454,0.6900593399492362,0.45631335305992554,0.40798984515582765,-0.13316490558275812,0.2823873527131173,-0.17716680054739223,0.38954221726012384,0.3984428049513316,-0.057263628152154356,0.1293273520957135,0.02057869980573906,-0.013491623998186698,-0.09150733369801782,-0.04015484609594667,0.8687812825678713,0.2223821132554038,0.3503574129967629,0.00428880130978251,0.4462997475631415,-0.1351908974443548,-0.38044613567150165,0.08737477235101258,0.5324115904075402,0.23563302976584852,0.7823867481517337,-0.11612908261219161,0.4031508508257293,-0.11089447753164866
DELS,0.8800752147229337,0.49674907887044145,0.8420124263419767,0.7795242998734525,0.5657008206233427,0.6541324995424053,1.0,0.42354353901722047,0.6265399897802985,0.7616906141332672,0.7402883351136123,0.8343979023831719,0.49512946151720166,0.5961840886937084,0.7895790826078608,0.821745762964157,0.4882917458014062,0.75648406694364,0.7626710105349831,0.7150470895307162,0.35760607174729825,0.17262031943039263,0.3570602363704376,0.704508924737807,0.3878717125393516,0.6411235619559548,0.33478432572411,0.38204596308056565,0.5842041763188589,0.4904615331139994,0.3526374711757566,0.38085134425643924,0.6980359382243877,0.28094463268209113,0.6660688357699536,0.02816387168344611,0.40319701582389034,0.080414849546984,0.655725743969604,0.24918899872801464,0.2320452477152003,0.3532727869321945,0.5859623209209956,-0.39647304905574304,0.15148109621614111,0.23072920761712545,0.32647675283589456,0.760294328539525,0.5394115722041453,0.4745801176676038,0.07463047424889492,0.45153499025511673,0.22289967045143322,-0.5113480544437476,0.24300169784147996,0.041067628442865683,0.3752489865573868,0.539355797226356,0.3332037571657696,0.31409717530160614,0.1051859970911937,0.6298175123926112,0.6027385092738269,0.19742597547961913,0.7393236787796893,0.09455829453842604,0.03393244908262675,0.6511849667432884,0.30779901976975593,0.5470540465364783,0.5257546113535776,0.3922680297087001,0.6201745694214758,0.26195306937843243,0.5350657414468302,-0.007928165247232355,0.3675843895438468,0.46109619262288376,0.5491636676313053,0.5496272511153438,-0.0006824130758682696,0.010888755524059207,0.1051354610501574,0.005896145435050242,0.005812590409940212,0.0006899550761143275,0.6213201872795846,-0.1953392620539747,0.43760871480919983,0.12757178615049616,0.27221737517313854,-0.08142814419175129,0.02642638046379555,0.10421634634623413,0.7561533646346261,0.24552371420537558,0.6483314452618899,-0.0573168953483287,0.6327156940420549,0.14099224372169397
P_VSA_i_4,0.5797990738670307,0.3830697370752696,0.568497756400099,0.41560339831131393,0.31938127880041056,0.34235565481872965,0.42354353901722047,1.0,0.23800182767329697,0.5059262073638154,0.28211657959977293,0.37809948696138734,0.36553073394235364,0.2018534244468927,0.23374502131617267,0.20987761101185173,0.33749496121028977,0.051796142339408116,0.39341584776830935,0.45872442010400927,0.26726768942694595,0.4069369146379013,0.28902940076656114,0.14333661593965769,0.5749254910437396,0.14964993781827288,0.13873855114172884,0.10737564031774924,0.1578008677066645,0.028194696991634512,0.045188598157085785,0.45397876115360175,0.3161575770899163,0.40503481862765844,0.22015596429777057,-0.09523248367528071,-0.024465614466966764,-0.050079591762338255,0.22899859774166528,0.48430746714155837,0.5648105561116856,0.03817258736873653,0.12274934591663553,-0.41478286959156135,0.7469332320290216,0.28602930805190635,0.5855752661318063,0.10999183664168107,0.5803464069808324,0.5313740509639205,0.14113836964436288,0.30094935718714433,0.22607569458130097,-0.5023563504257637,0.42432393653728806,0.5263394015437051,0.41326533430970314,0.14686753710980188,0.4553509327799485,0.421586888945763,0.07327006260414137,0.19790929541453295,0.19136166665210028,-0.12399489614932432,0.3785463963251381,-0.031113366387045316,-0.14723747747997082,-0.13426120600913394,0.46888484525279844,0.009882698770398,0.13342261013315942,0.1420066238348196,-0.011256893657690939,0.5557711341257189,0.17138182047017753,-0.3012782514815407,0.15657925316421437,0.5362074378438828,0.18972005643445086,0.1858293260525745,-0.12059900622855538,-0.12173906110246986,-0.09460016682142434,0.04582634050697628,-0.29370625624369534,-0.18784206522422878,0.015043165848539047,-0.007338558208630386,0.17252945693141766,0.052691926323542235,0.5598155470510056,0.17134284523341767,-0.13351642920806517,-0.010067064839059463,0.21828975285914196,0.01706298458883475,0.1968811563162637,-0.0278813726434626,0.13045792033161827,-0.01474134751412472
P_VSA_p_2,0.7456553962982776,0.7913350628508516,0.6448873379246973,0.9473761264254162,0.8614714038642142,0.9623485848881956,0.6265399897802985,0.23800182767329697,1.0,0.36408249150581007,0.7333309176574195,0.4734283566295809,0.5066151684021993,0.26532444424412355,0.6499635447734795,0.7541391395057165,0.5122397391033237,0.8232547442294483,0.7869969700975662,0.363312134124958,0.8049363046656823,0.5833485043581207,0.7153974521087504,0.5986853564224106,0.3907795872654294,0.5007815180526854,0.7909753716830066,0.2781982797847968,0.31474208896637335,0.3730782580986209,0.7634677323736051,-0.16082971160098147,0.3582731131823332,0.72130687128525,0.34898194082030365,-0.4159911778201737,0.2123658417826765,-0.1143464094719981,0.3675510338742627,-0.013180431201488327,0.34744820660606063,0.2253609550808953,0.34250569641796064,-0.15631660134276962,0.36562615711336455,0.26624766453025334,0.35619248984027363,0.7144794825528393,-0.039661466771801976,-0.16758079694754152,-0.06502574605348616,0.47565800489494214,0.005686373301751603,0.09537284012326062,0.2192707861908313,0.263538025565546,0.1277049195265562,0.26874178698647017,-0.19452148440231104,0.7589277883530151,-0.0004223406425141542,0.4058320900200278,0.40997707736779115,0.11596194711022313,0.402943468481355,-0.014877479401899903,-0.40709567711769806,0.8116091795442659,0.2858121027496072,0.7767012889850442,0.348651785160326,0.269249262763546,0.6997533484525933,0.3398663998867644,0.3422356323531725,-0.1358128412109339,0.21864536934369486,-0.1776855670615066,0.3347887829906265,0.34091257929271507,-0.11338879545893658,0.19482060874996965,-0.014344462459048288,-0.002204698687329214,-0.0962608487881954,-0.08736221528781192,0.9442162212176687,0.2750648132900453,0.2820907112708452,-0.051511374350035236,0.33354450908752536,-0.07569435969193057,-0.4155177136488223,0.09169799312971869,0.4916558989772447,0.22295764031702622,0.7304481795026441,-0.15086227306180114,0.3635157710115665,-0.14490591712290524
ATSC1e,0.6891515642383862,0.3388632701717672,0.71675448275347,0.6067834463918697,0.302071745241,0.3446493777929593,0.7616906141332672,0.5059262073638154,0.36408249150581007,1.0,0.6618202891661791,0.7869161967749442,0.2604396008012829,0.33872244604877283,0.6969398527163292,0.5413727601040971,0.3630646532980393,0.6193294157154686,0.687510394969868,0.7498039970755099,0.31019996828400714,0.26937754213049575,0.33813883293893876,0.37376061442948577,0.14446025223249637,0.27495213705401417,0.3160565400567186,0.019085206405479456,0.27896918198209236,0.06098350081929961,0.27472633065087704,0.6436718980825135,0.41175062864024004,0.2500950118858892,0.3040317252343749,-0.07851647346069326,0.07732800068468491,-0.2372288547410227,0.30294535865156624,0.5219548790787144,0.08085697628087866,0.012728894438810043,0.22539997280657714,-0.5125599654030812,0.06896808425743327,0.07285553668393417,0.12215426286180156,0.421826147016976,0.6006745257147302,0.7568267482560501,0.2155326534320542,0.34690948954372613,0.3025395678359931,-0.7219133552315974,-0.10887856667100552,0.03152273281747298,0.6048269690484468,0.24394885732459703,0.6213068855087939,0.26635632117771024,0.07904349604142866,0.22014516085740704,0.20869772489033672,-0.03243514778022024,0.4965810746505244,-0.22091988996336795,-0.07106866183110022,0.30549216329868034,0.0845944592686567,0.4566113917879364,0.13377929059869903,0.03244971344018963,0.4135019476050505,0.075087613276564,0.18207924060353284,-0.27687833633636055,0.03179556587699219,0.7480970333771598,0.15354203653417456,0.14220087173630472,-0.17841179623542783,-0.005605103945742023,-0.12072294581806722,0.08217310278734301,-0.2914177380855952,-0.2331917263951041,0.36780226515291814,-0.025831164180154666,0.0783812579985854,-0.003039584881016301,0.09664858951530604,0.22397276207387076,-0.08566214405075893,-0.01217868681367456,0.3701584419902088,-0.017788387929621337,0.31807967945143645,-0.018353675141744887,0.261315182470873,-0.027384500047222267
