,SM1_Dzi,SM1_Dzv,FNSA2,PNSA2,SM1_Dzse,nHetero,WNSA2,TopoPSA_NO_,WNSA4,SM1_Dzp,DPSA4,BCUTi_1h,ATS0dv,PNSA4,AATS1i,ATSC1se,TopoPSA,PNSA1,AATS1are,ATSC0c,PNSA3,BCUTc_1l,RNCG,WNSA3,ATSC0se,SM1_Dzm,VSA_EState3,SM1_DzZ,SlogP_VSA10,Xc_3d,Mor21v,FNSA4,ATSC0pe,AATS1dv,ETA_dAlpha_B,BCUTZ_1l,ATS3dv,ATSC1pe,AMID_h,BCUTdv_1l,AATSC1v,ATSC1p,Mor21m,AATSC1p,AATSC1c,piPC10,Xc_3dv,ATS2dv,AATS0i,WNSA1,piPC6,AATSC1pe,AATSC0se,BCUTdv_1h,TASA,nHBDon,AATSC0p,AATS1se,ATS0m,ETA_dEpsilon_D,ATS4dv,ETA_dPsi_A,AATS1Z,nN,ATS1dv,ATSC1c,DPSA3,ETA_beta,AATSC0pe,PEOE_VSA1,PPSA3,AATS0are,AATS0Z,Xpc_5d,ATS3Z,ATS5dv,AATS0p,BCUTp_1l,AATS0d,Xpc_5dv,Xp_5d,AATSC0d,ATS6dv,ATS5Z,Mor18v,ETA_epsilon_4,EState_VSA1,fragCpx,Mor14m,BCUTc_1h,ATS1m,GGI2,TPSA,ETA_beta_s,SlogP_VSA1,SssssC,AATS0se,GGI1,SMR_VSA1,nHBAcc
SM1_Dzi,1.0,-0.940724372076118,-0.8319819770440829,-0.7468641486659026,0.9470608529464073,0.8869953570279471,-0.6220607332868521,0.5695668759727807,-0.829880518384002,-0.9326031236261898,0.7816850296817238,0.7157622128749856,0.833788800066761,-0.8126300136547162,0.47010987746293487,-0.2716205635858802,0.4554080104584043,0.6548116607577251,0.6138910558871238,0.6591611366537461,-0.6967257687356964,-0.1241749245151774,-0.45423966932682297,-0.6445881856980558,0.745914232059658,0.6204094812791708,0.2630378460716551,0.6753437758251696,0.7570632388273567,0.6367171619780037,0.09620728356618574,-0.6539713691695802,0.7321376685489692,0.6705569404358257,0.5513946658621901,-0.07960451919613744,0.6984632685467341,-0.24729346633059526,0.5120038675524865,0.2608833339297196,0.11730967113281314,-0.055414463046998805,0.05454793378822865,0.027379445976552806,-0.35489670954865066,0.22521266869977044,0.07621155121920692,0.7617743327475508,0.5611602631755238,0.554721415640091,0.20769519769798098,-0.18435884457669954,0.6512447895470632,0.5041363245984988,-0.08029122545653937,0.2727723363780258,-0.07603739293037172,0.5413872243923854,0.25333995829870715,0.099468176335099,0.6629933520257766,0.024663522028799803,-0.010255195597047042,0.49009886268680136,0.6446356980389071,-0.5179899621074334,0.6166676819149661,0.3940163913145015,0.6517422524068553,0.30673253907347686,0.26143014281086213,0.673363117394848,-0.00749422442285564,0.49591811625348453,0.49125746144545945,0.5403727949860688,-0.09269444514496988,-0.3768623811269926,0.6459981455381589,0.1400218011219098,0.26016516147222923,0.6740837304844938,0.5260281131174803,0.38064742460549034,-0.0846358054304901,0.6025101414749289,0.6917030710192412,0.20535183186552103,-0.41248202558943997,0.6503365977278056,0.3410755624371544,0.5152032592088499,0.4786899693677748,0.49891624486196223,0.35915757881507865,-0.6159001071188702,0.6277131850104143,0.6206287818928266,0.7033916290344686,0.49047237107505415
SM1_Dzv,-0.940724372076118,1.0,0.8462627556644022,0.7752864592419005,-0.9310369222250094,-0.8504450588499409,0.6526235861918789,-0.7043200333213021,0.8047848939015839,0.9579376889480941,-0.846108812492458,-0.631095022926425,-0.862035376434752,0.7608259034316343,-0.42955706424067136,0.26489550130335754,-0.5692798013734185,-0.5670851127818665,-0.561390725998141,-0.7870794878349651,0.7784104816470251,0.2516816585273727,0.45249593249679265,0.7323061320646025,-0.8353533830120091,-0.44815050100834847,-0.3749279400580915,-0.5210058380308222,-0.6209608363104432,-0.5782985157889304,-0.015547597532190234,0.5887794064782205,-0.8209916971952828,-0.6185705825039708,-0.6163227841912889,0.1555543369733418,-0.7009069744201537,0.23980350682967425,-0.4200148296598882,-0.29011681233520714,-0.13155136466945314,0.052863902534904604,0.029053405619403984,-0.04630324294900768,0.40527060289050804,-0.22878457884692305,0.019125938171301506,-0.7608977202041277,-0.47541275073311046,-0.5221596698197568,-0.2439218805506091,0.14413673065738553,-0.6234877352329016,-0.587291415089371,0.10722836585008388,-0.35910487766045207,0.12080857133598034,-0.4664289814236176,-0.12712687849385534,-0.14215673740771737,-0.6797363784715358,-0.03257822580051055,0.08702075091567449,-0.421608298637186,-0.6733886373550836,0.6343249167546363,-0.7357878413021268,-0.4157141232421054,-0.6192103506565488,-0.44750331647835023,-0.42396332687179,-0.5779621528727193,0.10735895144814064,-0.4798281994114163,-0.4746018045355923,-0.5880979966150737,0.2051061230040725,0.45877845770327635,-0.5566025902898966,-0.1299360368452399,-0.2864849512444471,-0.5638240725019162,-0.568748834737261,-0.4192127102632474,0.0838375076112425,-0.4798563069556825,-0.7487358924498275,-0.19967152378965408,0.39432265157438706,-0.6876441209959034,-0.29206486041114504,-0.5147874376902387,-0.6406794582778695,-0.5337491026730432,-0.3369644851512314,0.4989854326216179,-0.5104247421869825,-0.6034321611972189,-0.8154743431607588,-0.6134628859964093
FNSA2,-0.8319819770440829,0.8462627556644022,1.0,0.9257870640171322,-0.8818794481360258,-0.8443461699623768,0.7783053119375765,-0.6912169749847846,0.9726659691403472,0.8169830014719691,-0.9127947934162387,-0.4483694928287745,-0.8635062057308945,0.8957232391978879,-0.19569233087910928,0.39356632574336264,-0.6304564436573943,-0.8247893620380978,-0.4207514102205297,-0.8204274661459604,0.8978044176530035,0.17127670614927848,0.5421778949787751,0.8491550491378289,-0.7877120297148105,-0.5914892879063292,-0.4776744369439766,-0.6537782302244227,-0.5417711384234347,-0.6029487031649774,0.046686419377657704,0.659862207696934,-0.748746562484816,-0.5598893775998572,-0.391250401423494,0.10482813971968621,-0.7779308638532453,0.39330098765299704,-0.3666268736249252,-0.24638732959157916,-0.1989734653444256,-0.09402100103374939,0.1248961267210056,-0.04149136202803392,0.43450252786990745,-0.35754461641759316,-0.07627456001717513,-0.810905382089625,-0.23601988141095276,-0.7407809494166888,-0.41017785544299334,0.1789620336804624,-0.5849776331065916,-0.41444886306728435,0.08201429600594744,-0.4853985307954349,0.02236193532213269,-0.3602483095637922,-0.2849122517834124,-0.1865166782041623,-0.7424816969063577,-0.022155361428815426,0.03521633834516686,-0.3463207134852832,-0.7380924969762316,0.689237231538247,-0.8526742566880217,-0.583427207024642,-0.5521749683436293,-0.4570426046268989,-0.5003429488170668,-0.47346375435932314,0.03754927517465499,-0.5590044319993488,-0.5983778944385024,-0.6566040992504164,0.05247091860601402,0.3002645087207119,-0.7002761033132544,-0.19887218407588358,-0.4279097265472087,-0.6162490168827072,-0.6038214197007814,-0.492286509062856,0.2779687371282199,-0.39387047111935564,-0.7923437569606734,-0.3135594706974617,0.5057645956701934,-0.6650808322624188,-0.4362085183335329,-0.593441196182982,-0.6819695552759825,-0.6024105710434791,-0.3312285689343958,0.4434775776496247,-0.4368416188765506,-0.6299592966375395,-0.7631025045068056,-0.5695961299646322
PNSA2,-0.7468641486659026,0.7752864592419005,0.9257870640171322,1.0,-0.8022083314940899,-0.8045102747335242,0.9533293938968983,-0.7066369795763461,0.932716945076072,0.7057792814758274,-0.8496693475264473,-0.336663667325162,-0.8963766903915932,0.7099898579710704,-0.05597081201159756,0.2247401565139496,-0.6500316423030792,-0.7976665423791908,-0.23673655572533434,-0.8200040034962245,0.8099846644770712,0.26509815081759586,0.5751895041072831,0.924042431035409,-0.8105470952324109,-0.5345024694557955,-0.4521900535387556,-0.591182263128156,-0.44993079742121234,-0.6012976086155918,0.28734371217351173,0.3979875755980382,-0.8066555805104891,-0.40912789804785205,-0.21273698611531885,0.10850452941862995,-0.8416149870338783,0.2135743354858425,-0.19112274465861454,-0.1268669527566002,-0.21074261952571585,-0.103363164889053,0.315416837735243,-0.0762161699377024,0.24715852301268448,-0.543367848947398,-0.11737411057561174,-0.8587363695023225,-0.061669087940882925,-0.8849727833991925,-0.5526573437364319,0.01709521714758725,-0.36834298496216195,-0.35983676402530274,-0.19233688841788157,-0.43524273457004264,0.056660958924820114,-0.1807875540761379,-0.3442017316004229,-0.0780343261041848,-0.8420859025622833,-0.003945756372597532,0.04487479936669448,-0.4129835888123746,-0.8452779851092741,0.6789443672827116,-0.8214496785981169,-0.7418324163738185,-0.34056887155212434,-0.5118610031015866,-0.5983795554824618,-0.2583411244453074,0.05469356581695603,-0.6474718181064155,-0.7540467578365171,-0.8261074154781064,0.054316309839613316,0.2557199790949525,-0.6136588028233207,-0.31928743055094577,-0.6289196750485054,-0.4763791429785093,-0.7780249557249796,-0.727654601169423,0.4458632187740132,-0.19236527116542876,-0.7179427302394868,-0.5001853431806393,0.4511155442015116,-0.5668934289624252,-0.5972620519504955,-0.6737633946119889,-0.6246980193168665,-0.792844632056017,-0.3932949755054989,0.30586089329905775,-0.22764689050505468,-0.6862273993795631,-0.6903885969850999,-0.6648692121181392
SM1_Dzse,0.9470608529464073,-0.9310369222250094,-0.8818794481360258,-0.8022083314940899,1.0,0.9386255191473212,-0.671528976279071,0.635220878070923,-0.8835995937241883,-0.9280582944783083,0.8571856245996992,0.6042052611313976,0.8374748702186625,-0.8488193409150684,0.3627459957464307,-0.3125384065779273,0.5637822012867048,0.7007482365766723,0.5879272351786039,0.7572813483891069,-0.7995404097258925,-0.18259868336100454,-0.47151994234136835,-0.7452683331972151,0.847048582888087,0.7125365384115668,0.34255251090011807,0.7793022884572753,0.6242150015897961,0.6283042598874872,0.057889895122101145,-0.6646179719437292,0.8064864597173197,0.6099453757724794,0.523821519639512,-0.05665769558027705,0.677533574192288,-0.2833862613836531,0.5597476666746467,0.1766396610870564,0.12612349264164424,-0.05778850886076772,-0.007709968288472432,0.020437295270824947,-0.4105927647528352,0.2080676549621435,0.10677603711556494,0.7421412456932268,0.44736344912846676,0.6009446175430676,0.19315152666380703,-0.19502030133374723,0.6914862162999114,0.5083623561577486,-0.10797988045041468,0.31107579823235654,-0.03872814497367561,0.5525392758770441,0.3135898453299716,0.10158767116140534,0.660771051233148,0.02530724140620044,0.019081686321116672,0.3328659405931523,0.6270367394367808,-0.6063625657296052,0.7128065203891716,0.3862666126540393,0.667865741759611,0.39097495152375067,0.31448188662878873,0.6471360884284343,0.02076860682926695,0.47133227390457866,0.5067202044208539,0.564384115753883,-0.04175269748669394,-0.3686780543079847,0.6370296576374347,0.12980574322333802,0.25035359285488157,0.6662431089259553,0.5445377600937016,0.4076402002930537,-0.04424770150320154,0.6076964577821102,0.7773057006040003,0.17775636907132492,-0.39321836119713244,0.6955246514215337,0.407178130001303,0.5028492019834293,0.592844274304243,0.5040485093292073,0.2711770114084336,-0.5340972285556163,0.6301368638216944,0.6222472487152894,0.8349198266395003,0.5910297441875049
nHetero,0.8869953570279471,-0.8504450588499409,-0.8443461699623768,-0.8045102747335242,0.9386255191473212,1.0,-0.7017131503294892,0.717563315206435,-0.8665664344961739,-0.7820475795670965,0.832885814950663,0.5204595154002039,0.7826608200128727,-0.7969242077772029,0.29317766446975363,-0.2744110626178567,0.7245408801649269,0.7185396162890524,0.5097977820040149,0.7115450856854183,-0.7564807919301788,-0.14703408307241414,-0.4861569561793554,-0.7349638498937532,0.760445097712992,0.750858231477225,0.34138401767395726,0.8370032732549172,0.5619217521732589,0.6001317584012764,0.057746788252700895,-0.5988950522442318,0.7235054782498131,0.5179581088435238,0.38731961401075066,-3.711342053320339e-05,0.6424208961260138,-0.26293793660768106,0.6367148626092184,0.08983327671207642,0.10380995535472269,-0.05795460286789617,-0.04487736062718329,-0.022989999875077896,-0.4059989984357937,0.2715780730719006,0.19536549380227552,0.7177929074301668,0.2984339829749693,0.6429694477416171,0.24927919329718937,-0.1883896343422882,0.5787362253321379,0.3699434635284513,-0.08681762210520763,0.3663776822149632,0.05013938551655303,0.5062983978926999,0.4094063384842356,0.13674401846401243,0.6468531127195893,0.04481234062801783,0.07799462469232883,0.549136423595143,0.6135300217080567,-0.6126807785716291,0.6980789441944821,0.45778421093646515,0.5484487778520291,0.3761724824074082,0.3641914700790943,0.5445107208677434,0.08402297756581933,0.4685263544637403,0.5229133445858635,0.5853503967836925,0.07781972031398766,-0.23356352169866057,0.6321253524691901,0.17579508722349035,0.3083065013646093,0.6134844412214169,0.5777514249771324,0.45023130646660564,-0.10204486998028403,0.5466910767979201,0.7404866528438833,0.23187230432686878,-0.39513360842383577,0.6288666796239023,0.5235883776114731,0.48066818989079735,0.5830612125426842,0.5358040552493707,0.40844287262631684,-0.3750047518148188,0.5531475179199771,0.6062907843094137,0.6704931451276908,0.7091940045220246
WNSA2,-0.6220607332868521,0.6526235861918789,0.7783053119375765,0.9533293938968983,-0.671528976279071,-0.7017131503294892,1.0,-0.6377175174523878,0.8168085376027833,0.5640662554943915,-0.726481014694754,-0.24326387334691899,-0.82645981670177,0.523515711498293,0.015424083635323051,0.10280706663441809,-0.5903083290255347,-0.6994769867622063,-0.1150887491815534,-0.7331564998899311,0.6641797794044584,0.2834728815799672,0.5276900877528928,0.878585941801126,-0.7398293146144561,-0.4470843166146957,-0.37913067555163704,-0.49551149878903833,-0.34982903188454384,-0.5417002425216234,0.41604410487848187,0.20818444177209305,-0.7615920750013788,-0.27574889461444,-0.09376087458566974,0.09325313346404834,-0.793301523883831,0.08094558094393996,-0.08053191433022537,-0.050455852212715424,-0.18285732525117504,-0.08260583068320224,0.4050053989422791,-0.07741494389147537,0.12261506739719329,-0.6129866457074858,-0.13381333088307176,-0.8036970664412364,0.03221989726914491,-0.9001721532571203,-0.5649602639479272,-0.05920054846993304,-0.20552051583378775,-0.2853433622023246,-0.35600174733454054,-0.35317546705153785,0.06301028724287255,-0.06906109987810811,-0.35220873793014784,-0.016316090804692616,-0.8187446122660205,0.0057991309408645395,0.04342231670774293,-0.42408652415551695,-0.8279750464348273,0.5994205575051081,-0.7137384193086097,-0.7664887103284111,-0.1857777581231548,-0.49477957899396785,-0.603777647309638,-0.11496383333864953,0.05577602955217789,-0.6357081454148079,-0.7771443602837176,-0.8564998913630959,0.04708687888292551,0.19984849003040964,-0.4850555564243516,-0.36750637588995594,-0.6996087185104554,-0.3369082852020198,-0.8218246021606795,-0.8129753533001441,0.5094404113154339,-0.06501502396309561,-0.5888543720029777,-0.6066755084832041,0.3660030730125112,-0.44136814885810416,-0.6458428257852795,-0.6515760862539326,-0.5135811834417531,-0.8389260909518733,-0.3972188694562522,0.1828889692397981,-0.09102261348186433,-0.65270787978475,-0.5704484110642724,-0.6594399167059407
TopoPSA_NO_,0.5695668759727807,-0.7043200333213021,-0.6912169749847846,-0.7066369795763461,0.635220878070923,0.717563315206435,-0.6377175174523878,1.0,-0.6305261929209757,-0.5193908772013652,0.770110884626947,0.27422226752994894,0.6057816312223203,-0.49359479775871345,0.1925495794563218,-0.22825432181533295,0.9028995706610662,0.4009638757776576,0.2627832130225878,0.7897785480357867,-0.7718100604806839,-0.2733196571297789,-0.3569396329311371,-0.7725664103680161,0.6742417839065733,0.27659578855122485,0.61440306378862,0.34251634323763647,0.13536428891720198,0.3331880330042137,-0.08912812075682337,-0.29292428339300514,0.6532388095250934,0.27213388694563717,0.3686596835052932,-0.1073267577178848,0.47449188678473614,-0.2584979608639012,0.33085081340413863,0.18830081006111876,0.1969480002982927,0.08365667498543818,-0.19531579861175313,0.0771765474879296,-0.41058729232382135,0.2672311639969497,0.02564261627524591,0.519863742640461,-0.04680980254918996,0.4690218757012602,0.34317259366658603,-0.04009080804586324,0.2930222563367534,0.3776083241382639,-0.16462846883769208,0.6664954217716408,-0.13510615233439033,0.22694725990043457,0.11130787506862973,0.37296505299431937,0.5077333996924881,0.018141863917716435,-0.06090252969982709,0.576789809595379,0.5450216652498431,-0.7580793213513226,0.8290584409067091,0.48563124264800006,0.2618130227585018,0.6421465860756429,0.7006586109572075,0.13904366324788153,-0.09277932040998584,0.34389929020082577,0.38510261091506215,0.5409227996121772,-0.13266329405125282,-0.3083264077370756,0.3153584732139519,0.14427011961016856,0.34497469222143595,0.21375990192464045,0.5267753795523301,0.4450519898418751,-0.16707827098400913,0.11782718938195762,0.6662814652699341,0.20237340938365958,-0.2795601842212657,0.4826900091251394,0.32173485779853866,0.38759122326377665,0.8289860487692259,0.5005070949058388,0.4731105433386585,0.09882922099982373,0.12638319426228103,0.44346251523050245,0.5522576431560059,0.8322109729087502
WNSA4,-0.829880518384002,0.8047848939015839,0.9726659691403472,0.932716945076072,-0.8835995937241883,-0.8665664344961739,0.8168085376027833,-0.6305261929209757,1.0,0.7825340796523739,-0.8891943557130169,-0.45019405553110753,-0.855056350748163,0.9051005519445379,-0.17348102360386825,0.35501424604215526,-0.5902492686969951,-0.8776852244161752,-0.42403851437841367,-0.7593462384548472,0.847556186664007,0.151221202404243,0.5402037315101733,0.8397694732699235,-0.7550444990315599,-0.6633150794903389,-0.3881743907704611,-0.7301308429989646,-0.5650689697801093,-0.6138301936318548,0.06879794572070165,0.6644669191245068,-0.7156828784263392,-0.5547409038446683,-0.3225678944957489,0.0643373541025877,-0.7604734778881942,0.34989108389136314,-0.4033871905141432,-0.18853033028158936,-0.15059292496982032,-0.036911328168734533,0.13265554800988194,0.009920663015829721,0.4072569811411287,-0.39336526767895413,-0.1266577222373999,-0.8069519860528681,-0.24203101556797976,-0.8049160627082178,-0.39531057372705575,0.20013281584554024,-0.5737497142017042,-0.37604127962313477,0.005946306177703394,-0.3849588621924829,-0.037986040711819435,-0.38251846296752096,-0.35764496149374864,-0.11408694545935277,-0.737433716107694,-0.023500619863369855,-0.00025150370795995106,-0.35484223403380777,-0.7292291898101886,0.6308046494091782,-0.7957814137454873,-0.5987938390041421,-0.5358830288913651,-0.3814922440830644,-0.44650925060584506,-0.5010223985655784,-0.007897640453713918,-0.5416111654908827,-0.6151026114461944,-0.6680030340591993,-0.02066266931562239,0.255677205405227,-0.7184108340762456,-0.19776728466496754,-0.4375794500699133,-0.6347438649465489,-0.6273710496360257,-0.5145792314215536,0.29539161516760937,-0.44272553796906366,-0.7522068037843551,-0.3456201146051701,0.4955137022514101,-0.6502145819739593,-0.4992711453114656,-0.5688806606339406,-0.6009919074759998,-0.6152721136230153,-0.31763463957631866,0.4380577055210598,-0.4809415611566339,-0.6272372418122969,-0.7188571223434264,-0.5505312805750082
SM1_Dzp,-0.9326031236261898,0.9579376889480941,0.8169830014719691,0.7057792814758274,-0.9280582944783083,-0.7820475795670965,0.5640662554943915,-0.5193908772013652,0.7825340796523739,1.0,-0.7841497964673547,-0.6524639212974586,-0.823436284272349,0.7926182829965932,-0.4383962172175037,0.3084743179975524,-0.38907261618228056,-0.5666251543262455,-0.6008081020525619,-0.712031671623999,0.731781656232835,0.17559403478624036,0.4187861141299096,0.6517935219067722,-0.8040436836737681,-0.5226888454130614,-0.29600882795819744,-0.5652701073224032,-0.6933526239180587,-0.5907738213472318,-0.07032742424098906,0.6574917020158402,-0.7819441249089255,-0.6522733081787087,-0.6444419338263934,0.1189240827911636,-0.669256139541217,0.2780359561771072,-0.4190179558828579,-0.29829056296500106,-0.07795405597218559,0.08904199351292369,-0.04836463306226082,-0.0035376166693597407,0.3973003212260407,-0.1457619434601916,0.018640817936932324,-0.7209647263044312,-0.5979688052271787,-0.4638088155879249,-0.1353710518450632,0.2098806099371603,-0.7043254082499821,-0.5771212955617622,0.12466870372421236,-0.25064844884205034,0.0690888000568051,-0.5078135640734589,-0.13666913767440816,-0.07933354976816699,-0.6336229965303242,-0.04858351319589525,0.05839232663865109,-0.22005030469851947,-0.594404752673025,0.5364193685241296,-0.6467505933758876,-0.29373360808907006,-0.7021369066856382,-0.34830575881738546,-0.2719227087255836,-0.680520748474791,0.0672154836410595,-0.4416318019716579,-0.4193369071504599,-0.5062145631562432,0.17019920920160164,0.44004866954938626,-0.557697588261769,-0.08243466175921263,-0.183776198393593,-0.6257596899623792,-0.4846066672136612,-0.3217653573937447,0.0007240478376305555,-0.5696941785803269,-0.7220866119490498,-0.1273399349588589,0.3672922316033248,-0.6779644245882922,-0.23415858849826363,-0.4766735347610331,-0.5354802343935433,-0.4311670718409578,-0.1929538081901812,0.6582283409062194,-0.6085561716226241,-0.5713373796789343,-0.8597002992223811,-0.43895714902518934
