,nHAcc,DELS,nHet,P_VSA_v_2,piPC10,T(N..N),SHED_DA,TPSA(NO),ESOL,P_VSA_LogP_5,MATS1p,ATS2m,F03{C-N},MATS6e,ATSC1e,MATS2m,nC,C-001,PW5,piPC06,T(N..O),SpMax1_Bh(m),MDEC-12,SIC5,SpMax4_Bh(m),MATS6v,RBF,O%,Hy,P_VSA_charge_2,SpMin2_Bh(m),P_VSA_s_5,LOGP99,P_VSA_LogP_8,AMW,P_VSA_charge_1,GATS1m,ATS3m,SIC0,GATS2i,minsCl,minssO,MLOGP2,MDEC-13,DLS_cons,LOGPcons,B02{O-O},F02{C-O},GATS2p,BIC2,MDEO-12,AAC,JGI7,P_VSA_i_2,MATS4e,SpMin4_Bh(m),Mi,P_VSA_charge_14,N%,piID,ATSC8i,MATS2p,CATS2D_06_AA,GATS1e,MW,P_VSA_charge_3,JGI2,ATSC1i,LLS_02,SPI,MATS7p,P_VSA_charge_7,Mv,CIC3,MPC05,HVcpx,piPC03,MeanDD,GATS3i,DECC,PHI,MATS6p,C-003,CATS2D_05_AA,ATS6m,nN,B01{C-Cl},NNRS,CATS2D_02_AL,ICR,MATS8m,nHDon,QEDu,GATS3p,B04{C-N},GATS6e,SpMin1_Bh(p),P_VSA_charge_6,minsOH,GATS5i
nHAcc,1.0,0.8800752147229337,0.9148331642284573,0.8682668947216676,0.28488062522558244,0.3683044238401417,0.6467551786775831,0.7996182669039296,0.08815034922202843,0.48970614007275737,-0.016538114282297303,0.458014096529119,0.4815129949602811,-0.01812616378121696,0.6891515642383862,0.1911936138841733,0.1211235941347219,-0.206331675675734,0.24491584901331803,0.29245474606632876,0.5658229230317929,0.06035654489728429,-0.22819371754296383,0.09375699727840932,0.24735665176151064,-0.12751308363781721,0.10705128281852251,0.3908897292555528,0.36237429397703164,0.24414162904816902,-0.037726212514254016,0.17279768849810148,-0.25724423004355146,0.246382893905281,0.07144132617006366,0.41735738333536176,-0.26786768218189383,0.42790100980418655,0.23317849466393362,0.03662105481429842,0.11143662543013488,0.23201339653691755,-0.12076228361866083,0.004726749407439043,0.08855174658574384,-0.26533553794048254,0.4161873244426057,0.4921092430233664,-0.025382161384104138,0.1834264696771418,0.38688188962299497,0.5877840425321248,0.22257905925692245,0.041109035599877795,0.0508347499539746,0.03738864973702823,0.3531275324639162,0.42227700411642605,0.2718421329615947,0.34503790367023157,0.23206218651325553,0.09856011237201438,0.4402036032501237,-0.005691481461690075,0.5183714578947185,0.5341371515780009,0.2999110764078371,0.4276230197766408,0.11918424649307424,0.6128224921149609,0.054507143360504995,0.07927070902689677,0.19004186218672914,-0.06045751898851761,0.3053507670099818,0.25183564417303383,0.352091159784272,0.22669990518066138,0.057226565437344,0.21648411109777915,0.030581891975270937,-0.10766536410909307,-0.11312144747230143,0.4571852492072093,0.3794692727732272,0.5328570782247622,0.1675146350955914,0.15103133675302546,0.343710249398075,0.23510563372425636,-0.07087138568848236,0.4772883975288231,0.34624442511797765,0.025817159172060525,0.422447292651193,0.09814227471804975,0.1743788887172632,-0.17575362624962926,0.14161138171299983,0.06141791287505573
DELS,0.8800752147229337,1.0,0.8420124263419767,0.7795242998734522,0.35750627373357746,0.21558166528659198,0.49674907887044134,0.6541324995424053,-0.1953392620539747,0.5394115722041453,0.12915993828660138,0.5961840886937084,0.32647675283589456,0.0060334619133344996,0.7616906141332672,0.20770808636984084,0.2983570869995398,-0.08178989992846619,0.3436106460488512,0.38204596308056565,0.49512946151720166,0.1051859970911937,-0.08141673163810353,0.16474970655359447,0.40319701582389034,-0.1341459472931727,0.10002057963235117,0.2401914179286724,0.17262031943039263,0.21198870298632203,0.08412466315523774,0.0944879578558961,0.02816387168344611,0.36005904050194265,0.07463047424889492,0.3526374711757566,-0.24918732906999652,0.5842041763188589,0.08137046556503118,0.08136620022981851,0.19424053381002854,0.1835033649172192,0.07926532210258513,0.1051354610501574,0.10668393421321219,0.02642638046379555,0.3675200363106745,0.5481310779645547,0.010888755524059207,0.17326195042744347,0.3518359859386317,0.4882917458014062,0.2681235546048084,0.1749508239969944,0.05150521577081138,0.1499807276307092,0.24918899872801464,0.42343151443294647,0.041067628442865683,0.43760871480919983,0.3398517945562976,0.12757178615049616,0.4848503062262765,-0.08142814419175129,0.6660688357699536,0.45153499025511673,0.4140387576117872,0.592620786305494,-0.02477241177507056,0.7561533646346261,0.027822893016882757,0.1242344987484536,0.22289967045143322,-0.003928447370020522,0.4085700740278377,0.33996299544958863,0.4557534542594156,0.339814961441978,0.16292903436697556,0.28484079157650816,0.112486693353843,-0.11023912512049829,0.030955733097415034,0.5021991392027141,0.4865771714597485,0.2930683747217129,0.25715567248167087,0.1731434845985744,0.4013426470314814,0.3203032957662639,-0.06372920954596539,0.31409717530160614,0.33412649051829235,0.13390594345809465,0.32092851240837983,0.1494148972838632,0.24552371420537558,0.03771490295860542,0.17385165894475293,0.1343194052720933
nHet,0.9148331642284573,0.8420124263419767,1.0,0.7685626743449104,0.2660920991837209,0.3671550737983426,0.5736536253406782,0.7211229683621403,0.01872158568475142,0.46429718403230064,-0.023848204709199784,0.5056068318643141,0.49002625670609123,0.036178005310952985,0.71675448275347,0.1479747386124884,0.008229938250944216,-0.2987179421867932,0.17661175673402207,0.2413699453837731,0.6016326641940218,0.23453932060626284,-0.3253043199727173,-0.030848231355543262,0.1955236063614778,-0.12083346044616029,0.025814365142201104,0.36392764143393563,0.3372003423333258,0.13848641004290496,-0.19388847040390114,0.2399405127272713,-0.1830107130716706,0.42669577924347946,0.2772021470652979,0.2919398499920547,-0.34476498355758295,0.36854245194016455,0.3723983357312271,-0.08584720786943054,0.33868060731936483,0.13699118903836963,-0.1090474486601816,-0.06038557409650934,-0.041301681225387354,-0.21886382312331945,0.3577925733748398,0.36236392974824905,-0.15111260453682737,0.1160429071552687,0.3159762706275094,0.6420944487358645,0.1758981249531108,-0.024212925184189694,0.029711403826970805,-0.10725330191438702,0.2863720650155073,0.3575298330225072,0.29617867740318116,0.29486211148390573,0.17364417722998574,0.13571485946545217,0.4742595511426439,0.06386361115507524,0.5504262076774561,0.5270582783204609,0.23916623908644347,0.34362279714418287,0.007761638842316391,0.545926527764483,0.038137094336237166,0.15748664320699504,0.4268943508092722,-0.10121946794210782,0.2290853824514018,0.14326224898166887,0.266856958097929,0.17120609427789155,-0.0024177189911771635,0.1232123987705403,0.008622446294209055,-0.11413798403450497,-0.16580928224947603,0.4821317172221502,0.31406339917751114,0.549136423595143,0.327429964762882,0.1355935435676954,0.2353748510897189,0.1300303033176992,-0.11382763534826185,0.3841827010567695,0.2778556090460754,-0.012148067170571647,0.4340639122120525,0.017292439883850097,-0.023032431450406704,-0.06510397198735031,0.06106414313324561,-0.01619079491839649
P_VSA_v_2,0.8682668947216676,0.7795242998734522,0.7685626743449104,1.0,0.18334626601783396,0.2914508922159877,0.7682526017230492,0.9097310805281362,0.2354735257507198,0.21030407533490494,0.16182345895450848,0.3178855763234448,0.34500420852111197,-0.0022939579958421255,0.6067834463918697,0.11087987250984373,0.06024856972969542,-0.2122571310378005,0.1874088698125467,0.22523918550688046,0.4986777827104535,0.007580409157946257,-0.26599417130010433,0.12036171644621223,0.18099503131430747,-0.05397993564004146,0.13270700554921516,0.4924948416885554,0.5768507862767137,0.18219891623243506,-0.01871111606771567,0.1285235048958593,-0.3845436137106642,0.2332701573073868,0.010549807733342041,0.721995546526713,-0.22148520037895764,0.34029755083196006,0.2150114594218667,0.2131169380675809,0.016454360570439485,0.05659720985329528,-0.1388769001011926,-0.053965275473451244,0.05643101064194971,-0.38750474241477595,0.3745466555589317,0.5488794252590605,0.16150358106226675,0.21534641773009958,0.29252019074454527,0.530006485137161,0.15344204958998656,-0.07463411589743567,0.04023895906653105,0.012803424655355587,0.2206263849822512,0.21535746241238532,0.2502510462827271,0.2548892785340973,0.13474396830344973,-0.05375073331024925,0.4872141666657179,0.012365971725384282,0.37525515327101866,0.4929114547592912,0.31508754811163187,0.2192243112784216,0.1975366896965779,0.5285736978698501,0.11583420142267253,0.002994862795952914,0.0875040306304344,-0.09382160232568601,0.2355022042202095,0.19034221957712255,0.27244679085477086,0.14538589485450976,0.08381738743875997,0.15793987937914336,0.016424240560393568,-0.01567052598443051,-0.08977727066600456,0.5061044687407662,0.29522165003126283,0.41898047344245726,0.05535925009247093,0.10025367836473624,0.27434067853232297,0.17609729788294468,0.002088551147434366,0.7258489368311767,0.277955774767863,0.056934041404606915,0.3476937562614916,0.12405094405748207,0.19035261610109155,-0.19870146856053206,0.45475571821030464,0.0022364460576571885
piPC10,0.28488062522558244,0.35750627373357746,0.2660920991837209,0.18334626601783396,1.0,0.29045867084681043,0.2677367440512289,0.26339679493116686,-0.5934062510927245,0.2055183060387718,0.1940682777747917,0.5177018334836255,0.421723533347108,-0.08109931291485352,0.03907306699635993,0.12827900235767492,0.7177259945680986,-0.06148585940183599,0.6035655192267415,0.6567735340127723,0.2997901181010553,0.12358400214686414,0.12530150225454698,0.31486114723346625,0.44234748110208066,-0.19117720300411167,-0.04973390669594509,-0.09088092950283977,-0.03163092422244266,0.06763838997732328,0.3348033872929159,0.07879284853249403,0.4311639956107424,0.13078847228417936,-0.046163140290286925,0.08030012995052539,-0.26036578802379806,0.5203309994748393,-0.1948326096775109,-0.08421384200230796,0.11269322341790365,0.1700943441452063,0.44169302687297934,0.16291295194756075,-0.06083857830887466,0.4278206471634601,0.09664246970761843,0.24552459773590135,-0.13138954847851747,-0.02454753099229046,0.10942220730678535,0.15108091806853052,0.46515306049150745,0.6811282187088624,0.05035716476929515,0.41267553722344963,-0.22164818002245965,0.03400705282978548,0.0527925268908958,0.7752960951978369,0.6700752722929847,0.19188294688234217,0.1179297442419744,-0.16825614802422814,0.7149323669575274,0.2178970743732837,0.027026048300617195,0.5007816000853759,-0.14114175894147948,0.4561857620401509,-0.10106710348798131,0.3942873423086342,0.1493253698818571,0.042131987290414195,0.6379645887324273,0.4859322923397756,0.5807289053890705,0.7900788641490298,0.1353761397853723,0.4378374016109513,0.12433536538707426,-0.1834523332763494,0.0990113083737425,0.12144163864214662,0.6610391375852953,0.33063016297795156,0.12190892798029013,0.31058321282351714,0.37117311195602143,0.4600780893151041,-0.09002115181775038,0.13494241512488256,0.3984286435282969,0.09172548245683516,0.36607907220517955,0.21994758817299087,0.3107489151576132,0.42627206763988074,-0.04161269735216996,0.3085801080089169
T(N..N),0.3683044238401417,0.21558166528659198,0.3671550737983426,0.2914508922159877,0.29045867084681043,1.0,0.39461854596770746,0.3928899973685644,-0.10331567614071674,0.10391216244624425,0.06661079643700162,0.20090500086094065,0.6771106904807858,0.0038492557348000452,0.10082999655149918,0.11662624915696496,0.1780012437141186,-0.05333247171285467,0.17943716472562504,0.23667343803789215,0.4180896836057289,0.06621028081333716,-0.05386596193339904,0.087166475891522,0.14264748367346994,-0.025297341708879578,-0.034181779529296304,-0.031543850389735326,0.24621869840843805,-0.01459031992399931,0.07722015437640863,0.11420603258259586,0.021396262947311347,0.13778608090001443,0.00401163778623912,0.1328710166740153,-0.12827225567041872,0.19085320833380587,0.027261976501065585,-0.012482066929464044,0.05267626605892295,-0.01680638707529166,-0.022115492499732794,0.020778425524872687,-0.09337967061926689,-0.0025377715418458645,0.01746023606705038,0.006176442679617795,-0.062329898896331365,0.013415647257661562,-0.03600127734067008,0.21535828978092153,0.13352086653769688,0.1596438175340279,0.017358479391898222,0.10268666020575772,0.0018129701330629859,-0.05241207457044202,0.2744599019543675,0.2982758796564932,0.23913851389995391,0.10464611074251663,0.17867801187706286,-0.022754813724610346,0.30902016922211784,0.15144605575401304,0.03295110915976652,0.2534824124484438,-0.004956581579339506,0.261933295993644,-0.04699308282482598,0.21638880733188864,0.06742583650542668,0.011562096263518798,0.21873642111090735,0.17492126637033395,0.21629559218571126,0.22098275136628118,0.12020887287302459,0.1918478599151826,0.016795010413204903,-0.012208038672701295,-0.04315007018262762,0.21014841198691256,0.22895725966985775,0.6693301271096967,0.053806524613991755,0.14685253114394886,0.1357669245047477,0.1631893312445384,-0.03152894026791932,0.3411879728852085,0.08540909431352064,0.07392569150554743,0.34833604276261787,0.05224625876415481,0.09204053210320999,-0.018640013967168793,-0.07266212990525382,0.08288269868673531
SHED_DA,0.6467551786775831,0.49674907887044134,0.5736536253406782,0.7682526017230492,0.2677367440512289,0.39461854596770746,1.0,0.7670589049094709,0.167509552612685,-0.0059709543397357305,0.20012444747913477,0.2880206431327413,0.4278955981847259,-0.020508465137234335,0.3388632701717672,0.11024280717519108,0.131146646948708,-0.20876021869575043,0.253396770217999,0.29029626604018877,0.4904362839079147,0.0833129238154896,-0.20674463549028008,0.22386566569306732,0.18260259864915399,-0.04537183383854176,0.041262883976338524,0.2786151751712113,0.5637849403914044,0.1295387158406288,0.07023460867751347,0.22138305458448385,-0.32644489786853004,0.04146545083069493,-0.0030472503423871304,0.6589865558727904,-0.2340714926740117,0.29847004797864424,0.15300020213630394,0.14601954193024042,0.00251469508297803,0.06913448590654733,-0.14726052731266345,-0.04224573703204318,0.03533171405290514,-0.3278782116774084,0.2154019801727395,0.4185830942306376,0.09548042521057203,0.22944535698079155,0.18463138303587728,0.474225354203908,0.2192150825817236,0.023180328847616085,0.025189387680809593,0.08030303949454529,-0.0034900620374291873,-0.014133201283024466,0.24685178205278124,0.30737513631531405,0.18819871348728728,-0.001099599354592521,0.25678756227035526,0.0015733304693588074,0.3550077114934015,0.4657160830565689,0.18540843923663178,0.16469773266309468,0.16721075330116042,0.3992882591312149,0.08501911837916647,0.11253369144101015,0.07457843008929635,-0.1755311724959426,0.2951339303195767,0.2195839937643704,0.290098130273855,0.22582071727943231,0.11397453791226249,0.19967577676175735,0.003467508711981321,-0.009385216481071844,-0.0788270887414172,0.2869217565272353,0.2954744468793276,0.4952631667469489,0.01498426404732512,0.21290238284317028,0.19882994031271337,0.20657877256658952,0.009794125269404905,0.7675478094982653,0.297011847457633,0.09638965426900882,0.43322995898093447,0.1354943512642022,0.14152998245670736,-0.13495660639806017,0.4001803928037279,0.0781072466848543
TPSA(NO),0.7996182669039296,0.6541324995424053,0.7211229683621403,0.9097310805281362,0.26339679493116686,0.3928899973685644,0.7670589049094709,1.0,0.2223821132554038,0.021477759372487394,0.16614403935288852,0.3164295286815639,0.48188644753526977,0.0030263441834575532,0.3446493777929593,0.17452665522952068,0.149784502018559,-0.14488485417400593,0.3048094949837959,0.33973844441272644,0.6179621474207941,0.0412952040206191,-0.19922014323990989,0.24448000002320064,0.2430967168050762,-0.07539914274923003,0.18962651190800528,0.5149622319988216,0.5179036207677282,0.2613957492140718,0.10992342101853186,0.182205426374083,-0.3659194033489185,0.2873785172768569,-0.046516877608051226,0.6088686360769482,-0.3118754831782529,0.34665096317451793,0.1774410947050078,0.185060397991774,-0.0352871656882474,0.14757288178482816,-0.1701538051980717,0.02057869980573906,0.09668870249849207,-0.38044613567150165,0.45430773190944723,0.560203923472774,0.1293273520957135,0.22470830448767076,0.3472420873600522,0.5760762530346503,0.22209087570370656,0.04774466498429181,-0.014973925786519085,0.13911907367590703,-0.02254407949748159,0.14663900801353985,0.3559737096243749,0.3503574129967629,0.20200233432319917,0.00428880130978251,0.5347393584684904,-0.1351908974443548,0.41099417518905496,0.5115180594106198,0.220320025742611,0.13553004592517437,0.30708130573099024,0.5324115904075402,0.10279291441160888,0.05875209596503691,0.05804573973354353,-0.10346785324256155,0.3448571232263184,0.27623377985774383,0.3478411952143815,0.23364792993246866,0.13321367543570248,0.22570057663216272,0.04682407515550882,-0.04047321516195714,-0.07886829912142769,0.5549506048545191,0.388703060658835,0.5769119798031728,-0.03457544740806903,0.19064268075745536,0.3713686391590814,0.25028274004233997,-0.03127920893514762,0.6906614779187698,0.392548774922849,0.09205878148904859,0.4736971669996891,0.17357844672233766,0.23563302976584852,-0.18766082682969448,0.3185734166729658,0.11226747287569763
ESOL,0.08815034922202843,-0.1953392620539747,0.01872158568475142,0.2354735257507198,-0.5934062510927245,-0.10331567614071674,0.167509552612685,0.2223821132554038,1.0,-0.28600035058123613,-0.3163226290054935,-0.6322029351224256,-0.17021650971555366,0.030170682354012757,-0.025831164180154628,-0.14716640520464894,-0.7758539977691381,-0.2352160981202238,-0.6041667861313038,-0.6341268870373459,-0.04330919299715982,-0.20648835491420375,-0.4417438787107167,-0.4011699126339534,-0.6398057698904235,0.12356947215763082,0.03395752105312547,0.46480595221794596,0.4778723764396823,0.10939689899404197,-0.4358047187960558,-0.022362833218115205,-0.9312588172949695,-0.23193879971370573,-2.922838135207581e-05,0.27472128466686535,0.1001944499240414,-0.6111010606785571,0.44191934323474574,0.05490962044374303,-0.2246747304992232,-0.09941386368976676,-0.7104150804094232,-0.2996318206902167,0.0838273985194721,-0.940956324896107,0.07294216709507023,0.0008091032601079921,0.11952069117913626,0.13335977875991492,0.049165139240628736,0.12079688282615215,-0.3858898964872593,-0.7128967900772689,-0.03325480171248178,-0.5624400658838303,0.23976958979398727,-0.02110017771278615,0.2302962068302392,-0.6776851038540511,-0.6080573712302774,-0.26350169644691157,-0.00805021501782472,0.17560234442975875,-0.7031488899467784,0.05259834086694918,-0.08154627322176129,-0.6734933948015109,0.39108032294128964,-0.47733668305465676,0.15185884989420087,-0.4201814297013495,-0.16317611933515289,-0.22144249916686115,-0.6369876502590667,-0.5642586015482413,-0.605593948739883,-0.6958860009982148,-0.28772300372507165,-0.5107292381484175,-0.30526930045994416,0.12946469800083485,-0.2676637528229562,-0.004472673112842963,-0.6063131902987061,0.0035932766431727324,-0.2605843814528285,-0.3560071139185547,-0.25845337947038,-0.5203846453261904,0.04275793672733002,0.2995527895634575,-0.2398444185264057,-0.251870839380218,-0.15629318887484342,-0.2340285241734082,-0.34941521545685006,-0.6334847629270176,0.15373268972072443,-0.42943131534853396
P_VSA_LogP_5,0.48970614007275737,0.5394115722041453,0.46429718403230064,0.21030407533490494,0.2055183060387718,0.10391216244624425,-0.0059709543397357305,0.021477759372487394,-0.28600035058123613,1.0,-0.07877391176865596,0.3315207004388356,0.15416499775832487,-0.032872188747751455,0.6006745257147302,0.09129570675030405,0.1014995127971298,-0.14568681243215933,0.10338432842691095,0.1708648775319606,0.09728694838529002,0.030361028829717248,-0.0823056479346796,-0.09734654548733629,0.11716116211171311,-0.15617057428051534,-0.1420284109384057,-0.1168596387412807,-0.10638495542121823,-0.0684146714959105,-0.1633770197791158,0.039618269392042306,0.19969650739506903,0.17495741255138114,0.15958513230991983,-0.12011601823951226,-0.12996352089805838,0.2866485618083445,0.09871451510129675,-0.1832808566551892,0.21360012192457292,0.18155366990652397,0.11592622291527686,0.026345529958607873,-0.08750628308121508,0.1845821988182306,0.0561377912868277,0.07310173879478085,-0.23642913628815476,0.014228141848511589,0.14107307496490804,0.15819346864104,0.0834529049447878,0.18972435179948086,0.020666579567000198,-0.09194929702501553,0.4924004269336778,0.43703447363466075,0.09437206093423454,0.2583833448592665,0.1356604177078664,0.17408484158694795,0.05702723936689365,0.08269213681190829,0.3281827702250176,0.1464645449376424,0.24845550163225877,0.47031983684061474,-0.220819410852003,0.31470496541379234,-0.006353555869739228,0.16922078845435826,0.2984479775914957,0.005827431455799705,0.13496928105635633,0.08482903503008062,0.25502995422133734,0.18158639472541346,-0.029930507210277853,0.067330500053719,-0.07639917828934649,-0.17313654054111927,-0.0734078187518176,0.08307742795326199,0.15037645234094935,0.1453870527302094,0.30775524919663927,0.08262250539483687,0.13255508887632872,0.08527731237610235,-0.0862909897185438,-0.12294378444806887,0.09544229673462676,-0.04171480529975098,0.15766075365313395,-0.019681140102195342,0.059520944652599925,0.06557793400698161,-0.2021312658158047,-0.009949578306581042
