,SM1_Dzi,FNSA2,MATS1are,VSA_EState3,piPC10,WNSA5,ATS1Z,BCUTse_1l,TopoPSA_NO_,AATSC2v,AATSC4v,AATS2d,RNCG,SlogP_VSA10,Mor18p,AATSC3dv,ETA_dAlpha_B,GATS2s,Mor21v,nC,AETA_beta_s,AATS1i,GATS3p,WNSA1,MATS1p,BCUTc_1l,Xpc_4d,PNSA5,ATSC2Z,ATSC1v,TASA,DPSA1,PNSA4,AATSC1pe,BCUTs_1l,AATSC2c,PEOE_VSA1,ATSC8i,Xc_3dv,RNCS,SsCH3,MPC8,Mor21m,Mor16p,BCUTdv_1h,BCUTi_1h,AATSC1i,ATSC1s,AATS0dv,ATS3Z,ATS6dv,ATSC6c,Xp_7d,BCUTZ_1l,Mor16v,AATSC0i,ATSC4d,BIC1,AATS1s,GATS1Z,Mor06,AATS2Z,ATSC2pe,ATSC7dv,ATSC2dv,ATSC1i,Mor28,GATS1s,ATSC2c,AATS4se,Mor16m,AATSC4d,AATSC4Z,ATSC5c,MATS1s,ATS2dv,ATSC8dv,AATSC3d,EState_VSA6,AATS0Z,ATS0s,MATS1dv,ATS1m,GATS2d,ATSC5dv,GATS2se,AATS1se,WPSA3,MATS2Z,PEOE_VSA2,MATS4i,ATSC2v,GATS1are,PEOE_VSA9,NssNH,Mor21,ATSC0s,ATSC1pe,SMR_VSA5,ABC
SM1_Dzi,1.0,-0.8319819770440829,-0.06875582646904026,0.2630378460716551,0.22521266869977044,-0.7407394007882391,0.3437742077800073,0.009595834724117262,0.5695668759727807,0.15237742797080675,0.06411069046934957,0.39381126930446797,-0.45423966932682297,0.7570632388273567,-0.020372889471526757,-0.09636793167648508,0.5513946658621901,-0.12521850917240554,0.09620728356618574,0.027591535358640583,0.5591907377675467,0.47010987746293487,-0.025414939681681677,0.554721415640091,-0.03876238843282956,-0.1241749245151774,0.5881266372566918,-0.7693945953398688,0.23301844475802563,0.13098978258750082,-0.08029122545653937,-0.45176057300325023,-0.8126300136547162,-0.18435884457669954,-0.04218430574896124,0.021184756309532447,0.30673253907347686,-0.1423314060799092,0.07621155121920692,0.22161839038389694,-0.2367994643931802,0.16139836372328503,0.05454793378822865,0.043352426534558466,0.5041363245984988,0.7157622128749856,-0.22585171814169272,-0.5176339540979255,0.7059829615899992,0.49125746144545945,0.5260281131174803,0.2238746318289116,0.23047959527637848,-0.07960451919613744,0.13165072792876925,0.5180300719444015,-0.05943771314517054,0.2780468254154544,0.30592444608485764,-0.22048674928480352,-0.07577872758990328,0.1100384886763662,0.23208570005344584,-0.13926295492786844,0.3681938957400609,-0.3229006020064428,0.26590749551902493,-0.11185089246449782,0.10724284083519339,0.7432447507462184,0.2777636929067301,0.22805703533997626,0.061898895264589346,-0.14373604495541248,-0.03860832702102075,0.7617743327475508,-0.21257276967790173,-0.0676561985567748,0.1179936425789235,-0.00749422442285564,0.892020548451,-0.05758277829425302,0.3410755624371544,-0.27466282780073314,-0.1681802070742102,-0.11740146538454849,0.5413872243923854,0.30653594565820763,0.13100496782926074,0.3441753520754189,0.08539790433413032,0.19620930755402538,-0.051604236311460765,0.3041035806194306,0.22265299950638584,0.20345552945340234,0.781914053798233,-0.24729346633059526,-0.15428648607782544,0.39918501221497943
FNSA2,-0.8319819770440829,1.0,0.08576472036709311,-0.4776744369439766,-0.35754461641759316,0.9061576016438029,-0.4519792476004299,0.20595367469059686,-0.6912169749847846,-0.11331835864060012,-0.018308268168503356,-0.5924015485081173,0.5421778949787751,-0.5417711384234347,0.2026752422661058,0.025880790711926373,-0.391250401423494,0.13693055392858375,0.046686419377657704,-0.18906320033579457,-0.5532995752551543,-0.19569233087910928,-0.024512114078230167,-0.7407809494166888,-0.21677160400656068,0.17127670614927848,-0.6231016968235513,0.9135802964966716,-0.19397329276798678,-0.38184709467297473,0.08201429600594744,0.5132285099793663,0.8957232391978879,0.1789620336804624,0.12761141894278827,-0.079903332824018,-0.4570426046268989,0.11985843234756194,-0.07627456001717513,-0.3101668711066679,0.3227625673800423,-0.2664828410600057,0.1248961267210056,-0.08149440383778175,-0.41444886306728435,-0.4483694928287745,0.03306724476887747,0.6177739656306174,-0.5525156615470078,-0.5983778944385024,-0.6038214197007814,-0.32202375826658464,-0.354448931036502,0.10482813971968621,-0.13244120495602507,-0.3393629569512116,0.15198174935708594,-0.33046109816978936,-0.19520838728710482,0.37501627940183074,0.20982557685723532,-0.05263960939517299,-0.23807264448302232,0.18207480716583707,-0.3215475973979575,0.028382365828557302,-0.3805704864941842,0.10637400818836834,-0.12589309643770324,-0.6286579682018901,-0.1775873819093804,-0.07762405571672576,-0.03715611126987498,0.15065019067147808,0.051033725703394116,-0.810905382089625,0.20633278745415698,0.08867546927010463,-0.23872984600986957,0.03754927517465499,-0.8572916851385524,0.07255798849239878,-0.4362085183335329,0.20565964199655534,0.17659613777068747,0.1475448376903761,-0.3602483095637922,-0.49373072858900613,-0.1331841221494942,-0.3419440676925403,0.04464570403808541,-0.14739846950452745,0.0813679015629507,-0.33944248992442627,-0.21268224090301963,-0.158888196850097,-0.8020751152729962,0.39330098765299704,0.2340843758345567,-0.5326510343214979
MATS1are,-0.06875582646904026,0.08576472036709311,1.0,-0.04552543370671262,0.17434875509589814,0.0018662964397727984,0.14345092629623882,-0.43752281053958003,-0.05613813872645771,0.052493992994423755,-0.11353628603705337,0.35003077225737567,-0.1284174639117641,-0.06601344496428535,-0.33901450795628046,0.20169830293624247,-0.26060317681364514,0.1659840719203045,-0.41295782990112045,0.5008638808460861,0.2905099254109233,-0.33385458891981046,0.20455471618376156,0.14947894002724124,0.47333209445677615,-0.52491626097681,0.18588949600064442,0.1881447419429102,0.22709216041901029,-0.10353029029635555,0.46548076995886006,0.41865820621405747,0.32014167135475435,0.7464949757601613,0.1705356328883502,-0.34566729156685655,-0.012827915541696835,0.03738856323234229,-0.1483154770149486,-0.23379042922176307,0.38322752038279784,0.13671152669798275,-0.314466532638243,-0.05643421061594576,0.2917186339351911,-0.056287169356621,0.4799767746927691,0.5875746000982337,-0.32791751520213386,0.3015788847988083,0.1931790772622625,0.03338917064738725,0.21275947098234915,-0.4212296592296309,-0.15443059437747667,-0.23371212307069592,-0.19295421025275195,-0.2442259877283419,-0.3054859995520175,-0.3655191307373271,-0.13852095591612537,-0.3972831694730872,0.08789000026555732,-0.0761939841094542,0.0932253874448307,0.0958753103047632,-0.3804643468553985,-0.5673439684317341,-0.1545358294403532,-0.1895084816272095,-0.08033422821573148,-0.19040847250747658,-0.12779643748417654,-0.04951128768706284,0.8287027492693166,0.13738315325133588,-0.04377739854324164,-0.06063892494190624,0.12607792439735754,-0.4517381058643799,-0.04637783400855058,0.8454785450510875,0.09314902614923096,0.4004744533815697,-0.1476717462977571,0.3155977718995119,-0.5324928692213523,0.16636272357785387,0.0872901562518515,0.1713507739740425,-0.06242047408745535,0.043667294809228575,-0.7327887020265641,0.1898758567569757,0.0010291068723910788,-0.470394636385834,0.01361168441295377,0.6520702859337928,0.33544518755539393,0.37197136356899513
VSA_EState3,0.2630378460716551,-0.4776744369439766,-0.04552543370671262,1.0,0.07756846928961068,-0.5132872419062251,0.12716154525647777,-0.0748617538325556,0.6144030637886199,-0.005158929701802943,0.01796429862145217,0.264828332502005,-0.1944796886757526,0.0036056128198638463,-0.05391242331079133,0.1216289298888754,0.2601530787626623,-0.02922951663901033,-0.10383485247455058,0.08296910328923704,0.15945970416796157,0.09248477224350397,0.09473528268801894,0.2713021336683117,0.34792390449109295,0.08147828557077434,0.24254564768134895,-0.5309624779977706,0.08805854644984577,0.35969298343687583,-0.2266681419031381,-0.1414399799626826,-0.31738436764209166,-0.023718566089412328,0.04594950890167169,-0.0812127356496575,0.5581392285622062,-0.030844559723912434,0.015336874546922287,0.2591918583627302,-0.14092221408882727,0.11056968954939005,-0.20704178775642806,-0.13986930373152595,0.10196177726319647,0.04967380259045209,0.22956807308000396,-0.43975005349868357,0.08097076228077288,0.2290250273491154,0.33397543874531505,0.2865202153441654,0.13921124852024735,-0.06563983852764449,-0.1518022754041836,-0.17285863288688397,-0.13573803626191885,0.13968922949100446,0.12656756851339038,-0.11941847722668861,-0.1137770132670104,-0.05474707224942484,0.021709269759197368,-0.07153782042617453,0.0966362440668868,0.37210594438604233,0.3365608790385327,0.03184364398882948,-0.08014025854410628,0.0703206627654067,-0.15423512632329422,-0.09547692298810152,0.008719876235716824,-0.1188340890528092,-0.08625970431858766,0.25043904235723774,-0.13454323091835058,-0.021222605991037303,0.059006458213100556,-0.06406634260513816,0.35542339088364594,-0.06551087479748556,0.10940747935576016,0.16908817035942916,-0.0621819963446738,-0.07021767865680596,0.10933697919503745,0.34221000369785787,0.03598263420549275,0.1297601867437037,-0.05430852691639288,0.023660967015793833,-0.019295908025663812,0.3095029323483094,0.05009292807341141,0.08416032905403634,0.44291710284850944,-0.26738893602255304,-0.045705832698869235,0.21117216769790373
piPC10,0.22521266869977044,-0.35754461641759316,0.17434875509589814,0.07756846928961068,1.0,-0.3877197781476154,0.6534525246204511,-0.2987746966022173,0.2672311639969497,0.15537148740416099,0.00814261191542484,0.5607053999864969,-0.42184763159793826,0.163694033584143,-0.7505067169355504,0.1828292525501136,-0.1483555703680465,-0.08629304511251364,-0.49410597673369594,0.7115445301299707,0.34414899343887795,-0.1599107652214817,0.03558469663375911,0.6824340288575923,0.2165560482455806,-0.25327565900826626,0.512099199122673,-0.16384335804236896,0.1796866782086196,0.35907789383807154,0.52537585572722,0.07949673109811746,-0.14937084384958685,0.13099327734157756,-0.09568035790323148,-0.008407614307730958,0.22777781922070667,-0.12000724383800633,0.1317115398476897,0.06688086525506089,0.015066624849310966,0.7386639242781223,-0.4236759321427919,0.1512062441939488,0.11835789689591587,0.06573971828018098,0.11982657640132872,-0.02170968765060778,0.013870527716934792,0.6951312185259028,0.6046126410277025,0.09463493760439905,0.8418152190673255,-0.07088764038724181,0.07532636863721835,-0.03795796322996968,-0.38736784053901674,-0.05167236861277928,-0.05801397817442767,-0.2763772519911872,-0.24623509636404395,-0.033446879580063676,0.19064749345243426,-0.27630389697668206,0.2941164445891218,0.05785442498616029,0.026070603177520003,-0.1662241188032043,0.04932570141202717,-0.0015932170828164526,-0.03328733594569426,-0.16030721214772056,0.0414315290247737,-0.12142803785486188,0.125404151424825,0.6596070448810821,-0.10484343490619176,0.00550079713983781,0.32815397519362544,-0.055383228511608054,0.25295291391641483,0.16345424633625744,0.5939723898408531,-0.15982152274262654,-0.20942730073528765,-0.04747614426480486,-0.10213870391408307,0.6149813587716122,0.1327248348282278,0.11238171650713195,-0.033828815426580984,0.1512501791635369,-0.1909419394761295,0.22909421128811286,0.22305528572825833,-0.3762320334766752,0.17983941404833978,0.11557114769179051,0.06416028836597905,0.7783048156808084
WNSA5,-0.7407394007882391,0.9061576016438029,0.0018662964397727984,-0.5132872419062251,-0.3877197781476154,1.0,-0.5712788114086405,0.18805346381794083,-0.7818010711483486,-0.1300996392525494,-0.008382066603413778,-0.5155385821860405,0.5434326212442123,-0.35737948481475496,0.22392913408178716,-0.010009582685608661,-0.3107126407424393,0.15855795812668347,0.17329209713474772,-0.26173506663712626,-0.5276180025150947,-0.10877906137801961,-0.018125687823709248,-0.7648467611097092,-0.17771107138403683,0.2779424532093474,-0.5256735948779886,0.9069942685234152,-0.20408969546671404,-0.2365008481454561,-0.012725678641907597,0.31391169612994607,0.7241635851760689,0.06236464904380613,0.1297044758174509,-0.06060844110998495,-0.5892294361812036,0.1535354502120893,-0.08138227351597288,-0.20966813017111513,0.24004766376643938,-0.2986263868410723,0.2522700392456679,0.04085054966462231,-0.3774323217603308,-0.3267436834996239,-0.036594276757160725,0.5029982198869719,-0.37786055278750885,-0.6123260020617572,-0.686324905833018,-0.3930373296094441,-0.40775797066438313,0.07643738769827266,0.018418332298031595,-0.12686017676093259,0.1832728426928943,-0.2745125541826929,-0.2183213107218027,0.41318482275643054,0.20537423180874081,-0.02589461920337511,-0.2998985527503093,0.21402219870047443,-0.3624714580594722,0.07162579703299994,-0.3234720635954357,0.18805155016745678,-0.12078999364172871,-0.44962023076409985,-0.03646349131689983,0.042048171537223344,-0.01658106396467079,0.17052390928241007,-0.03015592579417201,-0.7366903982736588,0.3032382638539755,0.0455357670128276,-0.2604416010788563,-0.0028610936373731693,-0.7481204800574289,-0.01833793522495596,-0.580476484929499,0.1859461564099782,0.174780423530554,0.1126413894667653,-0.28024301158278686,-0.6543568614199144,-0.16897990143496028,-0.41826730279970487,0.06427663833694656,-0.1410829882976542,0.16631120594314666,-0.5108449171789982,-0.20516221510118207,-0.02931151498725498,-0.7734973824257032,0.2705002952977494,0.1585996021716814,-0.5843340167514335
ATS1Z,0.3437742077800073,-0.4519792476004299,0.14345092629623882,0.12716154525647777,0.6534525246204511,-0.5712788114086405,1.0,-0.34607378146168505,0.35344658808793483,0.23270935482375324,-0.07653336335834594,0.5715988374359403,-0.6075787210004252,0.1947830307412794,-0.576344982185404,0.19324816926582034,-0.24603109145774735,-0.1535717143269381,-0.4661109272958283,0.6472236987469352,0.4437743462349047,-0.30246318431101454,0.1846274741526681,0.7616659952326016,0.26205021167876236,-0.26875926751692225,0.5834530386957482,-0.3077058550337131,0.20094642882969654,0.32145438606330157,0.5953248564267248,0.07311852365104372,-0.24843486731673392,0.10761313591736252,-0.41008699962761336,0.045493294331531604,0.2380552012366365,-0.07857630476311803,0.43730090819057804,0.1232304256442012,0.10943314493282069,0.5555779911021332,-0.33750269483611384,0.036990009145602396,0.09702326790626627,0.055492945482451254,0.11233281425871083,-0.1329577814650302,-0.002162958300111296,0.7900446117809781,0.6215133833353804,0.1773777562085822,0.6839926609792009,0.16884239548948551,-0.02278120864268249,0.004720866081611864,-0.3590324575461786,-0.09616428097348863,-0.21348360048565868,-0.282806898194671,-0.10588480188364796,0.2517747385143623,0.3009906884783066,-0.28677613545408964,0.38043549399936266,-0.02361817945327274,-0.054997962186126584,-0.14417663902393354,0.10821629082966981,0.15000489356732824,0.05072257559975375,-0.16026436701417035,-0.03861578773056061,-0.12877426229938668,0.10128619203947833,0.6614848591715661,-0.19088244941572144,-0.11255710397909267,0.2606959759764306,0.30795722521477137,0.38056223080158513,0.13886975882164151,0.9835858653006071,-0.20008710030681412,-0.22671792020569007,-0.1344031889063219,-0.05272524758076952,0.6256002436024245,0.20140932677154927,0.2114438383348541,-0.14330405369529545,0.18358713621009043,-0.13577633838002995,0.3107564351526844,0.26943086463533494,-0.3818848015339474,0.3381087149110116,0.05969022789136656,0.20366800858376746,0.8067221517537543
BCUTse_1l,0.009595834724117262,0.20595367469059686,-0.43752281053958003,-0.0748617538325556,-0.2987746966022173,0.18805346381794083,-0.34607378146168505,1.0,-0.0741970318748793,-0.2518804620455166,0.17299742009747382,-0.5575062252100841,0.26900588448227863,-0.002255450073507776,0.4759801005330494,-0.20088209689709768,0.4820366935115862,0.053063067901716145,0.316988705075256,-0.5138841804852331,-0.4600742286259145,0.6841157179295115,-0.3651444035079726,-0.375233859683355,-0.47546075050811626,0.40368714113943976,-0.3108581687761121,0.03684895007862732,-0.16496530414031849,-0.13153597194863315,-0.3833545788404008,-0.1337711015623775,0.02755886689935574,-0.3332543873876382,0.36403773470066697,-0.02754271167624904,-0.14774820916065357,-0.03597896704875158,-0.1801839265149521,-0.03750745959359557,-0.16945373719388485,-0.22445014903062926,0.2548414248482264,-0.05175482451983521,-0.11727574714202085,0.13044485365714492,-0.1625398723530624,-0.1041258187403888,0.2444008913456132,-0.3995323956011644,-0.21871328238151386,-0.05322512014499698,-0.3108981472829873,0.22873927954435797,0.010205932280043899,-0.02658554610441986,0.26891065804074743,0.11641338469443833,0.4889998738365718,0.21100420324294583,0.2506475094117632,0.06742919198889037,-0.1100746106929877,0.0817125447102153,-0.10710859345994288,-0.08047912488043941,0.12497167511240544,0.23988297694866562,-0.01136637985225623,0.08075570883185904,0.08296695630537132,0.3750989016957499,0.060231703303327014,0.05094341684505378,-0.3532680763259691,-0.32775375105802834,0.013660165052731347,0.24380161664598107,-0.25126913600100154,0.15383116035533018,-0.07660126887100045,-0.4836658026416791,-0.29802685856001265,-0.21405157027490973,0.13338255532381013,-0.012529484690439218,0.6262646938308855,-0.34261315339352705,-0.2634706510760487,-0.07738014124203703,0.21883688994077716,-0.12735980646538733,0.2612796268932721,-0.14776118491180046,-0.08765232723048992,0.27537111539303216,-0.09629202491160914,-0.09414959385152179,-0.09807259372126426,-0.48781204847474513
TopoPSA_NO_,0.5695668759727807,-0.6912169749847846,-0.05613813872645771,0.6144030637886199,0.2672311639969497,-0.7818010711483486,0.35344658808793483,-0.0741970318748793,1.0,0.08854525901617126,0.026913796316792176,0.38807277476210694,-0.3569396329311371,0.13536428891720198,-0.13925886651458763,-0.04379492433614166,0.3686596835052932,-0.29907824406909356,-0.08912812075682337,0.1468000835779217,0.44347413128644136,0.1925495794563218,-0.005676150717559032,0.4690218757012602,0.1821869132353868,-0.2733196571297789,0.3412033709316538,-0.7427072316967952,0.27022095828352627,0.2830250951215698,-0.16462846883769208,-0.13083784197090567,-0.49359479775871345,-0.04009080804586324,-0.022105070555731545,0.201553352929199,0.6421465860756429,-0.14689763565014546,0.02564261627524591,0.04126419705696003,-0.1720027275818765,0.16923835904036702,-0.19531579861175313,-0.06221908870275786,0.3776083241382639,0.27422226752994894,0.1738379115647081,-0.5536250876169055,0.22592038394081043,0.38510261091506215,0.5267753795523301,0.33264947475571516,0.2633553969478097,-0.1073267577178848,-0.08981360197685398,-0.18955343220855642,-0.2072151209415549,0.32789803495216735,0.17353249958277533,-0.32027053974784103,-0.21688657066205283,-0.05115120213388409,0.4398202162155599,-0.18481368738361093,0.4280352355635469,0.11787334321972529,0.34516635904186166,-0.23116264113729,0.33946519687697596,0.21320573123993738,-0.13743694275467977,-0.16834310413444872,0.05994883870887296,-0.1744255222506337,-0.03793927804868121,0.519863742640461,-0.2372401884384419,-0.05110321482222525,0.2155860438765193,-0.09277932040998584,0.5582654999237008,0.0361433372345123,0.32173485779853866,-0.061438745315765785,-0.22824159267850527,-0.2807753608061313,0.22694725990043457,0.6123492911215271,0.18166704465362063,0.4824190468999217,-0.05827875987772968,0.12517442196127293,-0.20762688470653498,0.4284663848846496,0.27500506193027785,0.07356394882190849,0.6710557250791157,-0.2584979608639012,-0.12152414182486114,0.42156471476909485
AATSC2v,0.15237742797080675,-0.11331835864060012,0.052493992994423755,-0.005158929701802943,0.15537148740416099,-0.1300996392525494,0.23270935482375324,-0.2518804620455166,0.08854525901617126,1.0,-0.35378486642986334,0.3368921605077264,-0.10803993416558023,0.10654514252902277,-0.134099762135555,-0.08733194226070344,-0.03086670721861002,-0.15606753527088332,-0.008812728639274067,0.17617958430131592,0.2371308315629482,-0.11314494670583283,0.4999938695457278,0.15333932575109455,-0.13839944635458964,-0.22871305217371102,0.4574824521195634,-0.08288575989751439,0.6630226315900072,0.001254808315166028,0.08225944615770953,-0.04597200063652063,-0.06946849468164748,-0.030616640335314266,-0.11890254106669991,0.03842505078839954,0.044393601656083734,0.11072781519540896,0.2676340314078525,-0.07618284089722256,0.39953324226991027,0.17325001950372187,-0.05304715569067696,-0.10873006655485917,0.13870877684337435,0.09438388203029938,-0.23422508039666418,-0.026059125172350022,0.12667327691031974,0.31567611551188435,0.14768868961115383,0.06726408061884108,0.21689049917380018,0.13105474671058812,-0.10103786110470549,0.13242997742478424,-0.3966262208394495,0.10051591988460648,0.0019627490507897064,-0.06688388317544361,-0.14745159223055768,0.04303390208293015,0.1746055063496961,-0.016194764710209628,0.23829917766019643,-0.17834404297763815,-0.1700372869527346,-0.08731302133924025,-0.013788682086437343,0.09779398229714213,-0.08452567172449812,-0.293323544714375,-0.25597680246561294,-0.09125447799257988,0.005341844382576798,0.3144570444944681,0.009833270221185004,-0.39592728708387714,0.2090136405436878,-0.01792955962635407,0.1452711103861612,0.2965441730772672,0.23435528589194832,-0.009189805755610209,-0.20561895564569432,-0.10591659995044092,-0.011536110359162648,0.07904676362689962,0.7186415755732414,0.12930542167438963,-0.24049418666119685,0.7843186876335086,-0.09527020333427265,0.19582317268178231,0.08244852050306882,0.04827210015595786,0.09715319799729101,0.13680628414292237,-0.07806746196734358,0.2755961594129942
