,SM1_Dzi,ATSC1v,VSA_EState3,BCUTse_1l,Xpc_4d,piPC10,BCUTdv_1l,nHBDon,AATS0dv,ATSC8dv,Mor16v,SlogP_VSA10,Mor28se,AATS0pe,ATS3m,piPC6,Mor19v,BCUTc_1l,Mor28m,Mor16p,Mor21v,AETA_alpha,FCSP3,FilterItLogS,ATSC1dv,MPC8,Mor27m,SIC0,FNSA2,ATSC5dv,Mor13p,ATSC6c,Mor24se,ATSC2p,RNCG,AMID_h,ATSC8i,IC0,Mor13v,Xc_3dv,Mor30p,ZMIC5,ATSC6are,AATS1se,PNSA1,BCUTZ_1l,ATSC8pe,BCUTse_1h,AATS1p,AATSC0dv,Mor11,Mor16m,EState_VSA9,EState_VSA2,MID_N,ATSC7p,Mor09p,AATS0Z,ATSC2c,Mor10se,ATSC7d,MID_h,AATSC1v,Mor06se,MIC2,ATSC7c,Xch_6dv,ATSC2v,BCUTd_1l,ATSC2Z,ETA_eta,ATSC4p,ATSC7dv,FNSA3,ABC,AATSC1c,nFAHRing,Mor17m,AMID_O,Mor26,SlogP_VSA3,Mor27se,ATSC3c,ATSC1pe,SpMAD_A,Mor26se,PPSA4,ATSC3pe,MIC3,Mor13,Xc_3d,TopoPSA,ATSC6dv,SdssC,ATSC3p,SIC3,PEOE_VSA9,nC,Mor32se,Mor11se
SM1_Dzi,1.0,0.13098978258750082,0.2630378460716551,0.009595834724117262,0.5881266372566918,0.22521266869977044,0.2608833339297196,0.2727723363780258,0.7059829615899992,-0.21257276967790173,0.13165072792876925,0.7570632388273567,0.2775293145427127,0.6541155195029701,0.549618735936627,0.20769519769798098,-0.3101426707896394,-0.1241749245151774,0.18001485908620188,0.043352426534558466,0.09620728356618574,-0.3358057724143735,-0.113576108220958,-0.02293608050249821,0.1659744584219426,0.16139836372328503,-0.17401031634620162,0.2802063367965044,-0.8319819770440829,-0.1681802070742102,-0.29990312987427176,0.2238746318289116,-0.26651918220924287,0.18967670618178953,-0.45423966932682297,0.5120038675524865,-0.1423314060799092,0.502668453828686,-0.2808543358479346,0.07621155121920692,-0.03703181413888637,0.5738101731296399,0.10704066047437402,0.5413872243923854,0.6548116607577251,-0.07960451919613744,-0.20862803196718796,0.5217165428868428,-0.10704187666140412,0.5600479113976229,0.29601781230847907,0.2777636929067301,0.2831004955289597,0.23554986699177063,0.4968809933249641,0.003839792821058104,-0.2597297048267867,-0.00749422442285564,0.10724284083519339,0.09792788398879138,-0.09586804448493189,0.870084837063878,0.11730967113281314,-0.09324197354981595,0.5178800385836848,-0.09524966735996576,-0.016274164999152962,0.19620930755402538,-0.025152424863512136,0.23301844475802563,0.21809233290987654,0.042045106561138135,-0.13926295492786844,-0.5705738062753953,0.39918501221497943,-0.35489670954865066,0.09924064402470097,0.057402728164389745,0.2081095073252733,-0.2336713376287057,0.21159545017998932,-0.19389382524044801,-0.04614494143287106,-0.24729346633059526,-0.036753412992786366,-0.2612577367205675,0.3152545133409737,-0.15437173277484936,0.5052939519330557,-0.29855419191752075,0.6367171619780037,0.4554080104584043,-0.030076429807740137,-0.3582142145132439,0.05202623860090933,0.09812626293887824,0.3041035806194306,0.027591535358640583,-0.07135792591661662,0.2920163051213066
ATSC1v,0.13098978258750082,1.0,0.35969298343687583,-0.13153597194863312,0.4505553633090368,0.35907789383807154,0.2683444479324622,0.4528472092231428,0.14942184026176264,0.05896395365846615,0.25744542001131737,0.13839884034909183,0.3091754073674389,0.11213936529875275,0.38842683348560225,0.4394880847528417,-0.1611679406464787,0.11680662823270313,0.13064150186472617,0.2863993248990935,-0.03187890679742895,-0.06507606208003958,-0.4103473940970949,-0.10810372266067012,-0.10038608383110864,0.34571817916443737,-0.24441498333814202,0.09657212710638279,-0.3818470946729747,0.03271664846488144,-0.570475051113255,0.08081332454686517,-0.2922324013315812,0.10777751157150751,-0.2895553304334045,0.0358714996354516,0.008733214366221357,0.22111198071724672,-0.5946926700625274,0.18010031947119184,0.2334752957610921,0.1853500308579444,0.009403273780840986,0.15910175650163247,0.41423407856305844,-0.06299107083338981,0.0579082288961524,0.036816718451591464,0.07805857350013301,0.0900339167219201,0.17703257898416888,0.12260359178395311,0.1567689153027975,0.021989632544248714,0.17207629320758708,-0.020431472013016327,-0.4220592448850084,0.02831218311754234,0.04990595340166526,0.4324711451019422,0.02767571686525399,0.17041161913387087,0.5631598557335751,-0.22623167661492494,0.33943344634352574,-0.1238383176991934,0.2827255368847796,0.1879384065549453,0.17789816515596518,0.09813510394104549,0.15403957224772297,-0.37189882312485395,-0.065868373483755,-0.2514938823905576,0.353491145325201,-0.0655413369179796,0.1327470043941821,0.18590868614237918,-0.05165911839270051,-0.4491754576518293,-0.23239571248798105,-0.09329686729729532,0.012526164462600147,-0.29197195203084914,0.3061423273945934,-0.44951823184218787,0.019596271005342236,0.04490569476105538,0.3730588459398299,-0.27218052287789846,0.34563771779977664,0.31408116035895484,-0.03040584944527455,-0.015648727454627948,-0.3326995365402643,0.2866176654576463,-0.05405889556292171,0.24306278067644957,-0.24924293345865275,0.12072017085557196
VSA_EState3,0.2630378460716551,0.35969298343687583,1.0,-0.0748617538325556,0.24254564768134895,0.07756846928961068,0.21420839763653712,0.6909171646543083,0.08097076228077288,-0.13454323091835058,-0.1518022754041836,0.0036056128198638463,0.3710648173816245,0.0247418523486724,0.22607163509016223,0.1673963276700604,-0.08730899238176053,0.08147828557077434,0.20716278011818992,-0.13986930373152595,-0.10383485247455058,-0.1735130104715428,-0.052336710663726804,0.21656512227002297,-0.040080225405307895,0.11056968954939005,-0.08767900291106266,0.02599927651411703,-0.4776744369439766,-0.0621819963446738,-0.3003309556171538,0.2865202153441654,-0.08075330256129612,0.0014908470734764354,-0.1944796886757526,0.11530373395055443,-0.030844559723912434,0.2248260590344834,-0.3116374375023621,0.015336874546922287,0.06940546663020883,0.1122707753689541,0.15828944605269366,0.10933697919503745,0.2583307720400695,-0.06563983852764449,-0.16941508055207108,0.12763649034340382,-0.09100710998701496,0.16472514598331553,0.07954313435397885,-0.15423512632329422,0.36605161069991743,0.16574987309743966,0.15801065179599433,0.0165095325077687,-0.10768393157742927,-0.06406634260513816,-0.08014025854410628,0.20843787051766702,0.014058921729461825,0.329191295146505,0.18624901822250928,-0.14217798332578882,0.1042357589380738,-0.17568118037694544,-0.025979473184286606,0.023660967015793833,0.0013016285012811069,0.08805854644984577,0.13537355555235442,-0.05243470847221152,-0.07153782042617453,-0.49985144762386896,0.21117216769790373,-0.1916740444135627,-0.006878346052744284,0.17008570871465975,0.3824426853253651,-0.300933862485165,-0.08816024689585548,-0.1282756831802901,0.32094950911478515,-0.26738893602255304,0.0935568494814606,-0.3425383039664411,0.3581168569570165,0.1666314962247192,0.13358355345196524,-0.23681032855159653,0.1721873724070676,0.5561733961502983,0.029364459195861115,-0.22804492796365572,-0.11209692476445793,0.12695168258785927,0.3095029323483094,0.08296910328923704,-0.2598337649669758,0.051284052900751775
BCUTse_1l,0.009595834724117262,-0.13153597194863312,-0.0748617538325556,1.0,-0.3108581687761121,-0.29877469660221745,0.3229352092575821,-0.03921304999597901,0.2444008913456132,0.013660165052731347,0.010205932280043899,-0.002255450073507776,0.105342431550355,0.3944460740501387,-0.38074370483145,-0.5291999897005846,-0.08847909890188294,0.40368714113943976,-0.13260434080136901,-0.05175482451983521,0.316988705075256,-0.055253467545189686,0.09486310928097905,0.41993136012692484,-0.3136534416753946,-0.22445014903062926,0.20334365634244791,0.3517018525422275,0.20595367469059697,0.13338255532381013,0.2566571225069459,-0.05322512014499698,0.09453770709438437,-0.16543384402300598,0.26900588448227863,0.49476721677531976,-0.03597896704875158,-0.22390420052733695,0.3819930432465636,-0.1801839265149521,-0.19330764866652106,-0.22702623535598562,-0.0016628780879485174,0.6262646938308855,-0.2784974730764623,0.22873927954435797,0.015546978118894552,0.053071147382386996,-0.06763070383337486,-0.015673486647765716,0.052673884186140066,0.08296695630537132,-0.06842249002909712,-0.1500406134251955,-0.07883311416122059,0.04847101344015875,0.30994858764928773,0.15383116035533018,-0.01136637985225623,0.060702739742973195,-0.01311482774412458,-0.04990135870003359,-0.07471341283095538,0.24166048952497124,-0.28856294543108485,0.03647165681375277,-0.1336298306342508,-0.12735980646538733,-0.2553728884024068,-0.16496530414031849,-0.3084920387587078,0.20033631183286196,0.0817125447102153,-0.1475131634149232,-0.48781204847474513,-0.1603751079017925,-0.10483428210537095,-0.11902270297590134,0.2314818673185114,0.02108031040040755,-0.07922380796461982,0.15416686666124257,-0.014029992468293917,-0.09414959385152179,-0.5607917122238756,0.022929169546070396,-0.25655494670296863,-0.01631594754406881,-0.33033418125476505,-0.09495223444461826,-0.223849604634267,-0.04718582180306621,0.08158925474530053,-0.03193838923846038,0.2039706468968185,-0.3266346780473625,-0.14776118491180046,-0.5138841804852331,0.11920712676201356,0.052893670299586026
Xpc_4d,0.5881266372566918,0.4505553633090368,0.24254564768134895,-0.3108581687761121,1.0,0.512099199122673,0.039746414780982606,0.16697156265852403,0.27358402933226594,-0.0836798193652435,-0.015583354825965774,0.46002589354926804,-0.05429760315660443,0.17961482876735926,0.8711299004424659,0.5685507876644729,0.05395197519267319,-0.1844460277162549,0.10666597215211214,-0.012787130642651023,-0.2127264711340132,-0.15359527190826003,-0.09606094254474712,-0.3933832563668544,0.48327350679439124,0.5330000786330075,-0.10500230696265953,-0.10298037874135547,-0.6231016968235514,-0.22494081938267918,-0.44126594951132286,0.15169154454713307,-0.350316675356307,0.49427595743816105,-0.4897105738487032,-0.0013438080631091634,0.03796692005183391,0.28451174984567373,-0.5913374636996077,0.3104674744697166,0.34150845008974723,0.5250580485460301,0.053898714536037694,0.0690213501279588,0.5827990901285199,-0.11220503759775713,-0.11501341654481109,0.24667287284788952,-0.04197483521493432,0.25936595830907466,-0.1040665697642789,0.0935056455735585,0.13232545293034276,0.342449594701388,0.3229628169115952,-0.12690991219998798,-0.28267497473796566,-0.05911990029947445,-0.04189628525949632,0.31523721108929653,-0.025007513050499672,0.5290703757753363,0.23373997837289623,-0.18467891747080634,0.4918767149505861,-0.06321296664506248,0.3578403769467577,0.5608878713688249,0.02575294275731074,0.4604288010498548,0.6202006374981821,-0.3900196621324306,-0.19868959348307247,-0.17488893365094188,0.7276396522684083,0.008332876784321592,0.28803265784114007,-0.03696587732156585,-0.06403823189517908,-0.1320461962697797,0.136588172077008,0.008600833202198737,0.01971414650689958,-0.013750976566984445,0.2396427867371073,-0.1634672383838474,0.23922474220622977,-0.00046673485710752017,0.5129839346900509,0.04474168812751948,0.8226144196488677,0.27350198190472497,-0.11192582827635388,-0.005224328253860386,-0.37483679700230793,0.1830353779043399,0.2449921512501427,0.5185778177873647,-0.1730226894207267,-0.11314834190630843
piPC10,0.22521266869977044,0.35907789383807154,0.07756846928961068,-0.29877469660221745,0.512099199122673,1.0,0.04145687115078127,0.08822442567756153,0.013870527716934792,-0.10484343490619176,0.07532636863721835,0.163694033584143,0.04582892297042042,-0.083222564098985,0.6793169082130803,0.6590869762455601,0.07558738094081875,-0.25327565900826626,0.202172584312784,0.1512062441939488,-0.49410597673369594,-0.02897931681678128,-0.29095188807495054,-0.6014673098642404,0.4082849472666606,0.7386639242781223,-0.31357025940882044,-0.18969791553615484,-0.35754461641759316,-0.20942730073528765,-0.4979382606561405,0.09463493760439905,-0.08796879291932816,0.18008556429316533,-0.42184763159793826,-0.1518292452903687,-0.12000724383800633,0.15736527822287277,-0.6664651490718174,0.1317115398476897,0.3062500902347678,0.30370762961033104,-0.04764812933740332,-0.10213870391408307,0.46167130277845325,-0.07088764038724181,-0.09882067254110244,0.039980022810340556,0.014910723895020735,0.0816509559302924,0.06123552410559423,-0.03328733594569426,0.14442768251459523,0.28037266540133843,0.35514725472061853,-0.16436803440225875,-0.5771595266727434,-0.055383228511608054,0.04932570141202717,0.09776317016880834,-0.22541074340491418,0.3107450600273826,0.16797777331428201,-0.23121885931096006,0.3376036334309106,-0.09087566069367085,0.16583552488608028,0.1512501791635369,0.16926861007731397,0.1796866782086196,0.552817864433841,-0.19712748212107525,-0.27630389697668206,0.09933670647243122,0.7783048156808084,0.07897362642161439,0.29159888111220306,0.1114182207160604,-0.1263453776774149,-0.14536697894886447,0.20155839657751157,-0.2672262647764956,-0.032565584618500995,0.11557114769179051,0.38228180655074323,-0.15219413061954798,0.37903951475641307,0.0956836806953212,0.39512108808226715,-0.02509915202914936,0.35075388875318125,0.23929605203771992,-0.27944225574710196,0.013523816706588133,-0.09089206915429295,0.17554984548379518,0.22909421128811286,0.7115445301299707,-0.18779493773734984,0.06457879889212609
BCUTdv_1l,0.2608833339297196,0.2683444479324622,0.21420839763653712,0.3229352092575821,0.039746414780982606,0.04145687115078127,1.0,0.18832219529124042,0.49813999534250114,0.02836853287368795,0.16595311463923346,0.20517614780737758,0.2936181097881644,0.39002018784893994,-0.0544139411855111,0.033399114666045296,-0.25477968210449387,0.09051449264901759,0.10281359962701267,0.1503163348279602,0.1503234333318941,-0.394694455056945,-0.32449777825556453,0.20355368851393119,-0.18479919226334232,0.07073861169577236,-0.2164323685383348,0.11502010235522192,-0.24638732959157916,0.038512954005310365,-0.2924040882004649,0.0015993593317799118,-0.0984717247895918,-0.0571044656299321,-0.08300257498216927,0.2100092696103007,-0.04586625926874126,-0.11165921368967203,-0.20817657137147083,-0.1696503130410677,-0.03715505563416557,-0.06293163241165357,-0.026670643545297308,0.45506700111588744,0.1029847044842406,-0.08198141060084742,0.021898037124268105,0.17789479624755103,-0.21550882372019906,0.08693275427611502,0.34400316020580984,0.10344211811456536,0.058277471984217406,-0.04927194887759436,0.10683417656341893,0.029600896596660455,-0.2883310126145818,-0.11490249619926605,-0.0195781295816347,0.15464803969850602,0.0005650988452293371,0.07059228896495841,0.15328739427885413,-0.14912283019959918,-0.186182307187178,-0.02471698242020825,-0.03681750275046279,-0.08428669965587869,0.08505941950498082,-0.020253733217083406,-0.18466651474145276,0.09366288160546893,0.037506859442291256,-0.38467239561529365,-0.030310769798845866,-0.2695020066655542,-0.001555219985908877,0.12309602655297876,0.2242566736529961,-0.31960723140783887,-0.1336346401311453,-0.14589692633165538,-0.00902527345649166,-0.22403263399019685,-0.006609956786322438,-0.31821078890462834,-0.0006965823224610497,0.0397742300603327,-0.15368837175798783,-0.3084553058060633,-0.03734465837759747,0.06924478554677141,-0.009456360676765875,-0.20727906993898765,0.09150115053459268,-0.00359956736668525,-0.05997989798181369,-0.09516751870106568,-0.057949216210966485,0.31149223019800976
nHBDon,0.2727723363780258,0.4528472092231428,0.6909171646543083,-0.03921304999597901,0.16697156265852403,0.08822442567756153,0.18832219529124042,1.0,0.030115847901504574,-0.0321088385126361,-0.0004788640039241012,0.029908735735006613,0.4520112213595251,0.011765858223937177,0.16575561037749512,0.1133903918769213,-0.17174740537510427,0.18254142922568542,0.17819753288339366,-0.0044155413906365095,0.05025464496509427,-0.1607960398315941,-0.07602534471400889,0.3198257608100919,-0.20352278600218646,0.05099334504759497,-0.1733298342873184,0.13292389627839832,-0.4853985307954347,-0.021317291579164843,-0.31102198249669993,0.18965616528514553,-0.17109451404767212,-0.060849195033345564,-0.20666595272038332,0.20181998512787858,-0.08047950483471952,0.35275645182723675,-0.31679881117398123,-0.00967938126148622,-0.05147119293276932,0.06924999385813843,0.07389861630465165,0.11673098065500684,0.1943306596377679,-0.07299445029744964,-0.029142832726128186,0.07504685415751593,-0.10084533216138146,0.16079006729778272,0.17072175608685558,-0.050338873301845714,0.4071448823002813,0.12353583728061057,0.2965686354249533,0.034728834307088785,-0.1256223787549411,-0.06757615797858992,0.2285885729117758,0.22488591124990834,-0.014140928903214297,0.3562358226574762,0.21454617380294777,-0.15118349214516388,0.14398051300352976,-0.23743299816998567,-0.02968436846083874,-0.05445747547486718,-0.02686721141592965,0.019720582181675658,0.04679404085340196,-0.0192197067281883,-0.06538689544959257,-0.5070337705162263,0.14333467952664816,-0.3897149767511867,0.006799993138314215,0.1326775538727975,0.33006719229508685,-0.23796892636852215,-0.0678896248942731,-0.16858073061609696,0.13647453519787975,-0.6269537439495504,0.04798533846491321,-0.2503157863937682,0.46461356402889153,0.06880221631473647,0.14521452774434418,-0.3485499661235255,0.15006285173869627,0.6495871571042426,0.03566955862335264,-0.2905984683379694,-0.05807882641716741,0.1906283588625506,0.13330113136217248,-0.011992280522369107,-0.2502638377512768,0.14484220891628632
AATS0dv,0.7059829615899992,0.14942184026176264,0.08097076228077288,0.2444008913456132,0.27358402933226594,0.013870527716934792,0.49813999534250114,0.030115847901504574,1.0,-0.05939447654752171,0.275807504677404,0.610185935015627,0.32452406907853026,0.9313613724161963,0.16098740973696207,-0.035350190328716995,-0.4418587317893549,0.02669499579878918,0.09940584535111154,0.1656008104055343,0.3374803790453709,-0.3481513087047124,-0.30269127269960644,0.17305347038266103,-0.15832470149934025,0.016210631331691684,-0.22577369016219112,0.4524098072639713,-0.5525156615470078,-0.002989870480369754,-0.27881551375423885,0.062444971012812385,-0.22028151318642117,0.1638219551641934,-0.26096205655925464,0.6445409336718191,-0.06271667481598463,0.23644091062844133,-0.1400398170558516,-0.026111246778180105,-0.09556891160262475,0.310216994434358,0.04203018881188059,0.8259130580681807,0.4975474249509578,-0.03505773937851313,-0.05931066043256248,0.492199146873534,-0.1013736106148817,0.53039300050337,0.45729860023173186,0.35183211296452516,0.1105603440473912,-0.01398945111480301,0.1487387451137553,0.06659878660201118,-0.2396061118298158,0.03660497013792357,0.016580104973083435,0.1318990940725361,-0.000785514823422816,0.5280981600086007,-0.010088622214930273,-0.00018008724552869628,0.3286144139002037,-0.009737265730852655,-0.05877935961628236,0.1558976777238518,-0.012552588570073525,0.08877774755483961,-0.16720864988632334,0.06855223676026052,0.007721739673597279,-0.6098535512772255,0.013053245175583475,-0.5266103153675346,0.024492867915627433,0.10550277255893727,0.2792494158771481,-0.375399132859711,0.018005581097668866,-0.1853348133561701,-0.0406022070369603,-0.3434673828370416,-0.2141358618538128,-0.37251155126458196,-0.07417673314827844,-0.12755647868757095,0.30778708365507745,-0.4242790239978342,0.3996600809082641,0.15621359904709362,0.026907496782499055,-0.2915959262889229,0.12061340002176829,-0.00485511212413884,0.04467011466542023,-0.2755311395199857,-0.030831276286256783,0.43569913925525383
ATSC8dv,-0.21257276967790173,0.05896395365846615,-0.13454323091835058,0.013660165052731347,-0.0836798193652435,-0.10484343490619176,0.02836853287368795,-0.0321088385126361,-0.05939447654752171,1.0,0.06506392811908415,-0.09832621169315721,-0.07170291786494809,-0.04496689617240892,-0.15186089580966783,-0.07817437251867382,0.0328326534905201,0.08566993733695653,-0.13237333559815134,0.0692438271325864,0.14877222866301162,0.03365099042382591,0.023177602883007742,0.06828009629328775,-0.1690905712041734,-0.06038019529166273,0.01843483955175705,-0.03213500814690047,0.206332787454157,-0.1131181997561873,0.006755103713229323,-0.20173807526586274,-0.006077297093289423,0.04293402001485289,0.10996156723465052,-0.07991448301143925,0.27980608254351885,-0.14953238081956605,-0.006546139445483579,0.007733048084231643,0.0375434625600756,-0.13611522907762622,-0.36398810431991696,-0.04445245746519517,-0.18234860424561056,0.004903465077138453,0.8921258612416552,-0.10379817986994783,0.003048943002178163,-0.12628297402841226,-0.02289776993479676,0.00021547053233610363,-0.0378504756228857,-0.18479209335768618,-0.09579048786136837,-0.18276273127092899,0.0623006418333928,-0.0001713937951425573,0.02647924757750356,0.0734533917315267,0.40425913956763126,-0.2711040401350666,5.202226279785319e-05,0.05176448666772836,-0.10918005646260652,-0.1465883411269481,0.012625425970099517,0.027323552665475145,0.06484596606046857,-0.08941754191993542,-0.15107259704111545,0.016955126038800082,0.27818842024086393,0.08654418482336812,-0.17927161016981194,0.026479495014349746,-0.05268244382306512,-0.0386725002142419,-0.09859782076409884,0.027007050680455186,-0.19824360894504922,0.06500658304871909,-0.10224769151530758,-0.10358321971900711,-0.016740948870671485,0.053191521800048,-0.21348928357929026,-0.0078053280453177585,-0.11007964730260335,0.03134817934324025,-0.09066040064338744,-0.25088506874584243,-0.29047919438633674,0.20412442034965253,-0.10979789751636121,-0.006815676123447246,-0.17726297804006225,-0.0992299868783664,-0.012688778053761519,-0.03218182380732589
