,SAacc,ATSC4e,nHet,nHAcc,P_VSA_ppp_ter,TPSA(Tot),P_VSA_s_6,IC0,F03[C-N],ATS2m,SHED_DD,P_VSA_i_4,ATSC2e,TPSA(NO),DELS,P_VSA_v_2,P_VSA_ppp_D,P_VSA_p_2,P_VSA_ppp_A,ATSC6e,MWC09,AMW,SssssC,Mi,SRW10,MAXDN,F01[C-F],ATS3m,TWC,piPC10,P_VSA_charge_3,B02[C-N],P_VSA_LogP_1,H%,SAdon,AAC,SHED_AA,ATSC3e,MWC07,MW,piPC02,B03[C-N],SRW06,B04[C-N],GGI4,MPC07,Mv,F02[C-O],MWC04,piID,ATS6m,SHED_DA,GGI1,SpMax3_Bh(e),P_VSA_charge_1,P_VSA_e_2,nHDon,BLTD48,MaxsCH3,SsF,SRW08,ESOL,ATSC1e,nN,T(N..O),C%,piPC05,P_VSA_LogP_7,MWC08,F01[C-Cl],F02[F-F],GATS1v,Vx,Mp,LOGPcons,GATS1m,P_VSA_s_5,NsCH3,T(F..F),SpMax4_Bh(m),PHI,P_VSA_m_3,LOGP99,F02[C-F],MATS1v,piPC06,minsF,H-050,ATSC7e,nRCOOR,CATS2D_00_DD,ATS1m,piPC03,P_VSA_charge_14,MATS1e,IDMT,Sp,MR99,P_VSA_LogP_2,MPC05
SAacc,1.0,0.7767951139087541,0.7610307732538689,0.8667766993035413,0.8159331946078027,0.794115544393279,0.8713561024761786,0.5275087466664687,0.332608270040162,0.318017354048015,0.7084467377600777,0.4110420920830137,0.6306565338263631,0.9021687489630331,0.776928779030888,0.9985147229471713,0.7671044884807016,0.9451148098056997,0.8907773455111067,0.5893857453146526,0.2970982980932951,0.00842529077634313,-0.19734433351180816,0.21861735724996964,0.2998712364190702,0.5787042258805096,0.15182704920142068,0.3416863127712301,0.30019401003668716,0.18111362649223778,0.4977290039816197,0.32193326976077213,-0.15555393358030356,-0.30153168843259176,0.7669117674531746,0.5275087466664685,0.6939726638023346,0.7442448743758133,0.3001075688841955,0.3743913282417081,0.33543021410991014,0.3089666918709329,0.3104235444419981,0.3380604569705871,0.3907293844491965,0.23608365093182593,0.08247323367062546,0.5534029000537554,0.3091159390982053,0.2496242591103483,0.2943018899297583,0.770095715122495,0.501636734465943,0.15843034198249967,0.731974425805613,-0.17602414248854253,0.7337574273008044,0.3771518627600549,-0.3267787413186517,0.152774684317339,0.3046181399934436,0.23869470165097711,0.6054462417551904,0.40207028577492454,0.48122533693192476,-0.06882316132477884,0.20499262086184394,-0.21240931022293863,0.29940639852876144,0.0443820590005408,0.13048231259056645,-0.2277412727734569,0.1895821874199617,-0.17016430015619616,-0.38912679102206565,-0.21418980557335157,0.12573931833758087,-0.20769773821304785,0.15604772448062934,0.18282450006984902,0.02095484628903125,0.8915996832304524,-0.38801216229180113,0.1659194447289736,0.2027533597099411,0.21988193080505855,0.11756143054909825,0.6942459700609721,0.4891012945654864,0.013601422539353687,0.7784766871536889,0.28174417478846847,0.2684863759842014,0.22110632419304407,-0.17149433277192883,0.29667243180620995,0.11658547524584431,0.16433056393282938,0.13113357496211486,0.23243092044755723
ATSC4e,0.7767951139087541,1.0,0.7158908777041534,0.7679410275867231,0.695460042880332,0.6750896101079293,0.7105639862631692,0.4855388177201466,0.3797251126948429,0.49412377703703597,0.4895978821357765,0.20987761101185168,0.7426046141194941,0.7524637203730046,0.821745762964157,0.7813478995097868,0.49286395963628843,0.7541391395057166,0.7564958390874448,0.7518942681537812,0.47157139553687866,-0.04668480295795159,-0.16760842583040028,0.0008627667316165884,0.4608591894999373,0.41971412871434177,0.09000824711466093,0.5580245839004163,0.4725260838323116,0.32344115200153273,0.43588527835193125,0.2876324436781165,0.08769392138223937,-0.1416765163068755,0.4895978682061593,0.4855388177201466,0.7385540223911555,0.78318811585175,0.47743284853869294,0.5950794212061228,0.4816131847756169,0.30055120121367956,0.47953182994452587,0.33550417728412396,0.5931182155166542,0.4425543237520996,0.04510778507240054,0.6505134051633163,0.4884848614809987,0.41157843901633107,0.4938728155654045,0.5904418123921918,0.6067937623971401,0.38464279905902543,0.5240183795159821,0.06742042272429602,0.4324113360588142,0.07065663321931662,-0.09711314721846874,0.08611894275787293,0.4684496561144761,-0.05743002072286061,0.5413727601040971,0.3451072724532889,0.5166780988291817,0.13231255534218694,0.3828943876975977,0.08007009121081146,0.47219647588721386,0.13766713032682198,0.06349664798969494,-0.21255110046203843,0.4447652499647076,-0.08980437979922645,-0.09710474898265085,-0.2975910894055382,0.10812774187216403,0.03605888438196946,0.14001898665122894,0.4301304575648179,0.1412480496671596,0.7476603213069672,-0.11851760462050942,0.12324640448099514,0.22785803722624662,0.39629460629131336,0.04717586789831826,0.4056387568156513,0.6715539046404282,0.14435177404697208,0.5037370556057318,0.47567130134478774,0.45707703362124447,0.2767947117871196,0.07991593583633773,0.4590065239250771,0.38320749566400125,0.4254210487944883,0.13936679945269406,0.45531535959310027
nHet,0.7610307732538689,0.7158908777041534,1.0,0.9148331642284573,0.7169032781763647,0.7281939894296431,0.8043042563757503,0.6420944487358646,0.49002625670609123,0.5056068318643141,0.4004631669004565,0.568497756400099,0.7977954488060298,0.7211229683621403,0.8420124263419767,0.7685626743449104,0.3200452786558075,0.6448873379246973,0.581555679421301,0.6125268172572383,0.32957165229144636,0.2772021470652979,-0.37500475181409076,0.2863720650155073,0.3350908448352557,0.7233595255616401,0.3680245481359595,0.36854245194016455,0.3360980926831829,0.2660920991837209,0.5270582783204609,0.3995109005732335,-0.16198689077974635,-0.5963483452585123,0.3171646273635642,0.6420944487358645,0.7126463409616628,0.7147445932844694,0.3311652369745529,0.5504262076774561,0.37947726339864796,0.41389309391023055,0.34474477412405696,0.4340639122120525,0.43653716738755455,0.2915036612718478,0.4268943508092722,0.36236392974824905,0.34182638670182824,0.29486211148390573,0.31406339917751114,0.5736536253406782,0.6062907843094137,0.05040161856269551,0.2919398499920547,-0.02880468209695727,0.3841827010567695,0.23416100416744975,-0.3880235751412806,0.38223754666937604,0.33965673433074894,0.01872158568475142,0.71675448275347,0.549136423595143,0.6016326641940218,-0.1619739535785421,0.20442219128648567,-0.2496816892090304,0.33467868040388843,0.3315033319634999,0.34279725853900544,-0.2880755954017267,0.2146228071441339,0.11951525702401428,-0.21886382312331945,-0.34476498355758295,0.2399405127272713,-0.2295086477317744,0.291606158779101,0.1955236063614778,0.008622446294209055,0.6275030110147284,-0.1830107130716706,0.36783750560903566,0.04037219184279379,0.2413699453837731,0.3445860000835649,0.36038566396762883,0.5519250480617409,0.039663412116644835,0.38751304824285515,0.5042799070167127,0.266856958097929,0.3575298330225072,-0.16071673744922121,0.39212705323162106,0.11422389257982461,0.22806614299742017,0.055565538820970345,0.2290853824514018
nHAcc,0.8667766993035413,0.7679410275867231,0.9148331642284573,1.0,0.6701865174298519,0.6999510259222836,0.7724016786499474,0.587784042532125,0.4815129949602811,0.458014096529119,0.47825666059798905,0.5797990738670307,0.8182787658195976,0.7996182669039296,0.8800752147229337,0.8682668947216676,0.42072669706829496,0.7456553962982776,0.6755281836801192,0.627574700174999,0.3953607754817557,0.07144132617006366,-0.3834960325801484,0.3531275324639162,0.39606508390327844,0.7081128641642204,0.36291948162613225,0.42790100980418655,0.3998047733109795,0.28488062522558244,0.5341371515780009,0.3902369287383927,-0.08125185615742489,-0.43734225459968934,0.4181887704564043,0.5877840425321248,0.7576293428160671,0.7682205109702539,0.39893962835190533,0.5183714578947185,0.43955373450815516,0.4077207495442498,0.4107144207441479,0.422447292651193,0.46299878007470746,0.342231325215174,0.19004186218672914,0.4921092430233664,0.41116277535550927,0.34503790367023157,0.3794692727732272,0.6467551786775831,0.6270980268021806,0.18932918242624544,0.41735738333536176,-0.05630634187800814,0.4772883975288231,0.2579645447030778,-0.2932627291500317,0.37623854179556676,0.40249933869985466,0.08815034922202843,0.6891515642383862,0.5328570782247622,0.5658229230317929,-0.04276934803818688,0.26788704524292906,-0.1809032503517628,0.3991248681749115,0.14800340139008522,0.34795362193009644,-0.19609703577998155,0.26808814469311926,-0.13129525539914486,-0.26533553794048254,-0.26786768218189383,0.17279768849810148,-0.13955730566866845,0.32026678179681317,0.24735665176151064,0.030581891975270937,0.7270970203882438,-0.25724423004355146,0.36815640395920735,0.0815189040591071,0.29245474606632876,0.3162827307768091,0.4360343325608056,0.5802700822360088,0.1296174180009479,0.48486853694524845,0.4190140484778797,0.352091159784272,0.42227700411642605,-0.11147037867958134,0.41483012664826774,0.18468731098070099,0.24969454403785968,0.13623309576557083,0.3053507670099818
P_VSA_ppp_ter,0.8159331946078027,0.695460042880332,0.7169032781763647,0.6701865174298519,1.0,0.617138553844493,0.9294341701956593,0.4542746424534518,0.1807874694710037,0.37132507329034775,0.5636358055313065,0.28211657959977293,0.6022689931910966,0.6712116070275581,0.740288335113612,0.8133765978745334,0.6462341806726005,0.7333309176574196,0.730557493613241,0.5207132514397868,0.2445503971468713,0.23824476644010242,-0.26706017433001816,0.17703064168850366,0.261075806787928,0.6102672846527903,0.24670653503504503,0.316777051495007,0.2541363455374078,0.07325797842582663,0.41608848763819756,0.17002118741535574,-0.08399199610558548,-0.38953280279563235,0.6407341286182262,0.4542746424534517,0.5049377525148347,0.6884262200497596,0.2448100659669981,0.40800134397605103,0.23560233216467694,0.15424697182053132,0.26309907621598183,0.2113764280688052,0.3549421425634417,0.12695218754612556,0.277040826462729,0.4252202846355285,0.25189414602623417,0.12377551337912601,0.2192025928173342,0.5667089937068568,0.5639265210816244,0.04548539286564928,0.6050982572862413,-0.2083641330447414,0.5505798290403134,0.20341700441232788,-0.2947084395440337,0.23866290842833893,0.2628447610469315,0.07503702669068114,0.6618202891661791,0.19475405789172484,0.3604971799481233,-0.15539131846542817,0.06141888873629218,-0.1659575654003173,0.248895902487478,0.363374443124733,0.1822550903405909,-0.2451180849709889,0.16542342633747656,0.07558527312812897,-0.20742109513485954,-0.20772357942404782,0.1563964427471863,-0.12377062147500885,0.17950659908974076,0.17667161122343814,0.04990138007060417,0.7970092546458943,-0.19537626717740417,0.2501095120326923,0.19976073009366227,0.09517729052590036,0.21016106748589333,0.5331182222426852,0.4244918747228884,-0.0505307674633698,0.6145795883366736,0.3457161807125712,0.13400741796565688,0.18844968529058356,-0.1934859508502863,0.23086541917048484,0.07954654563523406,0.14000492558352431,0.06463566376125013,0.09875095566261125
TPSA(Tot),0.794115544393279,0.6750896101079293,0.7281939894296431,0.6999510259222836,0.617138553844493,1.0,0.7021651649490103,0.6238020957604918,0.47195909986762696,0.3195348371614285,0.6008767775335906,0.31938127880041056,0.4457151759030593,0.9050427514044577,0.5657008206233427,0.8016140858786576,0.5729180378773467,0.8614714038642142,0.7674906448470686,0.5914495845413719,0.2570225967018205,-0.0021807058707265154,0.11528672705954149,-0.10673408388931502,0.2512939572040697,0.3129847247176792,-0.18572930946078078,0.31039269858683016,0.26095578363598493,0.23559491685992098,0.5003772845635209,0.4451522308740931,-0.09323899939641311,-0.21363268406467859,0.5683159338149203,0.6238020957604918,0.7253156971330339,0.5460006966367245,0.261954438787882,0.386859146704384,0.3304360254524742,0.4428826548978099,0.26990511937862793,0.4595115895717842,0.4049513784359911,0.2787554092583854,0.11724845854226103,0.4483140245603984,0.27463891573396215,0.28980387000159635,0.31970207004204565,0.7250375431781059,0.36918002044847037,0.17816018118536633,0.5208018057181144,0.08838717106137761,0.6317366730001744,0.3919594061795894,-0.25183329565000384,-0.1900027343786261,0.2588206300144173,0.2172816022286409,0.302071745241,0.5681742884859476,0.6079142631466735,-0.07979529067996638,0.25783853775173804,-0.1322809254001271,0.25903479391114803,-0.0608376317386989,-0.1872911300135662,-0.3394669499911761,0.23902666274238266,-0.007183804824142203,-0.37473559505591253,-0.3763096626557354,0.18508810605340142,-0.15653984643558316,-0.1066595815696637,0.19236331224694275,0.06186767903952738,0.6104683608512191,-0.34468224645130574,-0.1551990110297449,0.24521819201484335,0.27299039628184185,-0.17223019483364904,0.6310601415679521,0.5021715928573364,0.01865617597856876,0.6294338172089234,0.37010771256770225,0.27158089527844215,0.08105599904307169,-0.039050312378557425,0.31698007709152315,0.16927730848948513,0.2590051649129428,0.15864387287537457,0.2733781751639668
P_VSA_s_6,0.8713561024761786,0.7105639862631692,0.8043042563757503,0.7724016786499474,0.9294341701956593,0.7021651649490103,1.0,0.5622151364537917,0.26438504721826533,0.36632822490644246,0.5945480981718774,0.3934158477683094,0.6571546750832775,0.7479055158615087,0.7626710105349831,0.8698855123159042,0.6542875569043993,0.7869969700975662,0.7632596870667356,0.5286125061650058,0.2645475602315879,0.15194755570934812,-0.2687373029224198,0.2173263522788021,0.27583725449997687,0.6321985999976134,0.2509948889911858,0.3262362971611598,0.27122842043586615,0.15003013017937245,0.48095437315307493,0.24146841152018395,-0.26274530995672496,-0.462247191188457,0.6496129116372447,0.5622151364537915,0.6128306589098237,0.7403244041150712,0.26571152834725403,0.39982790556056735,0.2907122744826587,0.22974112729092458,0.2806170378001589,0.26461890543803096,0.3433172560007621,0.17837539009265005,0.28823889502948846,0.46247439477641444,0.27310829933182545,0.20220818314272596,0.23882921014547903,0.6387525784096931,0.5034212224535891,0.044537406989964605,0.6256864329202665,-0.17259372450025795,0.5920694670360542,0.2745904023105393,-0.4293198856943088,0.24632368031253352,0.278552703639216,0.12494433710560195,0.687510394969868,0.31495066189331095,0.3987836452488314,-0.10680406521328031,0.13178274482786312,-0.2783425177963787,0.26803918404326094,0.3928804859502871,0.19052554405720176,-0.3086786802947459,0.1454737559197864,0.005428120806697654,-0.27814576870562213,-0.283900267278671,0.037074730929576645,-0.3111853134553614,0.18049429159841016,0.15695046158968756,0.019552002453546657,0.7954394194247122,-0.2676130882089478,0.2547989573219955,0.16454682292994138,0.15575058327124816,0.2218896984670139,0.5757684685768384,0.4417191651411781,-0.03195573215137174,0.6329369254724719,0.3244325130192583,0.1998939479506951,0.2245128954179301,-0.22872887383661694,0.2734021460286065,0.05416076799599962,0.13570462147136797,0.051523645916452324,0.14595518476485556
IC0,0.5275087466664687,0.4855388177201466,0.6420944487358646,0.587784042532125,0.4542746424534518,0.6238020957604918,0.5622151364537917,1.0,0.3950939862499944,0.41788447714516896,0.3167509548928253,0.3374949612102898,0.5311766937370432,0.5760762530346502,0.4882917458014062,0.5300064851371611,0.28656291833222264,0.512239739103324,0.43363894392573016,0.36127194063089557,0.3754891136431757,-0.07880426367063005,-0.04273029491572269,-0.008047180249813627,0.3831659532677232,0.4509585790561351,0.06889262414381962,0.3577945061515485,0.3735052955873306,0.15108091806853072,0.5045771000563772,0.4661516042311934,-0.16190041267966704,-0.24803543671038497,0.2806424216067478,1.0000000000000002,0.4865824415982504,0.49082809791311793,0.3702399147030549,0.28945959555453293,0.399896497415213,0.47075252376866095,0.367127790820501,0.4263497230402729,0.2604639771355737,0.18537670231023654,0.1264626795653866,0.27055856947992296,0.3576686837611221,0.29447828322219227,0.13363311292044652,0.4742253542039079,0.35917013669970715,0.19167802805296144,0.23934670725451357,0.06059934336132933,0.3622968949659856,0.2686331174959965,-0.2661784985456464,0.049093578587391946,0.37768780723156403,0.12079688282615213,0.3630646532980396,0.4533685705515591,0.43238776903822745,0.15609031436809623,0.2477714406073146,-0.2873650391344852,0.3747334347921708,0.32967891952981854,-0.03021289849406327,-0.4279790210187453,0.09037396449656107,-0.07126439002186502,-0.2968562466767584,-0.5664672233855075,0.1957909181879137,-0.19666815422049513,-0.04798124155142007,0.18978804947722777,-0.1420933106901477,0.39152011416080446,-0.28413930526326925,0.06488663715704905,0.15870092793196455,0.2453448933377956,0.156143554313304,0.34006787515384745,0.3264133783872978,-0.021726906291400113,0.3643149305416471,0.30083816415246895,0.3334723982356507,0.10137344468259835,-0.045449321910706164,0.15603683299124455,0.02241026574391886,0.12569245560114722,0.04343436538897766,0.20674193943384114
F03[C-N],0.332608270040162,0.3797251126948429,0.49002625670609123,0.4815129949602811,0.1807874694710037,0.47195909986762696,0.26438504721826533,0.3950939862499944,1.0,0.33836344700612087,0.2083942342228188,0.5855752661318063,0.25271765556630277,0.4818864475352698,0.32647675283589456,0.34500420852111197,0.1059421237068181,0.35619248984027363,0.2008511536592673,0.39235884263727705,0.324963355767881,-0.006953607263293076,0.01533591566264113,-0.0416558273966838,0.31273569169173554,0.11158903313872416,-0.033561626469746586,0.34430860692940013,0.3275078395376982,0.421723533347108,0.23582837834739284,0.6500633651458544,0.08109973083846236,-0.14255406076197288,0.10459435797473104,0.3950939862499942,0.420207492611287,0.1519806915799583,0.33044673309256767,0.4316798134487137,0.40239705737095577,0.732005854364889,0.32978885593706475,0.7065710462820736,0.47673929018943506,0.4458235326815725,0.1154826331695613,-0.04721025797452832,0.341587956252006,0.45572992313362576,0.3581082395869299,0.4278955981847258,0.3941113947424228,0.24104672149832176,0.0631623793602383,0.2486781917759727,0.3197500184049254,-0.002993901343941549,-0.06891187898210245,-0.03377813308807838,0.31959751451622725,-0.17021650971555366,0.1221542628618015,0.8726779616906885,0.5264453035561791,0.14491354269386802,0.41393958251427354,-0.006804108998035083,0.32626832041773157,0.06167010762683997,-0.036468697706119414,-0.2544428931874275,0.343363852772819,0.043731334709002284,0.007461322285254518,-0.26591053831591976,0.27933508945321733,0.0450919926438892,-0.030202342950661296,0.269400924266057,-0.04355163982793197,0.014726364700145045,0.019348688713962996,-0.024457824937802113,0.128542288049415,0.4375965848877216,0.0036096968334262893,0.30631012585351536,0.3856950243198695,-0.13715815104694173,0.22844040709528118,0.3634159652910523,0.3968560048556916,-0.07134826405699336,0.09655463790004165,0.37933395048136376,0.308257635788557,0.40450983542414776,0.11024677515909985,0.40862853610515154
ATS2m,0.318017354048015,0.49412377703703597,0.5056068318643141,0.458014096529119,0.37132507329034775,0.3195348371614285,0.36632822490644246,0.41788447714516896,0.33836344700612087,1.0,0.1397137382605602,0.20185342444689267,0.45848145066138835,0.3164295286815638,0.5961840886937082,0.3178855763234447,0.09050663204528103,0.26532444424412366,0.25138013546769455,0.423855350012237,0.9011035979415662,-0.025342706343042462,-0.1848403944508457,-0.13041751015014327,0.9041727221543698,0.406729925150701,0.17637124722570957,0.8139918583330427,0.9023747894765295,0.5177018334836255,0.2853294988627836,0.24684194904931678,0.16723764918042508,-0.23497729032813777,0.07706082135143474,0.4178844771451689,0.3900511540923159,0.4356165989748497,0.903253243792819,0.8332335552065537,0.8588987568031239,0.2881184092970114,0.9149911814245958,0.33929937051637216,0.6129599762797107,0.6696033162486936,0.23891462201281125,0.36684735213436115,0.9117448553508539,0.747520060560551,0.6224718294065237,0.2880206431327412,0.7243508314628213,0.6503634023656151,0.1221639894240084,0.4673444323311615,0.0990759952490775,-0.4593974952195417,0.04206854075266989,0.17036767877591874,0.9098006645580251,-0.6322029351224256,0.3387224460487729,0.2396928861673952,0.29483743049766353,0.4633650710597669,0.6470143487097546,0.3679753436969309,0.9058896708766928,0.25640216025437074,0.14046965005735526,-0.2876264554762872,0.7194102817848016,0.09243680445064148,0.4643729893542467,-0.25884552477215866,0.1940445993782231,0.1591739092826912,0.12211094112004289,0.8078980135950232,0.22107412840806928,0.28066665301969107,0.46605308249126837,0.17745399378503973,0.3014658420067082,0.6550226358156701,0.14839630161269354,0.04932557506317377,0.45939927500664623,0.07870575277458222,0.13121867868138742,0.8896992055187347,0.7313933832532887,0.2117142763346482,0.12563329526328162,0.5141302042254287,0.6791448562716601,0.7359167716742392,0.13593509289238054,0.7026480754148567
